Entity,Year,barley_attainable,cassava_attainable,cotton_attainable,groundnut_attainable,maize_attainable,millet_attainable,oilpalm_attainable,potato_attainable,rapeseed_attainable,rice_attainable,rye_attainable,sorghum_attainable,soybean_attainable,sugarbeet_attainable,sugarcane_attainable,sunflower_attainable,wheat_attainable,wheat_yield_gap,barley_yield_gap,rye_yield_gap,millet_yield_gap,sorghum_yield_gap,maize_yield_gap,cassava_yield_gap,soybeans_yield_gap,rapeseed_yield_gap,sugarbeet_yield_gap,sugarcane_yield_gap,potato_yield_gap,oilpalm_yield_gap,groundnut_yield_gap,rice_yield_gap,sunflower_yield_gap,cotton_yield_gap
Afghanistan,1971,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.19,2.16,,1.15,,9.06,,,,64.37,0.0,34.68,,,7.609999999999999,0.52,2.16
Afghanistan,1972,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.15,2.2,,1.15,,8.83,,,,64.25,0.0,35.42,,,7.459999999999999,0.25,2.2
Afghanistan,1973,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.83,2.16,,1.17,,8.780000000000001,,,,65.34,0.0,34.81,,,7.359999999999999,0.16000000000000014,1.88
Afghanistan,1974,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.79,2.17,,1.1600000000000001,,8.780000000000001,,,,63.21000000000001,0.0,34.85,,,7.359999999999999,0.06000000000000005,2.28
Afghanistan,1975,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.79,2.09,,1.18,,8.790000000000001,,,,56.31,0.0,34.370000000000005,,,7.289999999999999,0.25,1.9
Afghanistan,1976,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.75,2.0,,1.03,,8.74,,,,58.870000000000005,0.0,27.930000000000003,,,7.2299999999999995,0.25,2.09
Afghanistan,1977,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.87,2.3200000000000003,,1.17,,8.82,,,,58.61000000000001,0.0,35.28,,,7.459999999999999,0.41000000000000014,2.2699999999999996
Afghanistan,1978,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.8,2.24,,1.12,,8.780000000000001,,,,63.410000000000004,0.0,32.07,,,7.319999999999999,0.4500000000000002,2.15
Afghanistan,1979,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.77,2.24,,1.12,,8.790000000000001,,,,56.13000000000001,0.0,31.450000000000003,,,7.2299999999999995,0.43000000000000016,2.07
Afghanistan,1980,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.75,2.24,,1.12,,8.73,,,,56.13000000000001,0.0,30.950000000000003,,,7.1899999999999995,0.40000000000000013,1.8699999999999999
Afghanistan,1981,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.76,2.21,,1.12,,8.73,,,,69.68,0.0,30.39,,,7.119999999999999,0.3800000000000001,2.51
Afghanistan,1982,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.77,2.2199999999999998,,1.12,,8.73,,,,68.92,0.0,30.300000000000004,,,7.159999999999999,0.3900000000000001,2.67
Afghanistan,1983,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.74,2.19,,1.12,,8.74,,,,58.010000000000005,0.0,30.050000000000004,,,7.1,0.3500000000000001,2.61
Afghanistan,1984,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.77,2.2,,1.1,,8.74,,,,58.010000000000005,0.0,31.370000000000005,,,7.119999999999999,0.3500000000000001,2.33
Afghanistan,1985,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.77,2.2,,1.1099999999999999,,8.73,,,,74.68,0.0,31.720000000000002,,,7.109999999999999,0.3500000000000001,2.61
Afghanistan,1986,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.81,2.21,,1.12,,8.71,,,,65.51,0.0,29.940000000000005,,,7.119999999999999,0.3500000000000001,2.42
Afghanistan,1987,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.7199999999999998,2.21,,1.12,,8.700000000000001,,,,63.010000000000005,0.0,30.310000000000002,,,7.359999999999999,0.3700000000000001,2.36
