Year,Land,Land and Ocean,N Hem,S Hem,Band 1
1987,0.40,0.33,0.26,0.40,0.07
1988,0.49,0.40,0.37,0.43,0.40
1989,0.38,0.29,0.29,0.28,0.42
1990,0.52,0.43,0.51,0.36,0.61
1991,0.52,0.42,0.41,0.44,0.46
1992,0.23,0.23,0.12,0.33,0.08
1993,0.27,0.24,0.20,0.28,0.14
1994,0.37,0.31,0.36,0.26,0.43
1995,0.56,0.45,0.58,0.33,0.70
1996,0.47,0.34,0.27,0.41,0.26
1997,0.53,0.47,0.53,0.41,0.55
1998,0.84,0.63,0.73,0.53,0.80
1999,0.60,0.41,0.52,0.31,0.74
2000,0.57,0.42,0.51,0.32,0.71
2001,0.68,0.54,0.64,0.44,0.79
2002,0.79,0.62,0.70,0.54,0.81
2003,0.77,0.61,0.72,0.50,0.80
2004,0.68,0.54,0.67,0.41,0.74
2005,0.87,0.68,0.83,0.53,0.97
2006,0.77,0.63,0.79,0.46,0.95
2007,0.85,0.65,0.83,0.48,1.08
2008,0.65,0.53,0.65,0.41,0.86
2009,0.79,0.64,0.70,0.58,0.73
2010,0.92,0.71,0.88,0.54,0.98
2011,0.79,0.59,0.70,0.48,0.92
2012,0.78,0.62,0.76,0.48,0.96
2013,0.82,0.65,0.75,0.54,0.87
2014,0.88,0.74,0.90,0.57,1.04
2015,0.99,0.86,1.12,0.60,1.26
