Date,Close
1990-01-31,25.360000
1990-02-28,21.990000
1990-03-30,19.730000
1990-04-30,19.520000
1990-05-31,17.370000
1990-06-29,15.500000
1990-07-31,21.110000
1990-08-31,29.900000
1990-09-28,29.110000
1990-10-31,30.040000
1990-11-30,22.160000
1990-12-31,26.380000
1991-01-31,20.910000
1991-02-28,21.230000
1991-03-28,16.880000
1991-04-30,18.240000
1991-05-31,15.930000
1991-06-28,19.550000
1991-07-31,15.180000
1991-08-30,14.460000
1991-09-30,15.850000
1991-10-31,15.480000
1991-11-29,20.260000
1991-12-31,19.310000
1992-01-31,17.400000
1992-02-28,16.680000
1992-03-31,16.180000
1992-04-30,15.530000
1992-05-29,13.860000
1992-06-30,13.350000
1992-07-31,13.170000
1992-08-31,13.580000
1992-09-30,14.280000
1992-10-30,16.150000
1992-11-30,13.010000
1992-12-31,12.570000
1993-01-29,12.420000
1993-02-26,13.160000
1993-03-31,12.530000
1993-04-30,12.420000
1993-05-28,13.470000
1993-06-30,11.260000
1993-07-30,11.730000
1993-08-31,11.850000
1993-09-30,12.990000
1993-10-29,11.460000
1993-11-30,13.760000
1993-12-31,11.660000
1994-01-31,10.630000
1994-02-28,14.870000
1994-03-31,20.450000
1994-04-29,13.770000
1994-05-31,13.030000
1994-06-30,14.970000
1994-07-29,11.130000
1994-08-31,11.970000
1994-09-30,14.280000
1994-10-31,14.560000
1994-11-30,15.950000
1994-12-30,13.200000
1995-01-31,11.960000
1995-02-28,11.750000
1995-03-31,13.370000
1995-04-28,11.750000
1995-05-31,12.850000
1995-06-30,11.380000
1995-07-31,13.490000
1995-08-31,11.520000
1995-09-29,12.740000
1995-10-31,13.830000
1995-11-30,11.580000
1995-12-29,12.520000
1996-01-31,12.530000
1996-02-29,17.040000
1996-03-29,18.880000
1996-04-30,15.830000
1996-05-31,16.070000
1996-06-28,13.680000
1996-07-31,19.460000
1996-08-30,17.010000
1996-09-30,16.950000
1996-10-31,18.110000
1996-11-29,17.140000
1996-12-31,20.920000
1997-01-30,19.470000
1997-02-28,21.100000
1997-03-31,22.140000
1997-04-30,20.060000
1997-05-30,19.190000
1997-06-30,21.530000
1997-07-31,21.480000
1997-08-29,24.760000
1997-09-30,22.910000
1997-10-31,35.090000
1997-11-28,27.430000
1997-12-31,24.010000
1998-01-30,21.470000
1998-02-27,18.550000
1998-03-31,24.220000
1998-04-30,21.180000
1998-05-29,21.320000
1998-06-30,19.710000
1998-07-31,24.800000
1998-08-31,44.280000
1998-09-30,40.950000
1998-10-30,28.050000
1998-11-30,26.010000
1998-12-31,24.420000
1999-01-29,26.250000
1999-02-26,27.880000
1999-03-31,23.260000
1999-04-30,25.070000
1999-05-28,25.390000
1999-06-30,21.090000
1999-07-30,24.640000
1999-08-31,24.450000
1999-09-30,25.410000
1999-10-29,22.200000
1999-11-30,24.180000
1999-12-30,24.760000
2000-01-31,24.950000
2000-02-29,23.370000
2000-03-31,24.110000
2000-04-28,26.200000
2000-05-31,23.650000
2000-06-30,19.540000
2000-07-31,20.740000
2000-08-31,16.840000
2000-09-29,20.570000
2000-10-31,23.630000
2000-11-30,29.650000
2000-12-29,26.850000
2001-01-31,22.020000
2001-02-28,28.350000
2001-03-30,28.640000
2001-04-30,25.480000
2001-05-31,22.640000
2001-06-29,19.060000
2001-07-31,21.620000
2001-08-31,24.920000
2001-09-28,31.930000
2001-10-31,33.560000
2001-11-30,23.840000
2001-12-31,23.800000
2002-01-31,21.090000
2002-02-28,21.590000
2002-03-28,17.400000
2002-04-30,21.910000
2002-05-31,19.980000
2002-06-28,25.400000
