Entity,Year,Children that survived past 5 years of age per woman (based on Gapminder (2017))
Afghanistan,1957,4.63485694
Afghanistan,1958,4.6735788
Afghanistan,1959,4.70456694
Afghanistan,1960,4.740435
Afghanistan,1961,4.786625
Afghanistan,1962,4.831325
Afghanistan,1963,4.876025
Afghanistan,1964,4.919235
Afghanistan,1965,4.962445
Afghanistan,1966,5.00342
Afghanistan,1967,5.045885
Afghanistan,1968,5.08686
Afghanistan,1969,5.129325
Afghanistan,1970,5.1703
Afghanistan,1971,5.21202
Afghanistan,1972,5.254485
Afghanistan,1973,5.297695
Afghanistan,1974,5.343885
Afghanistan,1975,5.388585
Afghanistan,1976,5.43403
Afghanistan,1977,5.480965
Afghanistan,1978,5.528645
Afghanistan,1979,5.576325
Afghanistan,1980,5.62624
Afghanistan,1981,5.67541
Afghanistan,1982,5.725325
Afghanistan,1983,5.77673
Afghanistan,1984,5.834466
Afghanistan,1985,5.886686
Afghanistan,1986,5.937414
Afghanistan,1987,5.988888
Afghanistan,1988,6.03887
Afghanistan,1989,6.088852
Afghanistan,1990,6.145569
Afghanistan,1991,6.200172
Afghanistan,1992,6.261
Afghanistan,1993,6.336616
Afghanistan,1994,6.400435
Afghanistan,1995,6.471544
Afghanistan,1996,6.522887
Afghanistan,1997,6.56276
Afghanistan,1998,6.575298
Afghanistan,1999,6.560162
Afghanistan,2000,6.518547
Afghanistan,2001,6.45886
Afghanistan,2002,6.381606
Afghanistan,2003,6.295338
Afghanistan,2004,6.190344
Afghanistan,2005,6.076651
Afghanistan,2006,5.943105
Afghanistan,2007,5.799788
Afghanistan,2008,5.63625
Afghanistan,2009,5.471636
Afghanistan,2010,5.295036
Afghanistan,2011,5.11616
Afghanistan,2012,4.934536
Afghanistan,2013,4.760019
Afghanistan,2014,4.601022
Afghanistan,2015,4.44864
Afghanistan,2016,4.313344
Albania,1978,3.491328
Albania,1979,3.416307
Albania,1980,3.338364
Albania,1981,3.27584
Albania,1982,3.21954
Albania,1983,3.170778
Albania,1984,3.129432
Albania,1985,3.095382
Albania,1986,3.059644
Albania,1987,3.012428
Albania,1988,2.972849
Albania,1989,2.92251
Albania,1990,2.8608
Albania,1991,2.798547
Albania,1992,2.725573
Albania,1993,2.652375
Albania,1994,2.578686
Albania,1995,2.504789
Albania,1996,2.430935
Albania,1997,2.347158
Albania,1998,2.263129
Albania,1999,2.18835
Albania,2000,2.10384
Albania,2001,2.018664
Albania,2002,1.93347
Albania,2003,1.85744
Albania,2004,1.781052
Albania,2005,1.7143
Albania,2006,1.66702
Albania,2007,1.638938
Albania,2008,1.620465
Albania,2009,1.62162
Albania,2010,1.62261
Albania,2011,1.64328
Albania,2012,1.663974
Albania,2013,1.67467
Albania,2014,1.685376
Albania,2015,1.68606
Albania,2016,1.686915
Algeria,1954,5.558241
Algeria,1955,5.565651
Algeria,1956,5.575284
Algeria,1957,5.597762
Algeria,1958,5.619535
Algeria,1959,5.645904
Algeria,1960,5.679104
Algeria,1961,5.717621
Algeria,1962,5.74555
Algeria,1963,5.76963
Algeria,1964,5.778578
Algeria,1965,5.778432
Algeria,1966,5.774592
Algeria,1967,5.76784
Algeria,1968,5.778578
Algeria,1969,5.787896
Algeria,1970,5.800288
Algeria,1971,5.823966
Algeria,1972,5.85808
Algeria,1973,5.884704
Algeria,1974,5.91037
Algeria,1975,5.915766
Algeria,1976,5.915306
Algeria,1977,5.900403
Algeria,1978,5.880681
Algeria,1979,5.838048
Algeria,1980,5.784401
Algeria,1981,5.737554
Algeria,1982,5.675118
Algeria,1983,5.607888
Algeria,1984,5.519352
Algeria,1985,5.409592
Algeria,1986,5.267428
Algeria,1987,5.096761
Algeria,1988,4.912335
Algeria,1989,4.708032
Algeria,1990,4.49823
Algeria,1991,4.266752
Algeria,1992,4.02377
Algeria,1993,3.77982
Algeria,1994,3.53572
Algeria,1995,3.300615
Algeria,1996,3.074217
Algeria,1997,2.865915
Algeria,1998,2.68576
Algeria,1999,2.533608
Algeria,2000,2.410353
Algeria,2001,2.345084
Algeria,2002,2.30928
Algeria,2003,2.322035
Algeria,2004,2.354356
