Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
Andorra,2011,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2011,11149,1
Andorra,2010,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2010,11750,1
Andorra,2010,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2010,11755,1
Andorra,2009,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2009,12539,1
Andorra,2009,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2009,12240,1
Andorra,2008,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2008,12437,1
Andorra,2008,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2008,12195,1
Andorra,2007,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,12426,1
Andorra,2007,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,12148,1
Andorra,2006,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,12267,1
Andorra,2006,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,11944,1
Andorra,2005,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,11869,1
Andorra,2005,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,11718,1
Andorra,2003,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2004,10702,1
Andorra,2003,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2004,10543,1
Argentina,2024,Total,Male,Bahía Blanca-Cerri,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,154842.181018804,4
Argentina,2024,Total,Male,BUENOS AIRES,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,7825379.47435635,4
Argentina,2024,Total,Male,Catamarca,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,113037.607449175,4
