year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,period code,decade code
2013,tt0816442,The Book Thief,ok,ok,PASS,19000000,21345525,62045525,2013PASS,1,1
2013,tt1911644,The Call,ok,ok,PASS,13000000,51872378,58938768,2013PASS,1,1
2013,tt1457767,The Conjuring,ok,ok,PASS,20000000,137400141,318000141,2013PASS,1,1
2013,tt2193215,The Counselor,ok,ok,PASS,25000000,16973715,70373715,2013PASS,1,1
2013,tt0481499,The Croods,men-disagree,men,FAIL,135000000,187168425,573068425,2013FAIL,1,1
2013,tt2404311,The Family,men,men,FAIL,30000000,36918811,51078541,2013FAIL,1,1
2013,tt1837703,The Fifth Estate,notalk,notalk,FAIL,26000000,3254172,6154172,2013FAIL,1,1
2013,tt2005374,The Frozen Ground,nowomen-disagree,nowomen,FAIL,19200000,#N/A,#N/A,2013FAIL,1,1
2013,tt1343092,The Great Gatsby,dubious,dubious,FAIL,190000000,144840419,351040419,2013FAIL,1,1
2013,tt1951261,The Hangover part 3,men,men,FAIL,103000000,112200072,362000072,2013FAIL,1,1
2013,tt2404463,The Heat,ok,ok,PASS,43000000,159581587,230781587,2013PASS,1,1
2013,tt1170358,The Hobbit: The Desolation of Smaug,notalk-disagree,notalk,FAIL,250000000,257397516,937397516,2013FAIL,1,1
2013,tt1517260,The Host,dubious-disagree,dubious,FAIL,50000000,26623701,58188384,2013FAIL,1,1
2013,tt1951264,The Hunger Games: Catching Fire,ok,ok,PASS,130000000,424088260,857088260,2013PASS,1,1
2013,tt0790628,The Incredible Burt Wonderstone,notalk,notalk,FAIL,32000000,22537881,24255957,2013FAIL,1,1
2013,tt2234155,The Internship,notalk,notalk,FAIL,58000000,44672764,93672764,2013FAIL,1,1
2013,tt2034139,The Last Exorcism Part II,ok,ok,PASS,4000000,15179303,18541236,2013PASS,1,1
2013,tt1210819,The Lone Ranger,notalk,notalk,FAIL,275000000,89289910,259989910,2013FAIL,1,1
2013,tt1538403,The Mortal Instruments: City of Bones,ok-disagree,ok,PASS,60000000,31165421,75965567,2013PASS,1,1
2013,tt2184339,The Purge,dubious,dubious,FAIL,3000000,64473115,91100541,2013FAIL,1,1
2013,tt2017020,The Smurfs 2,ok,ok,PASS,110000000,71017784,348545841,2013PASS,1,1
2013,tt1758795,The To Do List,ok,ok,PASS,1500000,3491669,3491669,2013PASS,1,1
2013,tt1727388,The Way Way Back,ok-disagree,ok,PASS,5000000,21502690,26161443,2013PASS,1,1
2013,tt0993846,The Wolf of Wall Street,notalk-disagree,notalk,FAIL,100000000,115702857,365702857,2013FAIL,1,1
2013,tt1430132,The Wolverine,ok,ok,PASS,115000000,132556852,416456852,2013PASS,1,1
2013,tt1213663,The World&#39;s End,men-disagree,men,FAIL,20000000,26004851,46578821,2013FAIL,1,1
2013,tt1245492,This Is the End,notalk,notalk,FAIL,32000000,101470202,126294264,2013FAIL,1,1
2013,tt1981115,Thor: The Dark World,dubious-disagree,dubious,FAIL,170000000,204674790,631674790,2013FAIL,1,1
2013,tt1924429,Trance,nowomen,nowomen,FAIL,16000000,2322593,22594052,2013FAIL,1,1
2013,tt1860353,Turbo,dubious-disagree,dubious,FAIL,135000000,83028130,283828130,2013FAIL,1,1
2013,tt1588173,Warm Bodies,men-disagree,men,FAIL,30000000,66380662,116643610,2013FAIL,1,1
2013,tt1723121,We&#39;re the Millers,ok,ok,PASS,37000000,150394119,270000119,2013PASS,1,1
2013,tt2334879,White House Down,men,men,FAIL,150000000,73103784,205440387,2013FAIL,1,1
2013,tt0816711,World War Z,dubious-disagree,dubious,FAIL,190000000,202359711,539559711,2013FAIL,1,1
2012,tt1611224,Abraham Lincoln: Vampire Hunter,dubious-disagree,dubious,FAIL,67500000,37519139,115119139,2012FAIL,1,1
2012,tt1591479,Act of Valor,nowomen,nowomen,FAIL,12000000,70012847,82497035,2012FAIL,1,1
2012,tt1602620,Amour,dubious-disagree,dubious,FAIL,9700000,6738954,25915719,2012FAIL,1,1
2012,tt1781769,Anna Karenina,men-disagree,men,FAIL,49000000,12816367,70735540,2012FAIL,1,1
2012,tt1024648,Argo,ok-disagree,ok,PASS,44500000,136025503,221300694,2012PASS,1,1
2012,tt1440129,Battleship,notalk-disagree,notalk,FAIL,209000000,65235400,304142720,2012FAIL,1,1
2012,tt2125435,Beasts of the Southern Wild,dubious-disagree,dubious,FAIL,1800000,12795746,21080058,2012FAIL,1,1
2012,tt1758575,Blue Like Jazz,ok,ok,PASS,1200000,595018,595018,2012PASS,1,1
2012,tt1217209,Brave,ok,ok,PASS,185000000,237282182,554606532,2012PASS,1,1
2012,tt1308729,Bullet to the Head,nowomen,nowomen,FAIL,55000000,9489829,13561515,2012FAIL,1,1
2012,tt1991245,Chernobyl Diaries,notalk,notalk,FAIL,1000000,18119640,38390020,2012FAIL,1,1
2012,tt1706593,Chronicle,notalk,notalk,FAIL,12000000,64575175,127075175,2012FAIL,1,1
2012,tt1371111,Cloud Atlas,ok,ok,PASS,102000000,27108272,126018564,2012PASS,1,1
2012,tt1524137,Contraband,ok,ok,PASS,25000000,66528000,98406855,2012PASS,1,1
2012,tt1853728,Django Unchained,notalk-disagree,notalk,FAIL,100000000,162805434,425373688,2012FAIL,1,1
2012,tt1907668,Flight,dubious-disagree,dubious,FAIL,31000000,93772375,161772375,2012FAIL,1,1
2012,tt1142977,Frankenweenie,nowomen-disagree,nowomen,FAIL,39000000,35287788,81150788,2012FAIL,1,1
2012,tt2243973,Hannibal,ok,ok,PASS,87000000,165092266,350100280,2012PASS,1,1
2012,tt0837562,Hotel Transylvania,ok,ok,PASS,85000000,148313048,359222014,2012PASS,1,1
2012,tt0790724,Jack Reacher,notalk,notalk,FAIL,60000000,80070736,217370736,2012FAIL,1,1
2012,tt2106476,Jagten,men,men,FAIL,3450000,687185,687185,2012FAIL,1,1
2012,tt0401729,John Carter,ok-disagree,ok,PASS,275000000,73058679,282778100,2012PASS,1,1
2012,tt1764234,Killing Them Softly,nowomen,nowomen,FAIL,15000000,14945541,37238774,2012FAIL,1,1
2012,tt1707386,Les Miserables,ok-disagree,ok,PASS,65000000,148809770,442022894,2012PASS,1,1
2012,tt0454876,Life of Pi,notalk-disagree,notalk,FAIL,120000000,124987022,607987022,2012FAIL,1,1
2012,tt0443272,Lincoln,ok-disagree,ok,PASS,65000000,182207973,273000960,2012PASS,1,1
2012,tt1277953,Madagascar 3: Europe&#39;s Most Wanted,men-disagree,men,FAIL,145000000,216391482,746921271,2012FAIL,1,1
