Media Type,Type,Subtype,Template,Extensions
application/beep+xml,application,beep+xml,http://www.iana.org/assignments/media-types/application/beep+xml,
application/bufr,application,bufr,http://www.iana.org/assignments/media-types/application/bufr,
application/c2pa,application,c2pa,http://www.iana.org/assignments/media-types/application/c2pa,
application/calendar+json,application,calendar+json,http://www.iana.org/assignments/media-types/application/calendar+json,
application/calendar+xml,application,calendar+xml,http://www.iana.org/assignments/media-types/application/calendar+xml,
application/call-completion,application,call-completion,http://www.iana.org/assignments/media-types/application/call-completion,
application/CALS-1840,application,CALS-1840,http://www.iana.org/assignments/media-types/application/CALS-1840,
application/captive+json,application,captive+json,http://www.iana.org/assignments/media-types/application/captive+json,
application/cbor,application,cbor,http://www.iana.org/assignments/media-types/application/cbor,
application/cbor-seq,application,cbor-seq,http://www.iana.org/assignments/media-types/application/cbor-seq,
application/cccex,application,cccex,http://www.iana.org/assignments/media-types/application/cccex,
application/ccmp+xml,application,ccmp+xml,http://www.iana.org/assignments/media-types/application/ccmp+xml,
application/ccxml+xml,application,ccxml+xml,http://www.iana.org/assignments/media-types/application/ccxml+xml,ccxml
application/cda+xml,application,cda+xml,http://www.iana.org/assignments/media-types/application/cda+xml,
application/CDFX+XML,application,CDFX+XML,http://www.iana.org/assignments/media-types/application/CDFX+XML,
application/cdmi-capability,application,cdmi-capability,http://www.iana.org/assignments/media-types/application/cdmi-capability,cdmia
application/cdmi-container,application,cdmi-container,http://www.iana.org/assignments/media-types/application/cdmi-container,cdmic
application/cdmi-domain,application,cdmi-domain,http://www.iana.org/assignments/media-types/application/cdmi-domain,cdmid
application/cdmi-object,application,cdmi-object,http://www.iana.org/assignments/media-types/application/cdmi-object,cdmio
application/cdmi-queue,application,cdmi-queue,http://www.iana.org/assignments/media-types/application/cdmi-queue,cdmiq
application/cdni,application,cdni,http://www.iana.org/assignments/media-types/application/cdni,
application/ce+cbor,application,ce+cbor,http://www.iana.org/assignments/media-types/application/ce+cbor,
application/CEA,application,CEA,http://www.iana.org/assignments/media-types/application/CEA,
application/cea-2018+xml,application,cea-2018+xml,http://www.iana.org/assignments/media-types/application/cea-2018+xml,
application/cellml+xml,application,cellml+xml,http://www.iana.org/assignments/media-types/application/cellml+xml,
application/cfw,application,cfw,http://www.iana.org/assignments/media-types/application/cfw,
application/cid,application,cid,http://www.iana.org/assignments/media-types/application/cid,
application/cid-edhoc+cbor-seq,application,cid-edhoc+cbor-seq,http://www.iana.org/assignments/media-types/application/cid-edhoc+cbor-seq,
application/city+json,application,city+json,http://www.iana.org/assignments/media-types/application/city+json,
application/city+json-seq,application,city+json-seq,http://www.iana.org/assignments/media-types/application/city+json-seq,
application/client-authentication+jwt,application,client-authentication+jwt,http://www.iana.org/assignments/media-types/application/client-authentication+jwt,
application/cloudevents-batch+json,application,cloudevents-batch+json,http://www.iana.org/assignments/media-types/application/cloudevents-batch+json,
application/cloudevents+json,application,cloudevents+json,http://www.iana.org/assignments/media-types/application/cloudevents+json,
application/clr,application,clr,http://www.iana.org/assignments/media-types/application/clr,
application/clue_info+xml,application,clue_info+xml,http://www.iana.org/assignments/media-types/application/clue_info+xml,
application/clue+xml,application,clue+xml,http://www.iana.org/assignments/media-types/application/clue+xml,
application/cmcd,application,cmcd,http://www.iana.org/assignments/media-types/application/cmcd,
application/cms,application,cms,http://www.iana.org/assignments/media-types/application/cms,
application/cmw+cbor,application,cmw+cbor,http://www.iana.org/assignments/media-types/application/cmw+cbor,
application/cmw+cose,application,cmw+cose,http://www.iana.org/assignments/media-types/application/cmw+cose,
application/cmw+json,application,cmw+json,http://www.iana.org/assignments/media-types/application/cmw+json,
application/cmw+jws,application,cmw+jws,http://www.iana.org/assignments/media-types/application/cmw+jws,
application/cnrp+xml,application,cnrp+xml,http://www.iana.org/assignments/media-types/application/cnrp+xml,
application/coap-eap,application,coap-eap,http://www.iana.org/assignments/media-types/application/coap-eap,
application/coap-group+json,application,coap-group+json,http://www.iana.org/assignments/media-types/application/coap-group+json,
application/coap-payload,application,coap-payload,http://www.iana.org/assignments/media-types/application/coap-payload,
application/commonground,application,commonground,http://www.iana.org/assignments/media-types/application/commonground,
application/concise-problem-details+cbor,application,concise-problem-details+cbor,http://www.iana.org/assignments/media-types/application/concise-problem-details+cbor,
application/conference-info+xml,application,conference-info+xml,http://www.iana.org/assignments/media-types/application/conference-info+xml,
application/cpl+xml,application,cpl+xml,http://www.iana.org/assignments/media-types/application/cpl+xml,
application/cose,application,cose,http://www.iana.org/assignments/media-types/application/cose,
