Candidate,Gender,Race 1,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sunrise,Sanders,AOC,Party Committee
Al Green,Male,Black,Yes,No,Texas,3/1/22,Representative,9,"42,782",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Linda Nuno,Female,Latino,No,No,Texas,3/1/22,Representative,10,"20,537",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trey J. Hunt,Male,White,No,No,Texas,3/1/22,Representative,12,"20,561",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kathleen Brown,Female,White,No,No,Texas,3/1/22,Representative,13,"10,807",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eugene Howard,Male,Black,No,No,Texas,3/1/22,Representative,14,"10,619",50%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mikal Williams,Male,White,No,No,Texas,3/1/22,Representative,14,"10,691",50%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eliza Alvarado,Female,Latino,No,No,Texas,3/1/22,Representative,15,"5,398",17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julio Garza,Male,Latino,No,No,Texas,3/1/22,Representative,15,"1,693",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ruben Ramirez,Male,Latino,No,No,Texas,3/1/22,Representative,15,"9,221",28%,Made runoff,"6,049",50%,Lost,No (runoff only),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Villarreal Rigney,Male,White,No,No,Texas,3/1/22,Representative,15,"6,268",19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vanessa Stephanie Tijerina,Female,Latino,No,No,Texas,3/1/22,Representative,15,"3,470",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
