Candidate,Gender,Race 1,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sunrise,Sanders,AOC,Party Committee
Jessica Mason,Female,Black,No,No,Texas,3/1/22,Representative,30,"1,858",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
Abel Mulugheta,Male,Black (Eritrean),No,No,Texas,3/1/22,Representative,30,"3,284",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
Roy Williams Jr.,Male,Black,No,No,Texas,3/1/22,Representative,30,"2,746",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
Colin Allred,Male,Black,Yes,No,Texas,3/1/22,Representative,32,"31,805",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carlos Quintanilla,Male,Latino,No,Yes,Texas,3/1/22,Representative,33,"7,373",30%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marc Veasey,Male,Black,Yes,No,Texas,3/1/22,Representative,33,"16,806",70%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laura Cisneros,Female,Latino,No,Yes,Texas,3/1/22,Representative,34,"8,456",23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vicente Gonzalez,Male,Latino,Yes,No,Texas,3/1/22,Representative,34,"23,531",65%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Filemon Meza,Male,Latino,No,Yes,Texas,3/1/22,Representative,34,920,3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beatriz Reynoso,Female,Latino,No,Yes,Texas,3/1/22,Representative,34,"1,287",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Osbert Rodriguez Haro,Male,Latino,No,Yes,Texas,3/1/22,Representative,34,331,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
William Thompson,Male,White,No,Yes,Texas,3/1/22,Representative,34,"1,085",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Diego Zavala,Male,Latino (Mexican),No,Yes,Texas,3/1/22,Representative,34,718,2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Greg Casar,Male,Latino (Mexican),No,No,Texas,3/1/22,Representative,35,"25,505",61%,Won,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,Yes,Yes,Yes,N/A
Eddie Rodriguez,Male,Latino (Mexican),No,No,Texas,3/1/22,Representative,35,"6,526",16%,Lost,N/A,N/A,N/A,N/A,No,No,N/A,No,No,No,No,N/A
Carla-Joy Sisco,Female,Black,No,No,Texas,3/1/22,Representative,35,"3,190",8%,Lost,N/A,N/A,N/A,N/A,No,No,N/A,No,No,No,No,N/A
Rebecca Viagran,Female,Latino,No,No,Texas,3/1/22,Representative,35,"6,511",16%,Lost,N/A,N/A,N/A,N/A,No,No,N/A,No,No,No,No,N/A
Jon Haire,Male,White,No,No,Texas,3/1/22,Representative,36,"16,589",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Quinton ""Q"" Beaubouef",Male,White,No,Yes,Texas,3/1/22,Representative,37,804,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lloyd Doggett,Male,White,Yes,No,Texas,3/1/22,Representative,37,"60,007",79%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Donna Imam,Female,Asian (Bangladeshi),No,Yes,Texas,3/1/22,Representative,37,"13,385",18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Jones,Male,White,No,Yes,Texas,3/1/22,Representative,37,"1,503",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Diana Martinez Alexander,Female,Latino,No,No,Texas,3/1/22,Representative,38,"9,861",45%,Made runoff,"4,111",39%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Duncan F. Klussmann,Male,White,No,No,Texas,3/1/22,Representative,38,"8,698",39%,Made runoff,"6,449",61%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Centrell Reed,Female,Black,No,No,Texas,3/1/22,Representative,38,"3,550",16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Inocencio ""Inno"" Barrientez",Male,Latino,No,No,Texas,3/1/22,Governor,N/A,"12,887",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Cooper,Male,Black,No,No,Texas,3/1/22,Governor,N/A,"32,673",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joy Diaz,Female,Latino (Mexican),No,No,Texas,3/1/22,Governor,N/A,"33,622",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beto O'Rourke,Male,White,No,No,Texas,3/1/22,Governor,N/A,"983,182",91%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rich Wakeland,Male,White,No,No,Texas,3/1/22,Governor,N/A,"13,237",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thomas M. McDermott Jr.,Male,White,No,No,Indiana,5/3/22,Senator,N/A,"173,466",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Richard E. Fantin,Male,Unknown,No,Yes,Indiana,5/3/22,Representative,1,"5,413",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Frank J. Mrvan,Male,White,Yes,No,Indiana,5/3/22,Representative,1,"34,489",86%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paul D. Steury,Male,White,No,No,Indiana,5/3/22,Representative,2,"11,708",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phillip Beachy,Male,White,No,No,Indiana,5/3/22,Representative,3,"2,400",20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aaron ""A.J."" Calkins",Male,White,No,No,Indiana,5/3/22,Representative,3,"2,894",24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gary L. Snyder,Male,White,No,No,Indiana,5/3/22,Representative,3,"6,794",56%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Roger D. Day,Male,White,No,No,Indiana,5/3/22,Representative,4,"5,680",68%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Howard J. Pollchik,Male,White,No,No,Indiana,5/3/22,Representative,4,"2,648",32%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matthew L. Hall,Male,White,No,No,Indiana,5/3/22,Representative,5,"6,799",40%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeannine Lee Lake,Female,Black,No,No,Indiana,5/3/22,Representative,5,"10,192",60%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
George Thomas Holland,Male,White,No,No,Indiana,5/3/22,Representative,6,"3,337",27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Cynthia ""Cinde"" Wirth",Female,White,No,No,Indiana,5/3/22,Representative,6,"9,057",73%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
André D. Carson,Male,Black,Yes,No,Indiana,5/3/22,Representative,7,"36,242",94%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Curtis D. Godfrey,Male,Black,No,Yes,Indiana,5/3/22,Representative,7,"1,526",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pierre Quincy Pullins,Male,Black,No,Yes,Indiana,5/3/22,Representative,7,830,2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adnan H. Dhahir,Male,White,No,No,Indiana,5/3/22,Representative,8,"4,429",19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ray McCormick,Male,White,No,No,Indiana,5/3/22,Representative,8,"16,465",70%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Peter F.H. Priest II,Male,White,No,No,Indiana,5/3/22,Representative,8,"2,731",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Isak Asare,Male,Black,No,No,Indiana,5/3/22,Representative,9,"6,305",29%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D. Liam Dorris,Male,White,No,No,Indiana,5/3/22,Representative,9,"3,023",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matthew Fyfe,Male,White,No,No,Indiana,5/3/22,Representative,9,"12,240",57%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morgan Harper,Female,Black,No,No,Ohio,5/3/22,Senator,N/A,"92,347",18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A
"Traci ""TJ"" Johnson",Female,Black,No,No,Ohio,5/3/22,Senator,N/A,"65,209",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Tim Ryan,Male,White,No,No,Ohio,5/3/22,Senator,N/A,"359,941",70%,Won,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Greg Landsman,Male,White,No,No,Ohio,5/3/22,Representative,1,"28,330",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Alan Darnowsky,Male,White,No,No,Ohio,5/3/22,Representative,2,"4,541",28%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samantha Meadows,Female,White ,No,No,Ohio,5/3/22,Representative,2,"11,694",72%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joyce Beatty,Female,Black,Yes,No,Ohio,5/3/22,Representative,3,"48,241",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeffrey A. Sites,Male,White,No,No,Ohio,5/3/22,Representative,4,"10,160",48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamie Wilson,Female,Black,No,No,Ohio,5/3/22,Representative,4,"10,804",52%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Martin Heberling III,Male,White,No,No,Ohio,5/3/22,Representative,5,"11,812",45%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Craig Swartz,Male,White,No,No,Ohio,5/3/22,Representative,5,"14,590",55%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Martin Alexander,Male,Black,No,No,Ohio,5/3/22,Representative,6,"5,359",24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric S. Jones,Male,White,No,No,Ohio,5/3/22,Representative,6,"7,496",34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Louis G. Lyras,Male,White,No,No,Ohio,5/3/22,Representative,6,"9,056",41%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matthew Diemer,Male,White,No,No,Ohio,5/3/22,Representative,7,"12,636",63%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tristan Rader,Male,White,No,No,Ohio,5/3/22,Representative,7,"7,500",37%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vanessa Enoch,Female,Black,No,No,Ohio,5/3/22,Representative,8,"18,290",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marcy Kaptur,Female,White,Yes,No,Ohio,5/3/22,Representative,9,"32,968",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kirk Benjamin,Male,Unknown,No,No,Ohio,5/3/22,Representative,10,"5,760",17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Esrati,Male,White,No,No,Ohio,5/3/22,Representative,10,"10,473",31%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Hardenbrook,Male,White ,No,No,Ohio,5/3/22,Representative,10,"8,633",26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baxter Stapleton,Male,White,No,No,Ohio,5/3/22,Representative,10,"8,529",26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shontel Brown,Female,Black,Yes,No,Ohio,5/3/22,Representative,11,"44,841",66%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,No,N/A
Nina Turner,Female,Black,No,Yes,Ohio,5/3/22,Representative,11,"22,830",34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A
Michael Fletcher,Male,White,No,No,Ohio,5/3/22,Representative,12,"9,717",43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amy Rippel-Elton,Female,White,No,No,Ohio,5/3/22,Representative,12,"12,712",57%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emilia Sykes,Female,Black,No,No,Ohio,5/3/22,Representative,13,"36,245",100%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Matt Kilboy,Male,White,No,No,Ohio,5/3/22,Representative,14,"34,499",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gary Josephson,Male,Unknown,No,No,Ohio,5/3/22,Representative,15,"9,030",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Cranley,Male,White,No,No,Ohio,5/3/22,Governor,N/A,"178,132",35%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
