name,team,games,category,desc.,year,source
J. Dunbar,STL,4,PEDs,,2013,http://www.nfl.com/news/story/0ap1000000229913/article/st-louis-rams-jolonn-dunbar-suspended-four-games
R. Edwards,MIN,4,PEDs,,2007,http://www.twincities.com/ci_7641964?source=rss
B. Eldridge,STL,4,PEDs,,2012,http://www.nfl.com/news/story/09000d5d82a4a506/article/brody-eldridge-st-louis-rams-te-suspended-four-games
L. Flowers,DEN,4,PEDs,,2004,http://sports.espn.go.com/nfl/news/story?id=1585992
E. Gant,CIN,4,PEDs,,2010,http://blog.azcardinals.com/2010/06/21/gant-suspended-four-games/
D. Graham,HOU,4,PEDs,,2002,http://www.nytimes.com/2002/12/19/sports/nfl-texans-lineman-suspended.html
L. Grant,FREE,4,PEDs,,2013,http://www.nfl.com/news/story/0ap1000000161912/article/larry-grant-suspended-four-games-for-violating-nfl-drug-policy
V. Green,SD,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/7667289/denver-broncos-dj-williams-ryan-mcbean-virgil-green-suspended
S. Gregory,NYJ,4,PEDs,,2010,http://sports.espn.go.com/nfl/news/story?id=5648428
C. Griffin,WAS,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/8709862/cedric-griffin-washington-redskins-suspended-four-games
W. Guy,SEA,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000098505/article/winston-guy-of-seahawks-suspended-for-illegal-substances
J. Haden,CLE,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000060490/article/joe-haden-of-cleveland-browns-suspended-four-games
A. Hall,TEN,4,PEDs,,2011,http://espn.go.com/nfl/story/_/id/6927311/tennessee-titans-ahmard-hall-suspended-4-games-nfl
J. Hanson,PHI,4,PEDs,,2009,http://sports.espn.go.com/nfl/news/story?id=4645055
J. Hawley,ATL,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000097773/article/joe-hawley-of-atlanta-falcons-suspended-four-games-by-nfl
K. Henderson,SF,4,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
C. Henry,TEN,4,PEDs,,2007,http://www.utsandiego.com/sports/nfl/20080921-9999-1s21list.html
W. Hill,NYG,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000078540/article/will-hill-suspended-by-nfl-for-violating-ped-policy
A. Holmes,OAK,4,PEDs,,2013,http://www.cbssports.com/nfl/eye-on-football/22915004/raiders-wr-andre-holmes-suspended-for-ped-violation
B. Irvin,DET,4,PEDs,,2013,http://espn.go.com/nfl/story/_/id/9287069/bruce-irvin-seattle-seahawks-suspended-four-games
A. Jackson,BAL,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000225102/article/ravens-asa-jackson-banned-8-games-for-violating-ped-policy
R. James,ATL,4,PEDs,,2010,http://sports.espn.go.com/nfl/news/story?id=5364259
M. Jaworski,BUF,4,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
