Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,AD,ALV,Andorra la Vella,Andorra la Vella,,AI,--34-6--,0601,,4230N 00131E,
,AD,CAN,Canillo,Canillo,,RL,--3-----,0307,,4234N 00135E,
,AD,EAC,Escàs,Escas,04,RL,--3-----,1407,,4233N 00131E,
,AD,ENC,Encamp,Encamp,,RL,--3-----,0307,,4232N 00134E,
,AD,ESC,Escaldes-Engordany,Escaldes-Engordany,,RL,--3-----,0307,,4231N 00133E,
,AD,FMO,La Farga de Moles,La Farga de Moles,,RL,--3----B,0307,,,
,AD,LMA,La Massana,La Massana,,RL,--3-----,0307,,4234N 00129E,
,AD,ORD,Ordino,Ordino,,RL,--3-----,0307,,4233N 00131E,
,AD,PAS,Pas de la Casa,Pas de la Casa,,RL,--3----B,0307,,4233N 00144E,
,AD,SCO,Santa Coloma,Santa Coloma,,RL,--3-----,0307,,4230N 00130E,
,AD,SJL,Sant Julià de Lòria,Sant Julia de Loria,,RL,--3-----,1101,,4228N 00130E,
,AE,AAN,Al Ain,Al Ain,,AI,---4----,9601,,,
,AE,ABU,Abu al Bukhoosh,Abu al Bukhoosh,,RL,1-------,0307,,2529N 05308E,
,AE,AJM,Ajman,Ajman,,RL,1-3-----,0103,QAJ,,
,AE,AJP,Al Jeer Port,Al Jeer Port,RK,RL,1-3-----,1307,,2602N 05603E,
,AE,ALB,Al Barsha,Al Barsha,DU,RL,--3-----,1701,,2506N 05511E,
,AE,ALQ,Al Quoz,Al Quoz,DU,RL,--3-----,1701,,2507N 05513E,
,AE,ALS,Al Sufouh,Al Sufouh,DU,RL,--3-----,1701,,2507N 05511E,
,AE,AMF,Musaffah,Musaffah,AZ,RL,1-3-----,2301,,2423N 05429E,Function is 1 and coordinates is 2423N 05429E
,AE,AMU,Abu Musa,Abu Musa,,RL,1-------,0201,,2552N 05501E,
,AE,ARP,Ahmed Bin Rashid Port,Ahmed Bin Rashid Port,AZ,RL,1-------,1407,,2532N 05533E,
,AE,ARZ,Arzanah Island,Arzanah Island,,RL,0-------,9506,,,
,AE,AUH,Abu Dhabi,Abu Dhabi,AZ,AI,1-345---,1101,,2428N 05422E,
,AE,AWE,Al Aweer,Al Aweer,DU,RL,-23-----,2307,,2511N 05533E,
,AE,DAS,Das Island,Das Island,,RL,1-------,0003,,,
,AE,DBI,Al Mafraq,Al Mafraq,AZ,RL,--3-----,1601,,2418N 05436E,
,AE,DBP,Dibba,Dibba,SH,RL,1-3-----,0401,,2537N 05616E,
,AE,DER,Deira,Deira,DU,RL,--3-----,1401,,2516N 05519E,
,AE,DHF,Al Dhafra,Al Dhafra,,AI,--34----,0507,,2414N 05432E,
,AE,DUJ,The Palm Jumeirah,The Palm Jumeirah,DU,RL,1-------,0901,,,
,AE,DUY,Ras Zubbaya (Ras Dubayyah),Ras Zubbaya (Ras Dubayyah),,RL,0-------,9012,,,
,AE,DWC,Dubai World Central Apt,Dubai World Central Apt,,AI,--34----,1007,,2453N 05510E,
,AE,DXB,Dubai,Dubai,DU,AI,1-345---,0407,,2515N 05516E,
,AE,END,Esnnad,Esnnad,AZ,RL,1-------,0901,,2419N 05427E,
,AE,FAT,Fateh Terminal,Fateh Terminal,,QQ,1-------,8103,,,
,AE,FJR,Al Fujayrah,Al Fujayrah,FU,AI,1--4----,0212,,2507N 05620E,
,AE,FMZ,Musafa,Musafa,,RL,0-------,9307,,,
,AE,FRP,Free Port,Free Port,DU,RL,1-------,1407,,2515N 05515E,
,AE,HAB,Habshan,Habshan,AZ,RL,--3-----,1207,,2356N 05338E,
,AE,HAM,Al Hamriyah,Al Hamriyah,,RL,--3-----,0212,,2529N 05530E,
,AE,HAT,Hatta,Hatta,DU,RL,--3-----,1707,,2447N 05607E,
,AE,HIL,Hail,Hail,AZ,RL,------7-,1801,,3500N 03330E,
,AE,HSN,Hassyan,Hassyan,DU,AA,1-3-----,1901,,2454N 05454E,
,AE,HTL,Hulaylah Terminal,Hulaylah Terminal,,RL,1-------,0901,,2559N 05556E,
,AE,HZP,Hamriya Free Zone Port,Hamriya Free Zone Port,DU,RL,1-------,1407,,2518N 05519E,
,AE,IDA,Jebel Ali Industrial Area,Jebel Ali Industrial Area,DU,AM,--3--6--,2207,,2500N 05507E,
,AE,IND,Indooroodilly,Indooroodilly,,RL,--3-----,0201,,,
,AE,JAZ,Al Jazeera Port,Al Jazeera Port,RK,RL,1-------,1307,,2543N 05548E,
,AE,JEA,Jebel Ali,Jebel Ali,,QQ,1-------,8103,,,
,AE,JED,Jebel Dhanna,Jebel Dhanna,,QQ,1-------,8103,,,
,AE,JYH,Jumayrah,Jumayrah,,RL,--3-----,0201,,2510N 05513E,
,AE,KHA,Khalidia,Khalidia,,RL,--3-----,0201,,,
,AE,KHL,Mina Khalifa/Abu Dhabi,Mina Khalifa/Abu Dhabi,,RL,1-------,1207,,2450N 05440E,
,AE,KLB,Kalba,Kalba,,RL,1-3-----,0601,,2504N 05621E,
,AE,KLF,Khor al Fakkan,Khor al Fakkan,,RL,1-------,0212,,2520N 05621E,
,AE,MAS,Masfut,Masfut,,RL,0-------,9307,,,
,AE,MBS,Mubarras Island,Mubarras Island,,RL,1-------,2407,,2435N 05319E,
,AE,MKH,Mina Khalid,Mina Khalid,SH,RL,1-3-----,0401,,2521N 05522E,
,AE,MRP,Mina Rashid Port,Mina Rashid Port,AZ,RL,1-------,1407,,2516N 05517E,
,AE,MSA,Mina Saqr,Mina Saqr,RK,RL,1-------,2007,,2558N 05604E,
,AE,MUB,Mubarek Terminal,Mubarek Terminal,,QQ,1-------,8103,,,
,AE,MZD,Mina Zayed/Abu Dhabi,Mina Zayed/Abu Dhabi,AZ,RL,1-------,0401,,2431N 05422E,
,AE,NHD,Minhad,Minhad,,AI,---4----,9506,,,
,AE,OFJ,Offshore Fujairah,Offshore Fujairah,,RL,------7-,0907,,2515N 05640E,
,AE,PRA,Port Rashid,Port Rashid,,RL,1-------,9506,,,
,AE,QIW,Umm al Quwain,Umm al Quwain,,AI,1--4----,2007,,2535N 05535E,
,AE,QWE,Jebel Ali Free Zone,Jebel Ali Free Zone,DU,RL,1-3-----,1401,,2500N 05503E,
,AE,RAK,Ras Al Khor,Ras Al Khor,DU,RL,-----6--,1007,,2517N 05534E,
,AE,REI,Reem Island,Reem Island,AZ,RL,--3-----,1701,,2429N 05424E,
,AE,RFA,Mirfa,Mirfa,AZ,RL,1----6--,0907,,2528N 05329E,
,AE,RKP,Rak Khor Port,Rak Khor Port,RK,RL,1-------,1307,,2549N 05557E,
,AE,RKT,Ras al Khaimah,Ras al Khaimah,,AI,1--4----,0212,,2547N 05557E,
,AE,RMC,Rak Maritime City,Rak Maritime City,RK,RL,1-------,1307,,2557N 05603E,
,AE,RUW,Ar Ruways,Ar Ruways,,RL,1-------,0212,,2407N 05244E,
,AE,RWP,Ruwais Port,Ruwais Port,AZ,RL,1-------,1407,,2406N 05243E,
,AE,SHJ,Sharjah,Sharjah,SH,AI,1-34----,1307,,2521N 05523E,
,AE,SID,Sadiyat Island,Sadiyat Island,,RL,1-------,0901,,2432N 05424E,
,AE,SIL,Sila,Sila,AZ,RL,--3-----,1407,,2404N 05145E,
,AE,SRT,Stevin Rock,Stevin Rock,RK,RL,-----6--,2007,,2558N 05603E,
,AE,SWE,Swaihan,Swaihan,AZ,RL,--3-----,1701,,2427N 05520E,
,AE,SZE,Jebel Ali Free Zone (South),Jebel Ali Free Zone (South),DU,AM,--3--6--,2207,,2457N 05507E,
,AE,SZS,Saif Zone,Saif Zone,SH,AM,--3--6--,2301,,2520N 05529E,
,AE,ULR,Umm Al Nar,Umm Al Nar,,RL,1-------,0201,,2426N 05430E,
,AE,VHT,Vopak Horizion Terminal,Vopak Horizion Terminal,RK,RL,-----6--,1407,,2537N 05616E,
,AE,YAS,Yas Island,Yas Island,AZ,RL,1-------,1207,,2419N 05236E,
,AE,ZUR,Zirku Island,Zirku Island,AZ,RL,1-------,0212,,2453N 05304E,
,AF,ASH,Ali Shirzayi,Ali Shirzayi,URU,RL,--3-----,1307,,3252N 06603E,
,AF,BAG,Bagram,Bagram,PAR,RL,--3-----,0307,,3457N 06915E,
,AF,BIN,Bamian,Bamian,,AI,--34----,0907,,,
,AF,BEP,Bazar-E-Panjwai,Bazar-E-Panjwai,KAN,RL,--3-----,1001,,3133N 06527E,
,AF,BST,Bost,Bost,,AI,---4----,9912,,,
,AF,CBN,Shorabak,Shorabak,HEL,AS,--34----,1307,OAZ,3151N 06413E,
,AF,CCN,Chaghcharan,Chaghcharan,,AI,---4----,1307,,3431N 06515E,
,AF,DAZ,Darwaz,Darwaz,,AI,---4----,9601,,,
,AF,DHD,Dehdadi,Dehdadi,BAL,RL,1----6--,1201,,3639N 06659E,
,AF,ISQ,Eslam Qal'eh,Eslam Qal'eh,,RL,--3-----,0601,,3440N 06104E,
,AF,FBD,Faizabad,Faizabad,,AI,---4----,9601,,,
,AF,FAH,Farah,Farah,,AI,---4----,9912,,,
,AF,GRG,Gardez,Gardez,,AI,---4----,9912,,,
,AF,GAR,Gardiz,Gardiz,PIA,RL,--3-----,0901,,3335N 06913E,
,AF,GZI,Ghazni,Ghazni,,AI,---4----,9912,,,
,AF,HRT,Hairatan,Hairatan,,RL,0-------,9705,,,
,AF,HEA,Herat,Herat,,AI,---4----,9601,,,
,AF,JAA,Jalalabad,Jalalabad,,AI,---4----,9912,,,
,AF,KBL,Kabul,Kabul,,AI,--345---,9601,,,
,AF,KMU,Kamu,Kamu,KNR,RL,--3-----,1001,,3524N 07125E,
,AF,KDH,Kandahar,Kandahar,,AI,--34----,9601,,,
,AF,KHT,Khost,Khost,,AI,---4----,9912,,,
,AF,KHO,Khowst,Khowst,KNR,RL,--3-----,0907,,3512N 07050E,
,AF,KWT,Khowst,Khowst,PIA,RL,--3-----,0907,,3320N 06955E,
,AF,KWH,Khwahan,Khwahan,,AI,---4----,9912,,,
,AF,UND,Kunduz,Kunduz,,AI,---4----,9601,,,
,AF,KUR,Kuran-O-Munjan,Kuran-O-Munjan,,AI,---4----,9912,,,
,AF,LAG,Lashkar Gah,Lashkar Gah,HEL,RL,--3-----,0901,,3135N 06421E,
,AF,MMZ,Maimana,Maimana,,AI,---4----,9601,,,
,AF,MWD,Maiwand,Maiwand,KAN,RL,--3-----,0901,,3144N 06508E,
,AF,MAS,Mashad,Mashad,,RL,0-------,8910,,,
,AF,MZR,Mazar-i-Sharif,Mazar-i-Sharif,,AI,---4----,0212,,3642N 06706E,
,AF,MEH,Mehtar Lam,Mehtar Lam,LAG,RL,--3-----,1101,,3440N 07012E,
,AF,MEY,Meydan,Meydan,BAL,RL,--3-----,1307,,3654N 06655E,
,AF,IMZ,Nimroz,Nimroz,,AI,---4----,9912,,,
,AF,ORG,Orgun-E Kalan,Orgun-E Kalan,PKA,RL,--3-----,1307,,3254N 06913E,
,AF,PSD,Pasaband,Pasaband,GHO,RL,--3-----,1207,,3341N 06451E,
,AF,PEC,Pol-e Charkhi,Pol-e Charkhi,KAB,RL,--3-----,1701,,3432N 06920E,
,AF,LQN,Qala Nau,Qala Nau,,AI,---4----,9601,,,
,AF,QLT,Qalat,Qalat,,RL,1-3-----,0601,,3206N 06653E,
,AF,QYN,Qal'Eh-Ye Now,Qal'Eh-Ye Now,BDG,RL,--3-----,1001,,3459N 06307E,
,AF,QAM,Qasim,Qasim,,RL,-----6--,1007,,3502N 07132E,
,AF,SBF,Sardeh Band,Sardeh Band,,AI,---4----,9912,,,
,AF,SRO,Sharona,Sharona,PKA,RL,-----6--,0901,,3313N 06883E,
,AF,SGA,Sheghnan,Sheghnan,,AI,---4----,9601,,,
,AF,SHE,Sherhan-Bandar,Sherhan-Bandar,,RL,--3-----,0901,,3712N 06905E,
,AF,SDD,Shindand,Shindand,HER,RL,--3-----,0907,,3318N 06208E,
,AF,SBK,Spin Boldak,Spin Boldak,KAN,RL,--3-----,1307,,3100N 06624E,
,AF,TQN,Taluqan,Taluqan,,AI,---4----,9912,,,
,AF,TKO,Tarin Kowt,Tarin Kowt,URU,RL,--3-----,1307,,3237N 06552E,
,AF,TII,Tirinkot,Tirinkot,,AI,---4----,9601,,,
,AF,TGH,Torghundi,Torghundi,,RL,0-------,9705,,,
,AF,RKH,Torkham,Torkham,NAN,RL,1-------,0901,,3453N 07155E,
,AF,TOW,Towraghondi,Towraghondi,HER,RL,--3-----,1307,,3515N 06217E,
,AF,URN,Urgoon,Urgoon,,AI,---4----,9912,,,
