timestamp,respondents,category,link,average,mean,median,1_votes,1_pct
2017-07-17 16:00:02.403711,78,Females,http://www.imdb.com/title/tt6322922/ratings-female,6.9,7.7,10,16,20.5
2017-07-17 16:00:02.664556,4,Aged under 18,http://www.imdb.com/title/tt6322922/ratings-age_1,4.2,4.2,3,2,50.0
2017-07-17 16:00:02.900861,4,Males under 18,http://www.imdb.com/title/tt6322922/ratings-male_age_1,4.2,4.2,3,2,50.0
2017-07-17 16:00:03.084958,130,Aged 18-29,http://www.imdb.com/title/tt6322922/ratings-age_2,6.3,6.5,9,41,31.5
2017-07-17 16:00:03.307444,108,Males Aged 18-29,http://www.imdb.com/title/tt6322922/ratings-male_age_2,6.2,6.2,9,37,34.3
2017-07-17 16:00:03.541977,17,Females Aged 18-29,http://www.imdb.com/title/tt6322922/ratings-female_age_2,7.7,8.4,10,2,11.8
2017-07-17 16:00:03.783810,197,Aged 30-44,http://www.imdb.com/title/tt6322922/ratings-age_3,4.3,4.9,2,93,47.2
2017-07-17 16:00:03.980770,165,Males Aged 30-44,http://www.imdb.com/title/tt6322922/ratings-male_age_3,4.1,4.4,1,86,52.1
2017-07-17 16:00:04.211852,25,Females Aged 30-44,http://www.imdb.com/title/tt6322922/ratings-female_age_3,7.2,8.2,10,5,20.0
2017-07-17 16:00:04.405376,105,Aged 45+,http://www.imdb.com/title/tt6322922/ratings-age_4,4.2,4.9,1,54,51.4
2017-07-17 16:00:04.653076,79,Males Aged 45+,http://www.imdb.com/title/tt6322922/ratings-male_age_4,3.6,4.3,1,47,59.5
2017-07-17 16:00:04.888141,24,Females Aged 45+,http://www.imdb.com/title/tt6322922/ratings-female_age_4,6.3,6.4,8,7,29.2
2017-07-17 16:00:05.104331,2,IMDb staff,http://www.imdb.com/title/tt6322922/ratings-imdb_staff,8.0,8.0,8,0,0.0
2017-07-17 16:00:05.347863,24,Top 1000 voters,http://www.imdb.com/title/tt6322922/ratings-top_1000,5.6,5.6,5,5,20.8
2017-07-17 16:00:05.534777,219,US users,http://www.imdb.com/title/tt6322922/ratings-usa,4.2,4.9,1,111,50.7
2017-07-17 16:00:05.752114,144,Non-US users,http://www.imdb.com/title/tt6322922/ratings-international,5.9,6.5,9,40,27.8
2017-07-17 16:00:06.023053,679,IMDb users,http://www.imdb.com/title/tt6322922/ratings,4.9,5.3,5,305,44.9
2017-07-17 17:00:02.466381,403,Males,http://www.imdb.com/title/tt6322922/ratings-male,4.6,4.9,2,198,49.1
2017-07-17 17:00:02.650483,78,Females,http://www.imdb.com/title/tt6322922/ratings-female,6.9,7.7,10,16,20.5
2017-07-17 17:00:02.895005,4,Aged under 18,http://www.imdb.com/title/tt6322922/ratings-age_1,4.2,4.2,3,2,50.0
2017-07-17 17:00:03.090618,4,Males under 18,http://www.imdb.com/title/tt6322922/ratings-male_age_1,4.2,4.2,3,2,50.0
2017-07-17 17:00:03.315093,130,Aged 18-29,http://www.imdb.com/title/tt6322922/ratings-age_2,6.3,6.5,9,41,31.5
2017-07-17 17:00:03.558544,108,Males Aged 18-29,http://www.imdb.com/title/tt6322922/ratings-male_age_2,6.2,6.2,9,37,34.3
