Entity,Year,Share of deaths (Shen et al. 2018),Share of Google searches (Shen et al. 2018),Share of NYT media coverage (Shen et al. 2018),Share of Guardian media coverage (Shen et al. 2018)
Kidney disease,2000,2.07,,0.21,0.21
Kidney disease,2001,2.18,,0.16,0.08
Kidney disease,2002,2.24,,0.2,0.07
Kidney disease,2003,2.32,,0.33,0.15
Kidney disease,2004,2.38,0.72,0.24,0.12
Kidney disease,2005,2.41,0.7,0.33,0.09
Kidney disease,2006,2.52,0.79,0.29,0.07
Kidney disease,2007,2.59,0.84,0.2,0.16
Kidney disease,2008,2.65,0.87,0.36,0.08
Kidney disease,2009,2.74,0.89,0.35,0.08
Kidney disease,2010,2.82,0.94,0.26,0.18
Kidney disease,2011,2.56,0.93,0.35,0.15
Kidney disease,2012,2.57,0.96,0.34,0.1
Kidney disease,2013,2.62,0.97,0.36,0.16
Kidney disease,2014,2.66,1.05,0.28,0.12
Kidney disease,2015,2.69,1.05,0.25,0.16
Kidney disease,2016,2.69,1.08,0.18,0.14
Lower respiratory disease,1999,6.51,,2.79,2.61
Lower respiratory disease,2000,6.39,,2.77,2.32
Lower respiratory disease,2001,6.44,,1.88,1.44
Lower respiratory disease,2002,6.47,,1.26,1.51
Lower respiratory disease,2003,6.57,,2.38,1.58
Lower respiratory disease,2004,6.5,1.76,1.86,2.08
