cycle,branch,race,forecastdate,version,Democrat_WinProbability,Republican_WinProbability,category,Democrat_Won,Republican_Won,uncalled
2018,Governor,AK-G1,11/6/18,classic,.31095999,.68904001,Lean R,0,1,0
2018,Governor,AL-G1,11/6/18,classic,.01692,.98308003,Safe R,0,1,0
2018,Governor,AR-G1,11/6/18,classic,.00062000001,.99937999,Safe R,0,1,0
2018,Governor,AZ-G1,11/6/18,classic,.0128,.98720002,Safe R,0,1,0
2018,Governor,CA-G1,11/6/18,classic,.98794001,.01206,Solid D,1,0,0
2018,Governor,CO-G1,11/6/18,classic,.9497,.050299998,Likely D,1,0,0
2018,Governor,CT-G1,11/6/18,classic,.78996003,.21004,Likely D,1,0,0
2018,Governor,FL-G1,11/6/18,classic,.77215999,.22784001,Likely D,0,1,0
2018,Governor,GA-G1,11/6/18,classic,.3224,.67760003,Lean R,0,1,0
2018,Governor,HI-G1,11/6/18,classic,.99853998,.0014600001,Solid D,1,0,0
2018,Governor,IA-G1,11/6/18,classic,.57315999,.42684001,Tossup (Tilt D),0,1,0
2018,Governor,ID-G1,11/6/18,classic,.0174,.98259997,Safe R,0,1,0
2018,Governor,IL-G1,11/6/18,classic,.83969998,.1603,Likely D,1,0,0
2018,Governor,KS-G1,11/6/18,classic,.42814001,.57151997,Tossup (Tilt R),1,0,0
2018,Governor,MA-G1,11/6/18,classic,.00079999998,.99919999,Safe R,0,1,0
2018,Governor,MD-G1,11/6/18,classic,.0073199999,.99268001,Safe R,0,1,0
2018,Governor,ME-G1,11/6/18,classic,.94651997,.053479999,Likely D,1,0,0
2018,Governor,MI-G1,11/6/18,classic,.93129998,.068700001,Likely D,1,0,0
2018,Governor,MN-G1,11/6/18,classic,.93074,.069260001,Likely D,1,0,0
2018,Governor,NE-G1,11/6/18,classic,.00942,.99058002,Safe R,0,1,0
2018,Governor,NH-G1,11/6/18,classic,.13988,.86012,Likely R,0,1,0
2018,Governor,NM-G1,11/6/18,classic,.94032001,.05968,Likely D,1,0,0
2018,Governor,NV-G1,11/6/18,classic,.51521999,.48478001,Tossup (Tilt D),1,0,0
2018,Governor,NY-G1,11/6/18,classic,.99265999,.00734,Solid D,1,0,0
2018,Governor,OH-G1,11/6/18,classic,.59491998,.40507999,Tossup (Tilt D),0,1,0
2018,Governor,OK-G1,11/6/18,classic,.14308,.85692,Likely R,0,1,0
2018,Governor,OR-G1,11/6/18,classic,.82336003,.17664,Likely D,1,0,0
2018,Governor,PA-G1,11/6/18,classic,.99048001,.0095199998,Solid D,1,0,0
2018,Governor,RI-G1,11/6/18,classic,.97869998,.021299999,Solid D,1,0,0
2018,Governor,SC-G1,11/6/18,classic,.02558,.97442001,Safe R,0,1,0
2018,Governor,SD-G1,11/6/18,classic,.36921999,.63077998,Lean R,0,1,0
2018,Governor,TN-G1,11/6/18,classic,.023360001,.97663999,Safe R,0,1,0
2018,Governor,TX-G1,11/6/18,classic,.0047800001,.99522001,Safe R,0,1,0
2018,Governor,VT-G1,11/6/18,classic,.06098,.93901998,Likely R,0,1,0
2018,Governor,WI-G1,11/6/18,classic,.59653997,.40346,Tossup (Tilt D),1,0,0
2018,Governor,WY-G1,11/6/18,classic,.0011,.9989,Safe R,0,1,0
2018,House,AK-1,11/6/18,classic,.3475,.65249997,Lean R,0,1,0
2018,House,AL-1,11/6/18,classic,.00044,.99956,Safe R,0,1,0
2018,House,AL-2,11/6/18,classic,.022539999,.97746003,Safe R,0,1,0
2018,House,AL-3,11/6/18,classic,.0018,.9982,Safe R,0,1,0
2018,House,AL-4,11/6/18,classic,0,1,Safe R,0,1,0
2018,House,AL-5,11/6/18,classic,.00106,.99893999,Safe R,0,1,0
2018,House,AL-6,11/6/18,classic,.000079999998,.99992001,Safe R,0,1,0
2018,House,AL-7,11/6/18,classic,1,0,Solid D,1,0,0
2018,House,AR-1,11/6/18,classic,.00039999999,.99959999,Safe R,0,1,0
2018,House,AR-2,11/6/18,classic,.13928001,.86071998,Likely R,0,1,0
2018,House,AR-3,11/6/18,classic,.00068,.99931997,Safe R,0,1,0
2018,House,AR-4,11/6/18,classic,.00031999999,.99967998,Safe R,0,1,0
2018,House,AZ-1,11/6/18,classic,.89223999,.10776,Likely D,1,0,0
2018,House,AZ-2,11/6/18,classic,.96737999,.032620002,Solid D,1,0,0
2018,House,AZ-3,11/6/18,classic,.99992001,.000079999998,Solid D,1,0,0
2018,House,AZ-4,11/6/18,classic,.00028000001,.99971998,Safe R,0,1,0
2018,House,AZ-5,11/6/18,classic,.00085999997,.99914002,Safe R,0,1,0
2018,House,AZ-6,11/6/18,classic,.092160001,.90784001,Likely R,0,1,0
2018,House,AZ-7,11/6/18,classic,.99997997,.000019999999,Solid D,1,0,0
2018,House,AZ-8,11/6/18,classic,.22824,.77175999,Likely R,0,1,0
2018,House,AZ-9,11/6/18,classic,.99572003,.00428,Solid D,1,0,0
2018,House,CA-1,11/6/18,classic,.21362001,.78637999,Likely R,0,1,0
2018,House,CA-10,11/6/18,classic,.7748,.2252,Likely D,1,0,0
2018,House,CA-11,11/6/18,classic,1,0,Solid D,1,0,0
2018,House,CA-12,11/6/18,classic,1,0,Solid D,1,0,0
2018,House,CA-13,11/6/18,classic,.99997997,.000019999999,Solid D,1,0,0
2018,House,CA-14,11/6/18,classic,1,0,Solid D,1,0,0
2018,House,CA-15,11/6/18,classic,1,0,Solid D,1,0,0
2018,House,CA-16,11/6/18,classic,.98181999,.01818,Solid D,1,0,0
2018,House,CA-17,11/6/18,classic,1,0,Solid D,1,0,0
2018,House,CA-18,11/6/18,classic,1,0,Solid D,1,0,0
2018,House,CA-19,11/6/18,classic,1,0,Solid D,1,0,0
2018,House,CA-2,11/6/18,classic,1,0,Solid D,1,0,0
2018,House,CA-20,11/6/18,classic,.99988002,.00012,Solid D,1,0,0
2018,House,CA-21,11/6/18,classic,.2102,.78979999,Likely R,1,0,1
2018,House,CA-22,11/6/18,classic,.045960002,.95403999,Safe R,0,1,0
