Country Name,Country Code,Year,Value
Afghanistan,AFG,2003,-6.99377341327316
Afghanistan,AFG,2004,-2.62408657397109
Afghanistan,AFG,2005,1.74589415257249
Afghanistan,AFG,2006,-81.8540831996008
Afghanistan,AFG,2007,-66.1866031263057
Afghanistan,AFG,2008,-82.4032373381902
Afghanistan,AFG,2009,8.98389418159935
Afghanistan,AFG,2010,44.2032285112493
Afghanistan,AFG,2011,-15.0119144052681
Afghanistan,AFG,2012,-12.4227661185341
Angola,AGO,1999,85.666630481626
Angola,AGO,2000,525.382082756876
Angola,AGO,2001,208.370165446034
Angola,AGO,2002,32.2468279011694
Angola,AGO,2003,-233.882466766229
Angola,AGO,2004,246.41145810159
Angola,AGO,2005,17.1363388424749
Angola,AGO,2006,466.613501654138
Angola,AGO,2007,288.724379367233
Angola,AGO,2008,142.898489022336
Angola,AGO,2009,-221.039785760846
Angola,AGO,2010,17.1571048219559
Angola,AGO,2011,226.066317923148
Angola,AGO,2012,131.22682598451
Albania,ALB,1995,-427.599285286549
Albania,ALB,1996,-489.895182016528
Albania,ALB,1997,-572.304032258617
Albania,ALB,1998,-415.096776966853
Albania,ALB,2002,-291.013557868506
Albania,ALB,2003,-123.129329050436
Albania,ALB,2004,-129.934857982607
United Arab Emirates,ARE,1997,14.3895022734652
United Arab Emirates,ARE,1998,1.35106165088472
United Arab Emirates,ARE,1999,2.55261245868282
United Arab Emirates,ARE,2011,1.15321473111777
United Arab Emirates,ARE,2012,-4.0589825075503
United Arab Emirates,ARE,2013,2.37777330314077
United Arab Emirates,ARE,2014,1.11979974798652
Argentina,ARG,2002,-234.945978260664
Argentina,ARG,2003,-110.706390642481
Argentina,ARG,2004,-17.5255294738067
Armenia,ARM,2003,-35.5175279384021
Armenia,ARM,2004,-39.1088612719695
Armenia,ARM,2005,-44.1890578219869
Armenia,ARM,2006,-12.6174383671149
Armenia,ARM,2007,-22.1086858795147
Armenia,ARM,2008,-20.0237658303501
Armenia,ARM,2009,-258.408145630673
Armenia,ARM,2010,-148.618374643164
Armenia,ARM,2011,-69.0553559892177
Armenia,ARM,2012,-27.1294704866601
Antigua and Barbuda,ATG,2000,-106.373181997547
Antigua and Barbuda,ATG,2001,-195.008047701181
Antigua and Barbuda,ATG,2002,-204.378565402295
Antigua and Barbuda,ATG,2003,-110.633521472811
Antigua and Barbuda,ATG,2004,-53.7427015338145
Antigua and Barbuda,ATG,2005,313.723769586975
Antigua and Barbuda,ATG,2006,-139.975629599782
Antigua and Barbuda,ATG,2007,-115.023898646858
Antigua and Barbuda,ATG,2008,-121.434559889539
Antigua and Barbuda,ATG,2009,-219.080413159942
Antigua and Barbuda,ATG,2010,-27.596641562651
Antigua and Barbuda,ATG,2011,-87.2402708465441
Antigua and Barbuda,ATG,2012,-27.0108861121425
Australia,AUS,1972,9.37661694900004
Australia,AUS,1973,3.96708845480698
Australia,AUS,1974,8.6396387422386
Australia,AUS,1975,3.20144036684343
Australia,AUS,1976,-4.291040288635
Australia,AUS,1977,-2.62963233072523
Australia,AUS,1978,-5.83139335190628
Australia,AUS,1979,-5.96243933319264
Australia,AUS,1980,-2.65644194617131
Australia,AUS,1981,0.323592667863696
Australia,AUS,1982,2.03981630257655
Australia,AUS,1983,-5.4386642471312
Australia,AUS,1984,-11.6196110233489
Australia,AUS,1985,-5.33494533937268
Australia,AUS,1986,-2.75356302753563
Australia,AUS,1987,1.87867694665999
Australia,AUS,1988,5.70910123316588
Australia,AUS,1989,10.170966198286
Australia,AUS,1990,9.94986035249924
Australia,AUS,1991,0.559768687246122
Australia,AUS,1992,-16.4156008162165
Australia,AUS,1993,-22.9503029551679
Australia,AUS,1994,-21.8608458896521
Australia,AUS,1999,24.6519785578288
Australia,AUS,2000,94.3639936467569
Australia,AUS,2001,38.1188893335485
Australia,AUS,2002,-22.5348469523021
Australia,AUS,2003,38.4812791844107
Australia,AUS,2004,35.9776369103798
Australia,AUS,2005,52.0626619134153
Australia,AUS,2006,69.6312571028237
Australia,AUS,2007,60.7418641920807
Australia,AUS,2008,64.1468483928302
Australia,AUS,2009,-85.6293716282779
Australia,AUS,2010,-109.035747216815
Australia,AUS,2011,-92.0063411324442
Australia,AUS,2012,-60.7803198902971
Australia,AUS,2013,-8.81786270248356
Australia,AUS,2014,-7.38265961031896
Austria,AUT,1972,8.47650882601976
Austria,AUT,1973,2.93491737695743
Austria,AUT,1974,3.63928104716906
Austria,AUT,1975,-6.63786512614308
Austria,AUT,1976,-8.83436939822828
Austria,AUT,1977,-6.344499241025
Austria,AUT,1978,-6.68368487852272
Austria,AUT,1979,-4.7057752604468
Austria,AUT,1980,-3.16880505415363
Austria,AUT,1981,-3.04099502308084
Austria,AUT,1982,-9.21404627369608
Austria,AUT,1983,-12.7425100374714
Austria,AUT,1984,-8.4684828117734
Austria,AUT,1985,-9.65539240508076
Austria,AUT,1986,-13.5300342906538
Austria,AUT,1987,-15.8945100393088
Austria,AUT,1988,-13.3658786383926
Austria,AUT,1989,-10.4985277336078
Austria,AUT,1990,-19.8066659215637
Austria,AUT,1991,-20.3095878195795
Austria,AUT,1992,-15.2402696775411
Austria,AUT,1993,-25.7075029553198
Austria,AUT,1994,-25.3554439695706
Austria,AUT,1995,-242.081192961088
Austria,AUT,1996,-194.750103113132
Austria,AUT,1997,-126.626686019697
Austria,AUT,1998,-148.746178532592
Austria,AUT,1999,-131.594824765068
Austria,AUT,2000,-100.171098725544
Austria,AUT,2001,-47.237734559357
Austria,AUT,2002,-71.0572265893352
Austria,AUT,2003,-91.1991870543449
Austria,AUT,2004,-200.043640010655
Austria,AUT,2005,-97.1425925896761
Austria,AUT,2006,-78.1201319169365
Austria,AUT,2007,-47.4694277429238
Austria,AUT,2008,-45.0414833320988
Austria,AUT,2009,-116.848842186027
Austria,AUT,2010,-86.8926235181807
Austria,AUT,2011,-51.8985892905987
Austria,AUT,2012,-45.5017240424453
Austria,AUT,2013,-7.40818513429226
Austria,AUT,2014,-10.1312750730294
Azerbaijan,AZE,1994,-379.688658340165
Azerbaijan,AZE,1995,-106.467579741865
Azerbaijan,AZE,1996,-80.3426431667833
Azerbaijan,AZE,1997,-134.899350551188
