Year,School,Seed,Conference,Conf. W,Conf. L,Conf. %,Conf. place,Reg. W,Reg. L,Reg. %,How qual,1st game at home?,Tourney W,Tourney L,Tourney finish,Full W,Full L,Full %
1984,UNLV,7,Independent,-,-,-,-,24,6,80,at-large,N,0,1,1st,24,7,77.4
1984,Virginia,5,Atlantic Coast,11,3,78.6,1st,22,6,78.6,at-large,N,0,1,1st,22,7,75.9
1985,Auburn,3,Southeastern,5,3,62.5,2nd W,24,5,82.8,at-large,Y,1,1,RSF,25,6,80.6
1985,BYU,8,High Country,11,1,91.7,1st,19,8,70.4,auto,N,0,1,1st,19,9,67.9
1985,Georgia,2,Southeastern,7,1,87.5,1st E,25,4,86.2,at-large,Y,4,1,N2nd,29,5,85.3
1985,Holy Cross,7,Metro Atlantic,9,3,75,T2nd,21,6,77.8,auto,N,0,1,1st,21,7,75
1985,Idaho,5,Mountain West Athl.,13,1,92.9,1st,28,1,96.6,auto,N,0,1,1st,28,2,93.3
1985,Illinois St.,8,Missouri Valley,17,1,94.4,1st,23,5,82.1,auto,N,0,1,1st,23,6,79.3
1985,La.-Monroe,2,Southland,12,0,100,1st,27,1,96.4,auto,Y,3,1,NSF,30,2,93.8
1985,Long Beach St.,1,Western Collegiate,13,1,92.9,1st,26,2,92.9,auto,Y,2,1,RF,28,3,90.3
1985,Louisiana Tech,1,Independent,-,-,-,-,27,3,90,at-large,Y,2,1,RF,29,4,87.9
1985,Memphis,6,Metro,9,1,90,1st S,23,6,79.3,auto,N,0,1,1st,23,7,76.7
1985,Middle Tenn.,5,Ohio Valley,13,1,92.9,1st,23,6,79.3,auto,N,0,1,1st,23,7,76.7
1985,Missouri,7,Big Eight,12,2,85.7,1st,22,8,73.3,auto,N,0,1,1st,22,9,71
1985,NC State,4,Atlantic Coast,13,1,92.9,1st,24,5,82.8,auto,Y,1,1,RSF,25,6,80.6
1985,North Carolina,6,Atlantic Coast,11,3,78.6,2nd,21,10,67.7,at-large,N,0,1,1st,21,11,65.6
1985,Ohio St.,2,Big Ten,18,0,100,1st,26,2,92.9,auto,Y,2,1,RF,28,3,90.3
1985,Old Dominion,1,Sun Belt,6,0,100,1st,26,3,89.7,auto,Y,5,0,Champ,31,3,91.2
1985,Ole Miss,2,Southeastern,8,0,100,1st W,27,2,93.1,at-large,Y,2,1,RF,29,3,90.6
1985,Penn St.,3,Atlantic 10,7,1,87.5,T1st,27,4,87.1,auto,Y,1,1,RSF,28,5,84.8
1985,Saint Joseph's,5,Atlantic 10,7,1,87.5,T1st,25,4,86.2,at-large,N,0,1,1st,25,5,83.3
1985,San Diego St.,5,Western Collegiate,9,5,64.3,4th,20,8,71.4,at-large,N,1,1,RSF,21,9,70
1985,Southern California,4,Western Collegiate,10,4,71.4,T2nd,19,8,70.4,at-large,Y,1,1,RSF,20,9,69
1985,Southern Miss.,7,Metro,8,2,80,2nd S,21,8,72.4,at-large,N,0,1,1st,21,9,70
1985,Syracuse,8,Big East,10,6,62.5,T4th,18,12,60,auto,N,0,1,1st,18,13,58.1
1985,Tennessee,3,Southeastern,4,4,50,T2nd E,21,9,70,auto,Y,1,1,RSF,22,10,68.8
1985,Tennessee Tech,7,Ohio Valley,12,2,85.7,2nd,20,8,71.4,at-large,N,0,1,1st,20,9,69
1985,Texas,1,Southwest,16,0,100,1st,27,2,93.1,auto,Y,1,1,RSF,28,3,90.3
1985,UCLA,6,Western Collegiate,10,4,71.4,T2nd,19,9,67.9,at-large,N,1,1,RSF,20,10,66.7
1985,UNLV,4,Pacific Coast,8,0,100,1st,25,4,86.2,at-large,Y,0,1,1st,25,5,83.3
1985,Virginia,6,Atlantic Coast,9,5,64.3,3rd,21,7,75,at-large,N,0,1,1st,21,8,72.4
1985,Washington,3,Northern Pacific,11,0,100,1st,26,1,96.3,auto,Y,0,1,1st,26,2,92.9
