date,value
1958-03-30,316.16
1958-03-31,316.69
1958-04-02,317.67
1958-04-03,317.76
1958-04-04,317.09
1958-04-05,317.36
1958-04-06,317.80
1958-04-09,315.90
1958-04-13,318.39
1958-04-14,318.41
1958-04-17,317.74
1958-04-18,317.80
1958-04-20,316.52
1958-04-21,317.01
1958-04-22,317.25
1958-05-02,316.84
1958-05-03,316.40
1958-05-04,316.76
1958-05-05,317.69
1958-05-06,317.84
1958-05-20,317.70
1958-05-21,317.98
1958-05-22,318.09
1958-05-23,317.94
1958-07-04,316.94
1958-07-08,315.84
1958-07-14,316.22
1958-07-15,316.55
1958-07-16,314.55
1958-07-17,314.56
1958-07-19,315.72
1958-07-20,316.04
1958-07-23,315.90
1958-07-24,316.09
1958-07-26,315.25
1958-07-27,315.61
1958-07-28,315.53
1958-07-30,315.74
1958-07-31,315.76
1958-08-04,315.29
1958-08-05,314.92
1958-08-06,315.54
1958-08-07,314.78
1958-08-11,315.23
1958-08-12,314.99
1958-08-13,314.82
1958-08-14,315.08
1958-08-15,315.27
1958-09-01,314.23
1958-11-07,313.32
1958-11-08,313.32
1958-11-09,313.15
1958-11-12,313.48
1958-11-13,313.11
1958-11-14,313.07
1958-11-15,313.31
1958-11-16,313.47
1958-11-17,313.35
1958-11-18,313.44
1958-11-19,313.17
1958-11-20,313.17
1958-11-21,313.92
1958-11-22,313.71
1958-11-23,314.01
1958-11-24,313.98
1958-11-26,313.87
1958-11-27,313.91
1958-11-28,314.28
1958-11-29,313.74
1958-11-30,313.84
1958-12-01,314.30
1958-12-02,314.22
1958-12-03,314.15
1958-12-04,314.44
1958-12-05,314.55
1958-12-06,314.24
1958-12-07,314.84
1958-12-08,314.62
1958-12-09,314.36
1958-12-10,313.86
1958-12-11,314.29
1958-12-12,314.53
1958-12-13,314.52
1958-12-14,314.74
1958-12-15,314.68
1958-12-16,314.33
1958-12-17,314.53
1958-12-18,315.08
1958-12-20,315.02
1958-12-21,314.91
1958-12-22,314.76
1958-12-23,314.86
1958-12-24,315.10
1958-12-25,315.09
1958-12-26,315.58
1958-12-27,315.56
1958-12-29,315.04
1958-12-30,315.26
1958-12-31,315.44
1959-01-01,315.23
1959-01-05,315.02
1959-01-06,315.58
1959-01-07,315.14
1959-01-08,315.43
1959-01-09,315.70
1959-01-10,315.58
1959-01-11,315.68
1959-01-12,315.52
1959-01-13,315.28
1959-01-14,315.90
1959-01-15,316.17
1959-01-16,316.03
1959-01-17,315.53
1959-01-18,315.44
1959-01-19,315.04
1959-01-20,315.64
1959-01-21,315.77
1959-01-22,315.91
1959-01-23,315.59
1959-01-24,316.01
1959-01-25,315.84
1959-01-26,315.80
1959-01-28,315.41
1959-01-29,315.56
1959-02-17,316.94
1959-02-18,316.68
1959-02-19,316.42
1959-02-20,316.20
1959-02-22,316.81
1959-02-23,317.17
1959-02-24,316.91
1959-02-26,316.56
1959-02-27,316.41
1959-02-28,316.48
1959-03-01,316.87
1959-03-03,316.90
1959-03-04,316.78
1959-03-05,316.92
1959-03-06,316.65
1959-03-07,316.58
1959-03-08,316.76
1959-03-09,317.33
1959-03-10,316.68
1959-03-21,316.97
1959-03-22,317.09
1959-03-23,317.05
1959-03-24,316.38
1959-03-25,316.53
1959-03-26,316.62
1959-03-27,316.46
