UNLOCODE,Alternative UNLOCODE,Terminal Code,Terminal Facility Name,Terminal Company Name,Last Change,Valid From,Valid Until,Terminal Website,Terminal Address,Remarks,Coordinates
BRVDC,,CONVI,CONVICON,CONVICON CONTEINERES DE VILA DO CONDE S/A,2019-04-01,2004-05-31,,https://www.santosbrasil.com.br/,"Rodovia PA 481 Vila do conde, Barcarena - PA, 68447-000, Brazil",,"-1.539444, -48.754167"
BRVIX,,TDVV,TERMINAL DE VILA VELHA SA,TERMINAL DE VILA VELHA SA,,2004-05-31,,https://www.loginlogistica.com.br/,"Av. Cavalieri 2000 - Ilha das Flores, Vila Velha - ES, 29115-486, Brazil",,"-20.324444, -40.328889"
BSFPO,,FCP,FREEPORT CONTAINER PORT,FREEPORT CONTAINER PORT (FCP) / HUTCHISON PORTS,,2022-01-19,,https://hutchisonportsfcp.com/,"Freeport Container Port, P.O. Box F-42465, Freeport, City of Freeport, Bahamas",,"26.530556, -78.764444"
BSNAS,,NCP,NASSAU CONTAINER PORT,NASSAU CONTAINER PORT (NCP),,2022-01-19,,https://www.nassaucontainerport.com/,"Arawak Cay, P.O. Box SP-63958, Nassau, New Providence, Bahamas",3 container berths.,"25.083889, -77.358056"
BZBGK,,PBGK,PORT OF BIG CREEK,PORT OF BIG CREEK,,2025-02-01,,https://portofbigcreek.com/,"3 Port Road, Big Creek, Independence Village, Stann Creek District, Belize C.A.",,"16.515, -88.404722"
BZBZE,,POB,PORT OF BELIZE,PORT OF BELIZE LTD.,,2022-01-19,,https://portauthority.bz/port-facilities/port-of-belize-limited/,"Caesar Ridge Road, Belize City, Belize, Belize C.A.",,"17.481111, -88.203889"
CACBK,,CBT,CORNER BROOK TERMINAL,CORNER BROOK PORT CORPORATION,,2022-01-19,,https://www.cornerbrookport.com/,"11 Riverside Drive, Corner Brook, NL A2H 2N2, Canada",,"48.96, -57.941667"
CAHAL,,FCOVE,FAIRVIEW COVE CONTAINER TERMINAL,CERES HALIFAX INC.,2020-01-24,2015-01-29,,https://www.ceresglobal.com/locations/halifax.html,"6708 Bayne Street, Halifax, NS B3K 5M6, Canada",,"44.667778, -63.627222"
CAHAL,,HAFXT,SOUTH END CONTAINER TERMINAL,PSA HALIFAX,2020-01-24,2013-06-05,,https://www.porthalifax.ca/facilities/hpa-facilities/psa-halifax-south-end-container-terminal/,"577 Marginal Rd, Halifax, NS B3H 4P6, Canada",,"44.628333, -63.5625"
CAMTR,,MGTCAS,CAST TERMINAL (SECTION 77),MONTREAL GATEWAY TERMINALS,2020-01-24,2015-02-19,,https://www.mtrtml.com/maps/index.php,"305 Rue Curatteau, Montréal, QC H1L 6R6, Canada",3 berths.,"45.586944, -73.504444"
