year,round,favorite,underdog,favorite_probability,favorite_win_flag
2012,2,UNLV,Colorado,0.684,0
2013,3,Michigan State,Memphis,0.692,1
2011,4,San Diego State,Connecticut,0.696,0
2011,3,North Carolina,Washington,0.699,1
2013,2,North Carolina State,Temple,0.701,0
2014,2,Baylor,Nebraska,0.703,1
2011,3,Notre Dame,Florida State,0.704,0
2011,4,North Carolina,Marquette,0.704,1
2014,2,Tennessee,Massachusetts,0.705,1
2011,2,Georgetown,Virginia Commonwealth,0.706,0
2013,3,San Diego State,Florida Gulf Coast,0.707,0
2012,3,Indiana,Virginia Commonwealth,0.709,1
2014,3,Virginia,Memphis,0.710,1
2013,2,Virginia Commonwealth,Akron,0.711,1
2013,3,Duke,Creighton,0.711,1
2012,2,Indiana,New Mexico State,0.713,1
2013,4,Wichita State,La Salle,0.714,1
2012,2,Michigan,Ohio,0.715,0
2012,3,Syracuse,Kansas State,0.716,1
2013,2,Arizona,Belmont,0.717,1
2011,3,Syracuse,Marquette,0.717,0
2012,3,Michigan State,Saint Louis,0.717,1
2014,2,Pittsburgh,Colorado,0.724,1
2013,3,Miami (FL),Illinois,0.726,1
2014,3,Arizona,Gonzaga,0.727,1
2014,2,Kentucky,Kansas State,0.739,1
2012,2,Wichita State,Virginia Commonwealth,0.742,0
2012,6,Kentucky,Louisville,0.744,1
2014,2,San Diego State,New Mexico State,0.745,1
2013,3,Gonzaga,Wichita State,0.747,0
2013,5,Syracuse,Marquette,0.750,1
