title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
American Sniper,http://www.imdb.com/title/tt2179136/,US,2014,$350M,Clint Eastwood,1,Chris Kyle,Military,Unknown,,0,Male,Bradley Cooper
American Splendor,http://www.imdb.com/title/tt0305206/,US,2003,$6M,"Shari Springer Berman, Robert Pulcini",1,Harvey Pekar,Comedian,Known,White,0,Male,Paul Giamatti
An American Crime,http://www.imdb.com/title/tt0802948/,US,2007,-,Tommy O'Haver,2,Gertrude Baniszewski,Criminal,Known,White,0,Female,Catherine Keener
An American Crime,http://www.imdb.com/title/tt0802948/,US,2007,-,Tommy O'Haver,2,Sylvia Likens,Other,Unknown,,0,Female,Ellen Page
An Angel at My Table,http://www.imdb.com/title/tt0099040/,UK,1990,$1.1M,Jane Campion,1,Janet Frame,Author,Known,White,0,Female,Kerry Fox
Anastasia,http://www.imdb.com/title/tt0048947/,US,1956,-,Anatole Litvak,1,Anna Anderson / Anastasia,Other,Known,White,0,Female,Ingrid Bergman
Anna and the King of Siam,http://www.imdb.com/title/tt0038303/,US,1946,-,John Cromwell,1,Anna Leonowens,Other,Known,Multi racial,0,Female,Irene Dunne
Annie Get Your Gun,http://www.imdb.com/title/tt0042200/,US,1950,$8M,George Sidney,1,Annie Oakley,Athlete,Known,White,0,Female,Betty Hutton
Annie Oakley,http://www.imdb.com/title/tt0026073/,US,1935,-,George Stevens,1,Annie Oakley,Athlete,Known,White,0,Female,Barbara Stanwyck
Another Country,http://www.imdb.com/title/tt0086904/,UK,1984,-,Marek Kanievska,1,Guy Burgess,Military,Unknown,,0,Male,Rupert Everett
Antwone Fisher,http://www.imdb.com/title/tt0168786/,US,2002,$21.1M,Denzel Washington,1,Antwone Fisher,Military,Known,African American,1,Male,Derek Luke
Auto Focus,http://www.imdb.com/title/tt0298744/,US,2002,$2.06M,Paul Schrader,1,"Robert Edward ""Bob"" Crane",Actor,Known,White,0,Male,Greg Kinnear
Awakenings,http://www.imdb.com/title/tt0099077/,US,1990,$52.1M,Penny Marshall,1,Oliver Sacks,Medicine,Known,White,0,Male,Robin Williams
Baadasssss!,http://www.imdb.com/title/tt0367790/,US,2003,$365K,Mario Van Peebles,1,Melvin Van Peebles,Actor,Known,African American,1,Male,Mario Van Peebles
Baader,http://www.imdb.com/title/tt0309320/,UK,2002,-,Christopher Roth,1,Andreas Baader,Military,Known,White,0,Male,Frank Giering
Backbeat,http://www.imdb.com/title/tt0106339/,UK,1994,$2.39M,Iain Softley,2,John Lennon,Musician,Known,White,0,Male,Ian Hart
Backbeat,http://www.imdb.com/title/tt0106339/,UK,1994,$2.39M,Iain Softley,2,Stuart Sutcliffe,Musician,Known,White,0,Male,Stephen Dorff
Bandit Queen,http://www.imdb.com/title/tt0109206/,UK,1994,$400K,Shekhar Kapur,1,Phoolan Devi ,Criminal,Known,Indian,1,Female,Seema Biswas
Barabbas,http://www.imdb.com/title/tt0055774/,US,1961,-,Richard Fleischer,1,Barabbas,Historical,Known,White,0,Male,Anthony Quinn
Basquiat,http://www.imdb.com/title/tt0115632/,US,1996,$2.96M,Julian Schnabel,1,Jean-Michel Basquiat,Artist,Known,Multi racial,1,Male,Jeffrey Wright
Bathory: Countess of Blood,http://www.imdb.com/title/tt0469640/,UK,2008,-,Juraj Jakubisko,1,Elizabeth Bathory,Criminal,Known,White,0,Female,Anna Friel
Battle Hymn,http://www.imdb.com/title/tt0050171/,US,1957,-,Douglas Sirk,1,Dean Hess,Military,Unknown,,0,Male,Rock Hudson
Beau Brummell,http://www.imdb.com/title/tt0046759/,US,1954,-,Curtis Bernhardt,1,George Brummell,Other,Known,White,0,Male,Stewart Granger
Becket,http://www.imdb.com/title/tt0057877/,US/UK,1964,-,Peter Glenville,2,King Henry II,Historical,Known,White,0,Male,Peter O'Toole
Becket,http://www.imdb.com/title/tt0057877/,US/UK,1964,-,Peter Glenville,2,Thomas Becket,Historical,Known,White,0,Male,
