person,dept,eow,cause
Patrolman William Helms,"New York Municipal Police Force, NY","EOW: Tuesday, October 16, 1849",Cause of Death: Structure collapse
Major Charles Grandison Bryant,"Texas Rangers, TX","EOW: Saturday, January 12, 1850",Cause of Death: Assault
Police Officer Ephraim Hibler,"St. Louis Metropolitan Police Department, MO","EOW: Sunday, May 26, 1850",Cause of Death: Gunfire
Private William Gillespie,"Texas Rangers, TX","EOW: Wednesday, May 29, 1850",Cause of Death: Assault
Sheriff Joseph McKinney,"Sacramento County Sheriff's Department, CA","EOW: Thursday, August 15, 1850",Cause of Death: Gunfire
Private John Lemon Wilbarger,"Texas Rangers, TX","EOW: Tuesday, August 20, 1850",Cause of Death: Gunfire
"Private Daniel C. ""Doc"" Sullivan","Texas Rangers, TX","EOW: Tuesday, August 20, 1850",Cause of Death: Gunfire
Private Samuel Baker Barton,"Texas Rangers, TX","EOW: Monday, January 27, 1851",Cause of Death: Assault
Private William Lackey,"Texas Rangers, TX","EOW: Monday, February 3, 1851",Cause of Death: Assault
Patrolman George T. Gillespie,"New York Municipal Police Force, NY","EOW: Thursday, July 10, 1851",Cause of Death: Assault
Sergeant Michael Foster,"New York Municipal Police Force, NY","EOW: Monday, August 4, 1851",Cause of Death: Stabbed
Posseman Edward Gorsuch,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, September 11, 1851",Cause of Death: Gunfire
Deputy Sheriff David Neil,"Smith County Sheriff's Office, TX","EOW: Saturday, September 27, 1851",Cause of Death: Gunfire
Deputy Sheriff James Holden,"Smith County Sheriff's Office, TX","EOW: Saturday, September 27, 1851",Cause of Death: Gunfire
Night Policeman William Baker,"Philadelphia Police Department, PA","EOW: Friday, December 26, 1851",Cause of Death: Fire
Captain Chin Chi Kee,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Saturday, January 10, 1852",Cause of Death: Gunfire
Sheriff James Preston Fulkerson,"Calhoun County Sheriff's Office, TX","EOW: Sunday, April 4, 1852",Cause of Death: Gunfire
Deputy Sheriff Moses Formwalt,"DeKalb County Sheriff's Office, GA","EOW: Saturday, May 1, 1852",Cause of Death: Stabbed
Watchman William T. Pullan,"Providence City Watch, RI","EOW: Tuesday, May 18, 1852",Cause of Death: Assault
Constable Gideon Manchester,"Fall River Police Department, MA","EOW: Friday, July 16, 1852",Cause of Death: Gunfire
Watchman Joseph Stoddard,"Cincinnati Police Department, OH","EOW: Friday, September 10, 1852",Cause of Death: Stabbed
Deputy Sheriff Wesley F. Cherry,"King County Sheriff's Office, WA","EOW: Sunday, March 6, 1853",Cause of Death: Gunfire
Night Watchman Samuel H. Ferguson,"Pittsburgh Night Watch, PA","EOW: Thursday, April 21, 1853",Cause of Death: Stabbed
Deputy Sheriff Rodney Badger,"Salt Lake County Sheriff's Office, UT","EOW: Friday, April 29, 1853",Cause of Death: Drowned
Shadow George Trenchard,"New York Municipal Police Force, NY","EOW: Thursday, June 2, 1853",Cause of Death: Fire
Watchman John Osborne,"Cleveland Police Department, OH","EOW: Thursday, December 1, 1853",Cause of Death: Stabbed
Constable James Quinn,"Chicago Police Department, IL","EOW: Monday, December 5, 1853",Cause of Death: Assault
Constable Jack Wheelan,"Los Angeles County Constable's Office, CA","EOW: Wednesday, December 7, 1853",Cause of Death: Stabbed
Police Officer George R. Turner,"Stockton Police Department, CA","EOW: Friday, April 14, 1854",Cause of Death: Gunfire
Officer Cyrus Beebe,"Columbus Division of Police, OH","EOW: Thursday, April 27, 1854",Cause of Death: Gunfire
Deputy U.S. Marshal James Batchelder,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, May 26, 1854",Cause of Death: Gunfire
Constable William H. Hardmount,"Monterey County Constable's Office, CA","EOW: Saturday, September 2, 1854",Cause of Death: Gunfire
Patrolman Casper Lauer,"Chicago Police Department, IL","EOW: Monday, September 18, 1854",Cause of Death: Stabbed
Patrolman James Cahill,"New York Municipal Police Force, NY","EOW: Friday, September 29, 1854",Cause of Death: Gunfire
Police Officer Maxwell Badgley,"Newark Police Department, NJ","EOW: Monday, October 23, 1854",Cause of Death: Stabbed
Patrolman David Gourley,"New York Municipal Police Force, NY","EOW: Sunday, November 5, 1854",Cause of Death: Stabbed
Deputy Sheriff William Harrison Reams,"Laurel County Sheriff's Department, KY","EOW: Friday, November 24, 1854",Cause of Death: Stabbed
Policeman John Sheldon,"Sonora Police Department, CA","EOW: Sunday, April 29, 1855",Cause of Death: Stabbed
Sheriff William A. Phoenix,"Amador County Sheriff's Department, CA","EOW: Sunday, August 12, 1855",Cause of Death: Gunfire
Indian Agent Andrew J. Bolon,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Tuesday, September 25, 1855",Cause of Death: Stabbed
Private William H. Clopton,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause of Death: Gunfire
Private Willis E. Jones,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause of Death: Gunfire
Private H. K. Holland,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause of Death: Gunfire
Private Augustus Smith,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause of Death: Gunfire
Deputy Sheriff Charles Layton,"Monterey County Sheriff's Department, CA","EOW: Saturday, November 10, 1855",Cause of Death: Gunfire
Deputy Sheriff Joaquin De La Torre,"Monterey County Sheriff's Department, CA","EOW: Saturday, November 10, 1855",Cause of Death: Gunfire
Deputy Sheriff Jim Beckwith,"Monterey County Sheriff's Department, CA","EOW: Saturday, November 10, 1855",Cause of Death: Gunfire
Marshal William H. Richardson,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, November 17, 1855",Cause of Death: Gunfire
Night Watchman Thomas Cummins,"New Haven Police Department, CT","EOW: Saturday, November 24, 1855",Cause of Death: Assault
Marshal Eli R. Doyle,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, December 27, 1855",Cause of Death: Fall
Police Officer Alexander Algeo,"New Orleans Police Department, LA","EOW: Wednesday, March 26, 1856",Cause of Death: Gunfire
Lieutenant Levi Parker,"Cincinnati Police Department, OH","EOW: Sunday, May 4, 1856",Cause of Death: Gunfire
Watchman Neil Mooney,"Philadelphia Police Department, PA","EOW: Sunday, May 25, 1856",Cause of Death: Gunfire
City Marshal David Johnson,"Nevada City Police Department, CA","EOW: Monday, November 3, 1856",Cause of Death: Gunfire
Sheriff W. W. Wright,"Nevada County Sheriff's Office, CA","EOW: Monday, November 3, 1856",Cause of Death: Gunfire
Sheriff John F. Taylor,"Winnebago County Sheriff's Office, IL","EOW: Tuesday, November 11, 1856",Cause of Death: Gunfire
Night Watchman John Omayer,"Baltimore City Police Department, MD","EOW: Thursday, November 13, 1856",Cause of Death: Gunfire (Accidental)
Police Officer William I. Van Arsdale,"New Brunswick Police Department, NJ","EOW: Sunday, December 7, 1856",Cause of Death: Drowned
Deputy Warden Galen Carter Walker,"Massachusetts Department of Correction, MA","EOW: Monday, December 15, 1856",Cause of Death: Stabbed
Warden Solon Tenney,"Massachusetts Department of Correction, MA","EOW: Monday, December 29, 1856",Cause of Death: Stabbed
Sheriff James R. Barton,"Los Angeles County Sheriff's Department, CA","EOW: Friday, January 23, 1857",Cause of Death: Gunfire
Constable Charles K. Baker,"Los Angeles County Sheriff's Department, CA","EOW: Friday, January 23, 1857",Cause of Death: Gunfire
Deputy Charles T. Daly,"Los Angeles County Sheriff's Department, CA","EOW: Friday, January 23, 1857",Cause of Death: Gunfire
