Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
BIIB,Biogen,Biotechnology,200.05,21.510752,,9.3,121.05,205.97,29534806016,3539599872,2.972086,1.5830874,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB
BLK,BlackRock,Asset Management & Custody Banks,1032.0,25.975334,0.0222,39.73,917.39,1219.94,168059666432,10341000192,6.5551004,2.8284047,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK
BX,Blackstone Inc.,Asset Management & Custody Banks,122.79,31.484615,0.0405,3.9,101.73,190.09,150081552384,,10.424183,11.522005,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BX
BK,BNY Mellon,Asset Management & Custody Banks,137.16,17.01737,0.000153,8.06,87.41,141.65,94143750144,,4.536174,2.3863044,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BK
BA,Boeing,Aerospace & Defense,219.05,86.92461,,2.52,176.77,254.35,172677627904,-3259000064,1.8731843,28.85654,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA
BKNG,Booking Holdings,"Hotels, Resorts & Cruise Lines",164.94,21.731226,0.0097,7.59,150.14,233.5764,127808454656,10378000384,4.61619,-14.746535,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BKNG
BWA,BorgWarner,Automotive Parts & Equipment,74.51,43.319767,0.0091,1.72,32.24,78.82,15283115008,1986000000,1.0662142,2.7893832,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA
BSX,Boston Scientific,Health Care Equipment,46.91,19.627615,,2.39,45.99,109.5,69724921856,5500000256,3.3824062,2.695667,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX
BMY,Bristol Myers Squibb,Pharmaceuticals,57.13,16.002802,0.0441,3.57,42.52,62.89,116663533568,18973999104,2.4063268,5.8129835,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY
AVGO,Broadcom,Semiconductors,382.07,63.678333,0.0068,6.0,244.17,495.0,1817728778240,42083999744,24.087044,20.730873,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO
BR,Broadridge Financial Solutions,Data Processing & Outsourced Services,144.87,15.510706,0.0269,9.34,139.79,271.91,16755417088,1761900032,2.2882724,5.9463115,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BR
BRO,Brown & Brown,Insurance Brokers,59.99,19.540718,0.0108,3.07,53.81,111.1,20333481984,2486000128,3.2491982,1.5963705,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRO
BF.B,Brown–Forman,Distillers & Vintners,,,,,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B
BLDR,Builders FirstSource,Building Products,77.77,29.683207,,2.62,65.1,151.03,8364931072,1207911936,0.56442696,2.0882337,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLDR
BG,Bunge Global,Agricultural Products & Services,127.17,33.46579,0.0226,3.8,71.6,134.87,24673282048,2233999872,0.30632156,1.5377268,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BG
BXP,"BXP, Inc.",Office REITs,66.28,33.30653,0.0465,1.99,49.72,79.33,11818480640,1597104000,3.7417095,2.0413315,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP
CHRW,C.H. Robinson,Air Freight & Logistics,193.74,39.218624,0.013,4.94,92.36,203.34,22836723712,887430976,1.409765,13.432712,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW
CDNS,Cadence Design Systems,Application Software,384.96,90.154564,,4.27,262.75,416.69,106178125824,2014227968,19.205202,16.182268,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS
CZR,Caesars Entertainment,Casinos & Gaming,29.49,,,-2.36,17.86,31.58,6006923264,3499000064,0.51954013,1.7611226,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CZR
CPT,Camden Property Trust,Multi-Family Residential REITs,114.98,32.11732,0.0369,3.58,96.53,117.5,11393436672,840089984,7.1888595,2.9673023,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPT
CPB,Campbell Soup Company,Packaged Foods & Meats,22.81,11.181373,0.0684,2.04,19.56,34.17,6802084352,1704999936,0.6851415,1.6875045,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB
COF,Capital One,Consumer Finance,184.73,56.84,0.0173,3.25,174.24,259.64,114956148736,,3.1658769,1.0646955,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF
CAH,Cardinal Health,Health Care Distributors,223.85,34.123478,0.0091,6.56,137.75,233.6,52426981376,3993999872,0.20909318,-18.575224,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH
