Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
KO,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,82.62,25.981133,0.0257,3.18,65.35,84.04,355471097856,16714999808,7.2127075,10.570624,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO
CTSH,Cognizant,IT Consulting & Other Services,52.17,11.316702,0.0253,4.61,45.48,87.03,24676409344,3891000064,1.15278,1.6411337,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH
CL,Colgate-Palmolive,Household Products,89.45,34.670544,0.0237,2.58,74.55,99.33,71576928256,4920999936,3.4420257,494.19888,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CL
CMCSA,Comcast,Cable & Satellite,24.5,4.8039217,0.0539,5.1,23.13,34.358013,87519600640,35371999232,0.6986087,0.99274683,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMCSA
CAG,Conagra Brands,Packaged Foods & Meats,13.74,,0.1019,-0.1,12.53,21.89,6573726208,1729400064,0.5879215,0.805204,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAG
COP,ConocoPhillips,Oil & Gas Exploration & Production,116.98,19.82712,0.0287,5.9,85.57,135.87,142516043776,23346999296,2.4001489,2.208128,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COP
ED,Consolidated Edison,Multi-Utilities,107.74,18.168634,0.0323,5.93,94.96,116.23,39705387008,6016999936,2.3064413,1.5490122,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ED
STZ,Constellation Brands,Distillers & Vintners,148.51,15.453694,0.0277,9.61,126.45,178.14,25472245760,3384000000,2.7872026,3.1745794,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STZ
CEG,Constellation Energy,Electric Utilities,253.76,22.027777,0.0067,11.52,240.51,412.7,90618208256,7957000192,3.0340579,2.746231,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CEG
COO,Cooper Companies (The),Health Care Supplies,67.88,57.525425,,1.18,58.89,89.83,13238678528,886400000,3.1289716,1.605791,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COO
CPRT,Copart,Diversified Support Services,30.75,19.099379,,1.61,29.97,50.11,28468703232,1961246976,6.136995,3.2446976,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPRT
GLW,Corning Inc.,Electronic Components,179.2,86.15385,0.0063,2.08,49.81,211.79,154226294784,3907000064,9.449561,13.76027,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GLW
CPAY,Corpay,Transaction & Payment Processing Services,356.11,21.32395,,16.7,252.84,367.43,23276032000,2550661120,4.865673,6.709435,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPAY
CTVA,Corteva,Fertilizers & Agricultural Chemicals,76.14,41.156757,0.0095,1.85,60.535,85.63,50923950080,4140999936,2.8466628,2.094117,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTVA
CSGP,CoStar Group,Real Estate Services,32.84,469.14285,,0.07,31.36,97.43,13410401280,272000000,3.930364,1.6895611,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSGP
COST,Costco,Consumer Staples Merchandise Retail,982.35,49.513607,0.006,19.84,844.06,1096.5,435651411968,13790000128,1.4838921,26.352003,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COST
CTRA,Coterra,Oil & Gas Exploration & Production,32.56,15.004608,0.00027,2.17,22.33,36.88,24724652032,4828000256,3.3629832,1.6676911,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTRA
CRWD,CrowdStrike,Systems Software,682.8,,,-0.14,342.72,785.66,173816856576,59319000,34.12054,37.50618,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRWD
CCI,Crown Castle,Telecom Tower REITs,92.16,38.886078,0.0461,2.37,75.96,115.76,40223416320,2729999872,9.547452,-20.926432,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCI
CSX,CSX Corporation,Rail Transportation,47.57,29.18405,0.0118,1.63,31.8,48.03,88391663616,6624999936,6.2463193,6.5101957,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSX
CMI,Cummins,Construction Machinery & Heavy Transportation Equipment,659.58,34.246105,0.0121,19.26,307.9,718.08,91014832128,5004000256,2.6852784,7.3690324,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMI
CVS,CVS Health,Health Care Services,101.96,44.7193,0.0261,2.28,58.5,102.77,130093547520,15411999744,0.32072923,1.6757333,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVS
DHI,D. R. Horton,Homebuilding,154.09,14.468545,0.0117,10.65,119.54,184.55,43696783360,4268600064,1.3103113,1.8584092,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHI
DHR,Danaher Corporation,Life Sciences Tools & Services,180.1,34.83559,0.0089,5.17,160.93,242.8,127469494272,7935000064,5.1444626,2.4071748,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHR
DRI,Darden Restaurants,Restaurants,211.47,22.26,0.0284,9.5,169.0,228.27,24220717056,2008700032,1.8976103,11.52802,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRI
DVA,DaVita,Health Care Services,208.66,20.121506,,10.37,101.0,211.8,13392842752,2792761088,0.9680345,-18.279457,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVA
DAY,Dayforce,Human Resource & Employment Services,,,,,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAY
DECK,Deckers Brands,Footwear,113.83,16.2151,,7.02,78.91,126.5,15808820224,1338675968,2.8888826,6.374531,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DECK
DE,Deere & Company,Agricultural & Farm Machinery,577.48,32.68138,0.0112,17.67,433.0,674.19,155883470848,8613999616,3.2930577,5.687945,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DE
DELL,Dell Technologies,"Technology Hardware, Storage & Peripherals",395.57,31.544659,0.0064,12.54,110.22,469.47,256372080640,14065000448,1.913196,-182.88025,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DELL
DAL,Delta Air Lines,Passenger Airlines,83.06,12.125547,0.009,6.85,45.28,83.83,54569951232,7775000064,0.8372449,2.6636307,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAL
DVN,Devon Energy,Oil & Gas Exploration & Production,45.31,12.621171,0.023,3.59,31.45,52.71,52260696064,6721999872,3.265681,1.8237804,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVN
DXCM,Dexcom,Health Care Equipment,75.37,32.34764,,2.33,54.11,89.98,29083248640,1292300032,6.036499,9.836858,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DXCM
FANG,Diamondback Energy,Oil & Gas Exploration & Production,192.13,196.05103,0.0229,0.98,134.3,214.51,54048727040,10149000192,3.738068,1.4818786,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FANG
DLR,Digital Realty,Data Center REITs,184.2,48.73016,0.0265,3.78,146.23,208.14,65888169984,2888658944,10.435171,2.8392189,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLR
