Entity,Year,Children that died before 5 years of age per woman (based on Gapminder (2017))
Afghanistan,1957,2.85514306
Afghanistan,1958,2.8064212
Afghanistan,1959,2.75543306
Afghanistan,1960,2.709565
Afghanistan,1961,2.663375
Afghanistan,1962,2.618675
Afghanistan,1963,2.573975
Afghanistan,1964,2.530765
Afghanistan,1965,2.487555
Afghanistan,1966,2.44658
Afghanistan,1967,2.404115
Afghanistan,1968,2.36314
Afghanistan,1969,2.320675
Afghanistan,1970,2.2797
Afghanistan,1971,2.23798
Afghanistan,1972,2.195515
Afghanistan,1973,2.152305
Afghanistan,1974,2.106115
Afghanistan,1975,2.061415
Afghanistan,1976,2.01597
Afghanistan,1977,1.969035
Afghanistan,1978,1.921355
Afghanistan,1979,1.873675
Afghanistan,1980,1.82376
Afghanistan,1981,1.77459
Afghanistan,1982,1.724675
Afghanistan,1983,1.67327
Afghanistan,1984,1.625534
Afghanistan,1985,1.573314
Afghanistan,1986,1.522586
Afghanistan,1987,1.471112
Afghanistan,1988,1.42113
Afghanistan,1989,1.371148
Afghanistan,1990,1.324431
Afghanistan,1991,1.279828
Afghanistan,1992,1.239
Afghanistan,1993,1.203384
Afghanistan,1994,1.169565
Afghanistan,1995,1.138456
Afghanistan,1996,1.107113
Afghanistan,1997,1.07724
Afghanistan,1998,1.044702
Afghanistan,1999,1.009838
Afghanistan,2000,0.971453
Afghanistan,2001,0.93114
Afghanistan,2002,0.888394
Afghanistan,2003,0.844662
Afghanistan,2004,0.799656
Afghanistan,2005,0.753349
Afghanistan,2006,0.706895
Afghanistan,2007,0.660212
Afghanistan,2008,0.61375
Afghanistan,2009,0.568364
Afghanistan,2010,0.524964
Afghanistan,2011,0.48384
Afghanistan,2012,0.445464
Afghanistan,2013,0.409981
Afghanistan,2014,0.378978
Afghanistan,2015,0.35136
Afghanistan,2016,0.326656
Albania,1978,0.348672
Albania,1979,0.313693
Albania,1980,0.281636
Albania,1981,0.25416
Albania,1982,0.23046
Albania,1983,0.209222
Albania,1984,0.190568
Albania,1985,0.174618
Albania,1986,0.160356
Albania,1987,0.147572
Albania,1988,0.137151
Albania,1989,0.12749
Albania,1990,0.1192
Albania,1991,0.111453
Albania,1992,0.104427
Albania,1993,0.097625
Albania,1994,0.091314
Albania,1995,0.085211
Albania,1996,0.079065
Albania,1997,0.072842
Albania,1998,0.066871
Albania,1999,0.06165
Albania,2000,0.05616
Albania,2001,0.051336
Albania,2002,0.04653
Albania,2003,0.04256
Albania,2004,0.038948
Albania,2005,0.0357
Albania,2006,0.03298
Albania,2007,0.031062
Albania,2008,0.029535
Albania,2009,0.02838
Albania,2010,0.02739
Albania,2011,0.02672
Albania,2012,0.026026
Albania,2013,0.02533
Albania,2014,0.024624
Albania,2015,0.02394
Albania,2016,0.023085
Algeria,1954,1.851759
Algeria,1955,1.844349
Algeria,1956,1.834716
Algeria,1957,1.832238
Algeria,1958,1.830465
Algeria,1959,1.834096
Algeria,1960,1.840896
Algeria,1961,1.852379
Algeria,1962,1.86445
Algeria,1963,1.88037
Algeria,1964,1.891422
Algeria,1965,1.901568
Algeria,1966,1.905408
Algeria,1967,1.90216
Algeria,1968,1.891422
Algeria,1969,1.872104
Algeria,1970,1.839712
Algeria,1971,1.796034
Algeria,1972,1.74192
Algeria,1973,1.675296
Algeria,1974,1.59963
Algeria,1975,1.514234
Algeria,1976,1.424694
Algeria,1977,1.329597
Algeria,1978,1.229319
Algeria,1979,1.121952
Algeria,1980,1.005599
Algeria,1981,0.882446
Algeria,1982,0.754882
Algeria,1983,0.632112
Algeria,1984,0.520648
Algeria,1985,0.430408
Algeria,1986,0.362572
Algeria,1987,0.313239
Algeria,1988,0.277665
Algeria,1989,0.251968
Algeria,1990,0.23177
Algeria,1991,0.213248
Algeria,1992,0.19623
Algeria,1993,0.18018
Algeria,1994,0.16428
Algeria,1995,0.149385
Algeria,1996,0.135783
Algeria,1997,0.124085
Algeria,1998,0.11424
Algeria,1999,0.106392
Algeria,2000,0.099647
Algeria,2001,0.094916
Algeria,2002,0.09072
Algeria,2003,0.087965
Algeria,2004,0.085644
