Unnamed: 0,count.x,abv,ibu,id,beer,style,brewery_id,ounces,count.y,brewery,city,state,label
1,1,0.05,NA,1436,Pub Beer,American Pale Lager,408,12,409,10 Barrel Brewing Company,Bend,OR,Pub Beer (10 Barrel Brewing Company)
2,2,0.066,NA,2265,Devil's Cup,American Pale Ale (APA),177,12,178,18th Street Brewery,Gary,IN,Devil's Cup (18th Street Brewery)
3,3,0.071,NA,2264,Rise of the Phoenix,American IPA,177,12,178,18th Street Brewery,Gary,IN,Rise of the Phoenix (18th Street Brewery)
4,4,0.09,NA,2263,Sinister,American Double / Imperial IPA,177,12,178,18th Street Brewery,Gary,IN,Sinister (18th Street Brewery)
5,5,0.075,NA,2262,Sex and Candy,American IPA,177,12,178,18th Street Brewery,Gary,IN,Sex and Candy (18th Street Brewery)
6,6,0.077,NA,2261,Black Exodus,Oatmeal Stout,177,12,178,18th Street Brewery,Gary,IN,Black Exodus (18th Street Brewery)
7,7,0.045,NA,2260,Lake Street Express,American Pale Ale (APA),177,12,178,18th Street Brewery,Gary,IN,Lake Street Express (18th Street Brewery)
8,8,0.065,NA,2259,Foreman,American Porter,177,12,178,18th Street Brewery,Gary,IN,Foreman (18th Street Brewery)
9,9,0.055,NA,2258,Jade,American Pale Ale (APA),177,12,178,18th Street Brewery,Gary,IN,Jade (18th Street Brewery)
10,10,0.086,NA,2131,Cone Crusher,American Double / Imperial IPA,177,12,178,18th Street Brewery,Gary,IN,Cone Crusher (18th Street Brewery)
11,11,0.072,NA,2099,Sophomoric Saison,Saison / Farmhouse Ale,177,12,178,18th Street Brewery,Gary,IN,Sophomoric Saison (18th Street Brewery)
12,12,0.073,NA,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,177,12,178,18th Street Brewery,Gary,IN,Regional Ring Of Fire (18th Street Brewery)
13,13,0.069,NA,2097,Garce Sel̩,Saison / Farmhouse Ale,177,12,178,18th Street Brewery,Gary,IN,Garce Sel̩ (18th Street Brewery)
14,14,0.085,NA,1980,Troll Destroyer,Belgian IPA,177,12,178,18th Street Brewery,Gary,IN,Troll Destroyer (18th Street Brewery)
15,15,0.061,60,1979,Bitter Bitch,American Pale Ale (APA),177,12,178,18th Street Brewery,Gary,IN,Bitter Bitch (18th Street Brewery)
16,16,0.06,NA,2318,Ginja Ninja,Cider,154,12,155,2 Towns Ciderhouse,Corvallis,OR,Ginja Ninja (2 Towns Ciderhouse)
17,17,0.06,NA,2170,Cherried Away,Cider,154,12,155,2 Towns Ciderhouse,Corvallis,OR,Cherried Away (2 Towns Ciderhouse)
18,18,0.06,NA,2169,Rhubarbarian,Cider,154,12,155,2 Towns Ciderhouse,Corvallis,OR,Rhubarbarian (2 Towns Ciderhouse)
19,19,0.06,NA,1502,BrightCider,Cider,154,12,155,2 Towns Ciderhouse,Corvallis,OR,BrightCider (2 Towns Ciderhouse)
