taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,category,main_common_name
31805,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,PENTAPHYLACACEAE,Adinandra,Adinandra corneriana,Kobuski,,,,VU,
31807,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,THEACEAE,Pyrenaria,Pyrenaria pahangensis,H.Keng,,,,DD,
31809,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,PENTAPHYLACACEAE,Ternstroemia,Ternstroemia evenia,(King) A.C. Smith,,,,LR/cd,
31810,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,THYMELAEACEAE,Aquilaria,Aquilaria rostrata,Ridl.,,,,CR,
31811,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Brownlowia,Brownlowia velutina,Kosterm.,,,,EN,
31812,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Diplodiscus,Diplodiscus hookerianus,(King) Kosterm.,,,,EN,
31813,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Diplodiscus,Diplodiscus scortechinii,(King) Ashton ex Kochummen,,,,EN,
31814,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pentace,Pentace excelsa,Kochummen,,,,LR/cd,
31815,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pentace,Pentace grandiflora,Kochummen,,,,LR/cd,
31816,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pentace,Pentace microlepidota,Kosterm.,,,,VU,
31817,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Schoutenia,Schoutenia corneri,Roekm.,,,,EN,
31818,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Schoutenia,Schoutenia furfuracea,Kochummen,,,,LR/cd,
31819,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,ACANTHACEAE,Avicennia,Avicennia lanata,Ridl.,,,,VU,
31820,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,LAMIACEAE,Callicarpa,Callicarpa maingayi,King &amp; Gamble,,,,LC,
31821,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,LAMIACEAE,Vitex,Vitex longisepala,King &amp; Gamble,,,,LC,
31822,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,LAMIACEAE,Vitex,Vitex urceolata,C.B. Clarke,,,,VU,
31823,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,Memecylon,Memecylon cinereum,King,,,,DD,
31824,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,Memecylon,Memecylon wallichii,Ridl.,,,,VU,
31825,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Polyalthia,Polyalthia chrysotricha,Ridl.,,,,LC,
31826,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,Eugenia haniffii,M.R. Henderson,,,,VU,
31827,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,EBENACEAE,Diospyros,Diospyros nutans,King &amp; Gamble,,,,LR/lc,
31829,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Polyalthia,Polyalthia angustissima,Ridl.,,,,DD,
