season,player,possessions,DRAYMOND
2017,Alonzo Gee,203.5504,2.313927
2014,Amar'e Stoudemire,2799.755,0.0625684
2015,Amar'e Stoudemire,2633.586,1.099141
2016,Amar'e Stoudemire,1688.715,1.678418
2019,Amile Jefferson,147.9567,-2.662952
2014,Amir Johnson,4662.681,0.4759569
2015,Amir Johnson,4151.016,0.1203203
2016,Amir Johnson,4033.257,0.8365323
2017,Amir Johnson,3577.901,1.915634
2018,Amir Johnson,2786.456,1.458153
2019,Amir Johnson,1224.958,-1.439458
2014,Anderson Varejao,3529.5,0.047936
2015,Anderson Varejao,1242.32,-0.508446
2016,Anderson Varejao,1227.077,-1.221853
2017,Anderson Varejao,197.3017,-2.458655
2014,Andray Blatche,3532.228,-0.9680415
2015,Andre Dawkins,43.12917,8.610134
2014,Andre Drummond,5245.639,-0.3000934
2015,Andre Drummond,4944.056,0.5762386
2016,Andre Drummond,5609.562,-0.2815954
2017,Andre Drummond,4822.015,-1.048324
2018,Andre Drummond,5378.516,-0.0915594
2019,Andre Drummond,5708.754,1.014774
2014,Andre Iguodala,4652.563,-0.3161691
2015,Andre Iguodala,5579.277,0.6548673
2016,Andre Iguodala,5284.902,-1.00842
2017,Andre Iguodala,5156.421,0.1916146
2018,Andre Iguodala,4296.783,0.7089451
2019,Andre Iguodala,4742.006,0.5223963
2018,Andre Ingram,142.7067,-0.4649389
2019,Andre Ingram,34.35625,1.737955
2014,Andre Miller,2129.992,-0.152516
2015,Andre Miller,2472.937,1.051351
2016,Andre Miller,952.1881,-0.8241724
2014,Andre Roberson,835.7681,-0.3315544
2015,Andre Roberson,2676.219,2.306452
2016,Andre Roberson,4172.076,2.079207
2017,Andre Roberson,5343.956,2.848248
2018,Andre Roberson,2119.153,0.6397376
2014,Andrea Bargnani,2409.25,-1.010836
2015,Andrea Bargnani,1552.828,-2.263379
2016,Andrea Bargnani,1299.7,-3.087138
2014,Andrei Kirilenko,1957.478,-0.9425939
2015,Andrei Kirilenko,73.6875,2.307151
2014,Andrew Bogut,3645.246,1.655811
2015,Andrew Bogut,4152.807,2.510708
2016,Andrew Bogut,3808.699,2.206501
2017,Andrew Bogut,1153.698,0.6186568
2018,Andrew Bogut,464.67,1.802759
2019,Andrew Bogut,662.2256,2.202198
2014,Andrew Bynum,1034.01,1.367192
2016,Andrew Goudelock,133.2717,1.892868
2017,Andrew Harrison,3149.685,0.865516
2018,Andrew Harrison,2647.028,0.4766314
2019,Andrew Harrison,383.9919,-3.097328
2014,Andrew Nicholson,2357.539,-0.1337364
