AMONG ADULT MEN,Unnamed: 1,Adult Men,Age,Race,Children,Sexual Orientation
,,,18 - 34,White,Has children,Straight
"In general, how masculine or ""manly"" do you feel?",,,,,,
,Other (please specify),5%,,6%,4%,5%
,None of the above,42%,,43%,43%,43%
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)",,,,,,
,Contacted the HR department,8%,,7%,9%,8%
,Did not respond at all,8%,,5%,5%,7%
,Reached out to the victim to offer support,7%,,9%,9%,7%
,Contacted the manager of the accused person,7%,,6%,6%,7%
,Confronted the accused person,5%,,4%,6%,5%
,Other (please specify),3%,,4%,1%,3%
,Never witnessed sexual harassment,75%,,76%,79%,76%
AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?,,,,,,
,You didn't want to get involved,,,,,
,You weren't sure it was sexual harassment,,,,,
,You didn't think it was your place,,,,,
,You weren't sure who to contact,,,,,
