name_common,age,player_ID,year_ID,team_ID,lg_ID,pct_PT,WAR162,def_pos,quasi_ws,stint_ID,franch_id,prev_franch,year_acq,year_left,next_franch
Freddie Freeman,29,freemfr01,2019,ATL,NL,6.754103967,4.406603774,1B,25,1,ATL,NULL,2010,2019,NULL
Mike Soroka,21,sorokmi01,2019,ATL,NL,4.798613093,4.773396226,P,23,1,ATL,NULL,2018,2019,NULL
Max Fried,25,friedma01,2019,ATL,NL,4.630522227,3.097358491,P,17,1,ATL,NULL,2017,2019,NULL
Julio Teheran,28,teherju01,2019,ATL,NL,4.940026052,1.971509434,P,15,1,ATL,NULL,2011,2019,NULL
Dansby Swanson,25,swansda01,2019,ATL,NL,5.256497948,1.451886792,SS,14,1,ATL,NULL,2016,2019,NULL
Dallas Keuchel,31,keuchda01,2019,ATL,NL,3.028895095,1.599622642,P,10,1,ATL,HOU,2019,2019,NULL
Nick Markakis,35,markani01,2019,ATL,NL,4.53248974,0.433018868,"RF, LF",9,1,ATL,BAL,2015,2019,NULL
Tyler Flowers,33,flowety01,2019,ATL,NL,3.044801642,1.054528302,C,8,1,ATL,CHW,2016,2019,NULL
Luke Jackson,27,jackslu01,2019,ATL,NL,2.794560783,0.94245283,P,8,1,ATL,TEX,2017,2019,NULL
Mike Foltynewicz,27,foltymi01,2019,ATL,NL,3.195932885,0.641886792,P,8,1,ATL,HOU,2015,2019,NULL
Matthew Joyce,34,joycema01,2019,ATL,NL,2.26128591,1.166603774,"RF, LF",7,1,ATL,OAK,2019,2019,NULL
Brian McCann,35,mccanbr01,2019,ATL,NL,3.074555404,0.646981132,C,7,1,ATL,HOU,2019,2019,NULL
Ender Inciarte,28,inciaen01,2019,ATL,NL,2.281121751,0.753962264,CF,6,1,ATL,ARI,2016,2019,NULL
Sean Newcomb,26,newcose01,2019,ATL,NL,2.291491701,0.733584906,P,6,1,ATL,NULL,2017,2019,NULL
Austin Riley,22,rileyau01,2019,ATL,NL,2.915868673,0.310754717,"LF, 1B, 3B, RF",6,1,ATL,NULL,2019,2019,NULL
Josh Tomlin,34,tomlijo01,2019,ATL,NL,2.062272326,0.483962264,P,5,1,ATL,CLE,2019,2019,NULL
Kevin Gausman,28,gausmke01,2019,ATL,NL,2.250572207,-0.142641509,P,4,1,ATL,BAL,2018,2019,CIN
Adeiny Hechavarria,30,hechaad01,2019,ATL,NL,0.634746922,0.646981132,"2B, SS, 3B",3,2,ATL,NYM,2019,2019,NULL
Jacob Webb,25,webbja01,2019,ATL,NL,0.992297746,0.529811321,P,3,1,ATL,NULL,2019,2019,NULL
Mark Melancon,34,melanma01,2019,ATL,NL,0.662735345,0.458490566,P,3,2,ATL,SFG,2019,2019,NULL
Adam Duvall,30,duvalad01,2019,ATL,NL,1.229822161,0.417735849,"LF, RF",3,1,ATL,CIN,2018,2019,NULL
Charlie Culberson,30,culbech01,2019,ATL,NL,1.428180575,0.244528302,"LF, RF, 1B, SS, P, 3B",3,1,ATL,LAD,2018,2019,NULL
Anthony Swarzak,33,swarzan01,2019,ATL,NL,1.343673848,0.112075472,P,3,2,ATL,SEA,2019,2019,NULL
Francisco Cervelli,33,cervefr01,2019,ATL,NL,0.30745554,0.463584906,"C, 1B",2,2,ATL,PIT,2019,2019,NULL
Shane Greene,30,greensh02,2019,ATL,NL,0.792363891,0.341320755,P,2,2,ATL,DET,2019,2019,NULL
Chris Martin,33,martich02,2019,ATL,NL,0.531953431,0.259811321,P,2,2,ATL,TEX,2019,2019,NULL
Jerry Blevins,35,blevije01,2019,ATL,NL,0.938741348,0.208867925,P,2,1,ATL,NYM,2019,2019,NULL
Johan Camargo,25,camarjo01,2019,ATL,NL,2.459644323,-0.662264151,"SS, 3B, LF, RF, 2B, 1B",2,1,ATL,NULL,2017,2019,NULL
Jeremy Walker,24,walkeje02,2019,ATL,NL,0.164279736,0.152830189,P,1,1,ATL,NULL,2019,2019,NULL
Grant Dayton,31,daytogr01,2019,ATL,NL,0.240101153,0.122264151,P,1,1,ATL,LAD,2019,2019,NULL
Darren O'Day,36,odayda01,2019,ATL,NL,0.100393172,0.117169811,P,1,1,ATL,BAL,2019,2019,NULL
Wes Parsons,26,parsowe01,2019,ATL,NL,0.507481968,-0.045849057,P,1,1,ATL,NULL,2018,2019,COL
Rafael Ortega,28,ortegra01,2019,ATL,NL,0.872777018,-0.315849057,"LF, RF, CF",1,1,ATL,FLA,2019,2019,NULL
Touki Toussaint,23,toussto01,2019,ATL,NL,1.316344038,-0.40245283,P,1,1,ATL,NULL,2018,2019,NULL
A.J. Minter,25,minteaj01,2019,ATL,NL,1.054679916,-0.448301887,P,1,1,ATL,NULL,2017,2019,NULL
Arodys Vizcaino,28,vizcaar01,2019,ATL,NL,0.131183086,0.020377358,P,0,1,ATL,CHC,2015,2019,NULL
John Ryan Murphy,28,murphjr01,2019,ATL,NL,0.009917921,-0.015283019,"C, P",0,2,ATL,ARI,2019,2019,NULL
Huascar Ynoa,21,ynoahu01,2019,ATL,NL,0.047839703,-0.091698113,P,0,1,ATL,NULL,2019,2019,NULL
Billy Hamilton,28,hamilbi02,2019,ATL,NL,0.416552668,-0.101886792,CF,0,2,ATL,KCR,2019,2019,NULL
Jesse Biddle,27,biddlje01,2019,ATL,NL,0.328208447,-0.219056604,P,0,1,ATL,NULL,2018,2019,SEA
Dan Winkler,29,winklda01,2019,ATL,NL,0.75294879,-0.285283019,P,0,1,ATL,NULL,2015,2019,NULL
Alex Jackson,23,jacksal02,2019,ATL,NL,0.14876881,-0.326037736,C,0,1,ATL,NULL,2019,2019,NULL
Bryse Wilson,21,wilsobr02,2019,ATL,NL,0.511493683,-0.326037736,P,0,1,ATL,NULL,2018,2019,NULL
Shane Carle,27,carlesh01,2019,ATL,NL,0.22746425,-0.392264151,P,0,1,ATL,COL,2018,2019,NULL
Chad Sobotka,25,sobotch01,2019,ATL,NL,0.780930503,-0.422830189,P,0,1,ATL,NULL,2018,2019,NULL
Kyle Wright,23,wrighky01,2019,ATL,NL,0.45563055,-0.453396226,P,0,1,ATL,NULL,2018,2019,NULL
Jonny Venters,34,ventejo01,2019,ATL,NL,0.126369028,-0.636792453,P,0,1,ATL,TBD,2018,2019,WSN
Jonathan Villar,28,villajo01,2019,BAL,AL,6.710743802,3.999056604,"2B, SS",20,1,BAL,MIL,2018,2019,NULL
John Means,26,meansjo01,2019,BAL,AL,4.629510501,4.019433962,P,17,1,BAL,NULL,2018,2019,NULL
Trey Mancini,27,mancitr01,2019,BAL,AL,6.375206612,3.357169811,"RF, 1B, LF",17,1,BAL,NULL,2016,2019,NULL
Hanser Alberto,26,alberha01,2019,BAL,AL,5.196033058,2.465660377,"2B, 3B, LF, P, RF",13,1,BAL,TEX,2019,2019,NULL
Dylan Bundy,26,bundydy01,2019,BAL,AL,4.712384454,2.445283019,P,13,1,BAL,NULL,2012,2019,NULL
Andrew Cashner,32,cashnan01,2019,BAL,AL,2.823014192,2.29245283,P,10,1,BAL,TEX,2018,2019,BOS
Renato Nunez,25,nunezre01,2019,BAL,AL,5.608264463,0.825283019,"1B, 3B, LF",9,1,BAL,TEX,2018,2019,NULL
Anthony Santander,24,santaan02,2019,BAL,AL,3.882644628,1.018867925,"RF, LF, CF",8,1,BAL,NULL,2017,2019,NULL
Pedro Severino,25,severpe01,2019,BAL,AL,3.269090909,0.886415094,C,6,1,BAL,WSN,2019,2019,NULL
Rio Ruiz,25,ruizri01,2019,BAL,AL,3.863471074,0.590943396,"3B, 1B, 2B",6,1,BAL,ATL,2019,2019,NULL
Asher Wojciechowski,30,wojcias01,2019,BAL,AL,2.165530176,0.820188679,P,5,1,BAL,CIN,2019,2019,NULL
Shawn Armstrong,28,armstsh01,2019,BAL,AL,1.898930643,0.53490566,P,4,2,BAL,SEA,2019,2019,NULL
Miguel Castro,24,castrmi01,2019,BAL,AL,2.240454464,0.499245283,P,4,1,BAL,COL,2017,2019,NULL
Mychal Givens,29,givenmy01,2019,BAL,AL,2.519731894,0.438113208,P,4,1,BAL,NULL,2015,2019,NULL
Austin Hays,23,haysau01,2019,BAL,AL,0.632727273,0.748867925,CF,3,1,BAL,NULL,2017,2019,NULL
Richard Bleier,32,bleieri01,2019,BAL,AL,1.627498961,0.361698113,P,3,1,BAL,NYY,2017,2019,NULL
Aaron Brooks,29,brookaa01,2019,BAL,AL,1.720608757,0.27,P,3,2,BAL,OAK,2019,2019,NULL
Paul Fry,26,frypa01,2019,BAL,AL,2.167920271,-0.00509434,P,3,1,BAL,NULL,2018,2019,NULL
Gabriel Ynoa,26,ynoaga01,2019,BAL,AL,3.122295679,-0.219056604,P,3,1,BAL,NYM,2017,2019,NULL
Joey Rickard,28,rickajo01,2019,BAL,AL,1.294214876,0.091698113,"RF, LF, CF",2,1,BAL,NULL,2016,2019,SFG
Chance Sisco,24,siscoch01,2019,BAL,AL,1.859834711,-0.117169811,"C, 1B",2,1,BAL,NULL,2017,2019,NULL
Dwight Smith Jr.,26,smithdw02,2019,BAL,AL,3.719669421,-0.799811321,LF,2,1,BAL,TOR,2019,2019,NULL
Hunter Harvey,24,harvehu01,2019,BAL,AL,0.228046258,0.208867925,P,1,1,BAL,NULL,2019,2019,NULL
Nate Karns,31,karnsna01,2019,BAL,AL,0.127194632,0.193584906,P,1,1,BAL,KCR,2019,2019,NULL
Evan Phillips,24,phillev01,2019,BAL,AL,0.706013341,0.112075472,P,1,1,BAL,ATL,2018,2019,NULL
