year,price index
1201,0.01043807936188131
1202,0.01043807936188131
1203,0.01043807936188131
1204,0.01043807936188131
1205,0.01043807936188131
1206,0.01043807936188131
1207,0.01043807936188131
1208,0.01043807936188131
1209,0.01043807936188131
1210,0.01043807936188131
1211,0.01043807936188131
1212,0.01043807936188131
1213,0.01043807936188131
1214,0.01043807936188131
1215,0.01043807936188131
1216,0.01043807936188131
1217,0.01043807936188131
1218,0.01043807936188131
1219,0.01043807936188131
1220,0.01043807936188131
1221,0.01043807936188131
1222,0.01043807936188131
1223,0.01043807936188131
1224,0.01043807936188131
1225,0.01043807936188131
1226,0.010920468476933839
1227,0.010920468476933839
1228,0.010920468476933839
1229,0.010920468476933839
1230,0.010920468476933839
1231,0.010920468476933839
1232,0.010920468476933839
1233,0.010920468476933839
1234,0.010920468476933839
1235,0.010920468476933839
1236,0.010920468476933839
1237,0.010920468476933839
1238,0.010920468476933839
1239,0.010920468476933839
1240,0.010920468476933839
1241,0.010920468476933839
1242,0.010920468476933839
1243,0.010920468476933839
1244,0.010920468476933839
1245,0.010920468476933839
1246,0.010920468476933839
1247,0.010920468476933839
1248,0.010920468476933839
1249,0.010920468476933839
1250,0.010920468476933839
1251,0.01717442097562903
1252,0.01717442097562903
1253,0.01717442097562903
1254,0.01717442097562903
1255,0.01717442097562903
1256,0.01717442097562903
1257,0.01717442097562903
1258,0.01717442097562903
1259,0.01717442097562903
1260,0.01717442097562903
1261,0.01717442097562903
1262,0.01717442097562903
1263,0.01717442097562903
1264,0.01717442097562903
1265,0.01717442097562903
1266,0.01717442097562903
1267,0.01717442097562903
1268,0.01717442097562903
1269,0.01717442097562903
1270,0.01717442097562903
1271,0.01717442097562903
1272,0.01717442097562903
1273,0.01717442097562903
1274,0.01717442097562903
1275,0.01717442097562903
1276,0.017790236867185453
1277,0.017790236867185453
1278,0.017790236867185453
1279,0.017790236867185453
1280,0.017790236867185453
1281,0.017790236867185453
1282,0.017790236867185453
1283,0.017790236867185453
1284,0.017790236867185453
1285,0.017790236867185453
1286,0.017790236867185453
1287,0.017790236867185453
1288,0.017790236867185453
1289,0.017790236867185453
1290,0.017790236867185453
1291,0.017790236867185453
1292,0.017790236867185453
1293,0.017790236867185453
1294,0.017790236867185453
1295,0.017790236867185453
1296,0.017790236867185453
1297,0.017790236867185453
1298,0.017790236867185453
1299,0.017790236867185453
1300,0.017790236867185456
1301,0.012243617343930762
1302,0.012243617343930762
1303,0.012243617343930762
1304,0.012243617343930762
1305,0.012243617343930762
1306,0.012243617343930762
1307,0.012243617343930762
1308,0.012243617343930762
1309,0.012243617343930762
1310,0.012243617343930762
1311,0.012243617343930762
1312,0.012243617343930762
1313,0.012243617343930762
1314,0.012243617343930762
1315,0.012243617343930762
1316,0.012243617343930762
1317,0.012243617343930762
1318,0.012243617343930762
1319,0.012243617343930762
1320,0.012243617343930762
1321,0.012243617343930762
1322,0.012243617343930762
1323,0.012243617343930762
1324,0.012243617343930762
1325,0.012243617343930762
1326,0.02267314370731823
1327,0.02267314370731823
1328,0.02267314370731823
1329,0.02267314370731823
1330,0.02267314370731823
1331,0.02267314370731823
1332,0.02267314370731823
1333,0.02267314370731823
1334,0.02267314370731823
1335,0.02267314370731823
1336,0.02267314370731823
1337,0.02267314370731823
1338,0.02267314370731823
1339,0.02267314370731823
1340,0.02267314370731823
1341,0.02267314370731823
1342,0.02267314370731823
1343,0.02267314370731823
1344,0.02267314370731823
1345,0.02267314370731823
1346,0.02267314370731823
1347,0.02267314370731823
1348,0.02267314370731823
1349,0.02267314370731823
1350,0.02267314370731823
