Year,Region,Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
2010,Sub-Saharan Africa,Burkina Faso,1.0,22.5,15.4,1.0,1.0,61.6,1.0,1.0
2010,Sub-Saharan Africa,Burundi,1.0,91.5,5.7,1.0,1.0,2.8,1.0,1.0
2010,Asia-Pacific,Cambodia,96.9,1.0,1.0,1.0,1.0,2.0,1.0,1.0
2010,Sub-Saharan Africa,Cameroon,1.0,70.3,3.3,1.0,1.0,18.3,2.7,5.3
2010,North America,Canada,1.0,69.0,1.2,1.4,1.0,2.1,1.0,23.7
2010,Sub-Saharan Africa,Cape Verde,1.0,89.1,1.5,1.0,1.0,1.0,1.0,9.1
2010,Latin America-Caribbean,Cayman Islands,1.0,83.5,4.5,1.0,1.0,1.0,1.0,9.4
2010,Sub-Saharan Africa,Central African Republic,1.0,89.5,1.0,1.0,1.0,8.5,1.0,1.0
2010,Sub-Saharan Africa,Chad,1.0,40.6,1.4,1.0,1.0,55.3,1.0,2.5
2010,Europe,Channel Islands,1.0,85.2,1.0,1.0,1.0,1.0,1.0,14.2
2010,Latin America-Caribbean,Chile,1.0,89.4,1.5,1.0,1.0,1.0,1.0,8.6
2010,Asia-Pacific,China,18.2,5.1,21.9,1.0,1.0,1.8,1.0,52.2
2010,Latin America-Caribbean,Colombia,1.0,92.5,1.0,1.0,1.0,1.0,1.0,6.6
2010,Sub-Saharan Africa,Comoros,1.0,1.0,1.0,1.0,1.0,98.3,1.0,1.0
2010,Sub-Saharan Africa,Republic of the Congo,1.0,85.9,2.8,1.0,1.0,1.2,1.1,9.0
2010,Sub-Saharan Africa,Democratic Republic of the Congo,1.0,95.8,1.0,1.0,1.0,1.5,1.0,1.8
2010,Asia-Pacific,Cook Islands,1.0,96.0,1.0,1.0,1.0,1.0,1.0,3.2
2010,Latin America-Caribbean,Costa Rica,1.0,90.9,1.0,1.0,1.0,1.0,1.0,7.9
2010,Sub-Saharan Africa,Ivory Coast,1.0,44.1,10.2,1.0,1.0,37.5,1.0,8.0
2010,Europe,Croatia,1.0,93.4,1.0,1.0,1.0,1.4,1.0,5.1
2010,Latin America-Caribbean,Cuba,1.0,59.2,17.4,1.0,1.0,1.0,1.0,23.0
2010,Asia-Pacific,Cyprus,1.0,73.2,1.0,1.0,1.0,25.3,1.0,1.2
2010,Europe,Czech Republic,1.0,23.3,1.0,1.0,1.0,1.0,1.0,76.4
2010,Europe,Denmark,1.0,83.5,1.0,1.0,1.0,4.1,1.0,11.8
2010,Sub-Saharan Africa,Djibouti,1.0,2.3,1.0,1.0,1.0,96.9,1.0,1.0
2010,Latin America-Caribbean,Dominica,1.0,94.4,3.0,1.0,1.0,1.0,1.7,1.0
2010,Latin America-Caribbean,Dominican Republic,1.0,88.0,1.0,1.0,1.0,1.0,1.0,10.9
2010,Latin America-Caribbean,Ecuador,1.0,94.1,1.0,1.0,1.0,1.0,1.0,5.5
2010,Middle East-North Africa,Egypt,1.0,5.1,1.0,1.0,1.0,94.9,1.0,1.0
2010,Latin America-Caribbean,El Salvador,1.0,88.2,1.0,1.0,1.0,1.0,1.0,11.0
2010,Sub-Saharan Africa,Equatorial Guinea,1.0,88.7,1.7,1.0,1.0,4.0,1.0,5.0
2010,Sub-Saharan Africa,Eritrea,1.0,62.9,1.0,1.0,1.0,36.6,1.0,1.0
2010,Europe,Estonia,1.0,39.9,1.0,1.0,1.0,1.0,1.0,59.6
2010,Sub-Saharan Africa,Ethiopia,1.0,62.8,2.6,1.0,1.0,34.6,1.0,1.0
2010,Europe,Faeroe Islands,1.0,98.0,1.0,1.0,1.0,1.0,1.0,1.7
2010,Latin America-Caribbean,Falkland Islands (Malvinas),1.0,67.2,1.0,1.0,1.0,1.0,1.0,31.5
2010,Asia-Pacific,Fiji,1.0,64.4,1.0,27.9,1.0,6.3,1.0,1.0
2010,Europe,Finland,1.0,80.1,1.0,1.0,1.0,1.0,1.0,19.1
2010,Europe,France,1.0,63.0,1.0,1.0,1.0,7.5,1.0,28.0
2010,Latin America-Caribbean,French Guiana,1.0,84.4,9.1,1.6,1.0,1.0,1.0,3.4
2010,Asia-Pacific,French Polynesia,1.0,94.0,1.0,1.0,1.0,1.0,1.0,4.9
2010,Sub-Saharan Africa,Gabon,1.0,76.5,6.0,1.0,1.0,11.2,1.0,5.6
2010,Sub-Saharan Africa,Gambia,1.0,4.5,1.0,1.0,1.0,95.1,1.0,1.0
2010,Europe,Georgia,1.0,88.5,1.0,1.0,1.0,10.7,1.0,1.0
2010,Europe,Germany,1.0,68.7,1.0,1.0,1.0,5.8,1.0,24.7
2010,Sub-Saharan Africa,Ghana,1.0,74.9,4.9,1.0,1.0,15.8,1.0,4.2
2010,Europe,Gibraltar,1.0,88.8,1.0,1.8,2.1,4.0,1.0,2.9
2010,Europe,Greece,1.0,88.1,1.0,1.0,1.0,5.3,1.0,6.1
2010,North America,Greenland,1.0,96.1,1.0,1.0,1.0,1.0,1.0,2.5
2010,Latin America-Caribbean,Grenada,1.0,96.6,1.3,1.0,1.0,1.0,1.0,1.0
2010,Latin America-Caribbean,Guadeloupe,1.0,95.9,1.0,1.0,1.0,1.0,1.0,2.5
2010,Asia-Pacific,Guam,1.1,94.2,1.5,1.0,1.0,1.0,1.6,1.7
2010,Latin America-Caribbean,Guatemala,1.0,95.2,1.0,1.0,1.0,1.0,1.0,4.1
2010,Sub-Saharan Africa,Guinea,1.0,10.9,2.7,1.0,1.0,84.4,1.0,1.8
2010,Sub-Saharan Africa,Guinea-Bissau,1.0,19.7,30.9,1.0,1.0,45.1,1.0,4.3
2010,Latin America-Caribbean,Guyana,1.0,66.0,1.0,24.9,1.0,6.4,1.0,2.0
2010,Latin America-Caribbean,Haiti,1.0,86.9,2.2,1.0,1.0,1.0,1.0,10.6
2010,Europe,Vatican City,1.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0
2010,Latin America-Caribbean,Honduras,1.0,87.6,1.1,1.0,1.0,1.0,1.0,10.5
2010,Asia-Pacific,Hong Kong,13.2,14.3,12.8,1.0,1.0,1.8,1.5,56.1
2010,Europe,Hungary,1.0,81.0,1.0,1.0,1.0,1.0,1.0,18.6
2010,Europe,Iceland,1.0,95.0,1.0,1.0,1.0,1.0,1.0,3.5
2010,Asia-Pacific,India,1.0,2.5,1.0,79.5,1.0,14.4,2.3,1.0
2010,Asia-Pacific,Indonesia,1.0,9.9,1.0,1.7,1.0,87.2,1.0,1.0
2010,Asia-Pacific,Iran,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0
2010,Middle East-North Africa,Iraq,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0
2010,Europe,Ireland,1.0,92.0,1.0,1.0,1.0,1.1,1.0,6.2
2010,Europe,Isle of Man,1.0,84.1,1.0,1.0,1.0,1.0,1.0,15.4
2010,Middle East-North Africa,Israel,1.0,2.0,1.0,1.0,75.6,18.6,1.0,3.1
2010,Europe,Italy,1.0,83.3,1.0,1.0,1.0,3.7,1.0,12.4
2010,Latin America-Caribbean,Jamaica,1.0,77.2,4.5,1.0,1.0,1.0,1.0,17.2
2010,Asia-Pacific,Japan,36.2,1.6,1.0,1.0,1.0,1.0,4.7,57.0
2010,Middle East-North Africa,Jordan,1.0,2.2,1.0,1.0,1.0,97.2,1.0,1.0
2010,Asia-Pacific,Kazakhstan,1.0,24.7,1.0,1.0,1.0,70.4,1.0,4.2
2010,Sub-Saharan Africa,Kenya,1.0,84.8,1.7,1.0,1.0,9.7,1.2,2.5
2010,Asia-Pacific,Kiribati,1.0,97.0,1.0,1.0,1.0,1.0,2.2,1.0
2010,Europe,Kosovo,1.0,6.1,1.0,1.0,1.0,93.8,1.0,1.0
2010,Middle East-North Africa,Kuwait,2.8,14.3,1.0,8.5,1.0,74.1,1.0,1.0
2010,Asia-Pacific,Kyrgyzstan,1.0,11.4,1.0,1.0,1.0,88.0,1.0,1.0
2010,Asia-Pacific,Laos,66.0,1.5,30.7,1.0,1.0,1.0,1.0,1.0
2010,Europe,Latvia,1.0,55.8,1.0,1.0,1.0,1.0,1.0,43.8
2010,Middle East-North Africa,Lebanon,1.0,38.3,1.0,1.0,1.0,61.3,1.0,1.0
2010,Sub-Saharan Africa,Lesotho,1.0,96.8,1.0,1.0,1.0,1.0,1.0,3.1
2010,Sub-Saharan Africa,Liberia,1.0,85.9,1.0,1.0,1.0,12.0,1.0,1.4
2010,Middle East-North Africa,Libya,1.0,2.7,1.0,1.0,1.0,96.6,1.0,1.0
2010,Europe,Liechtenstein,1.0,91.9,1.0,1.0,1.0,5.0,1.0,2.9
2010,Europe,Lithuania,1.0,89.8,1.0,1.0,1.0,1.0,1.0,10.0
2010,Europe,Luxembourg,1.0,70.4,1.0,1.0,1.0,2.3,1.0,26.8
2010,Asia-Pacific,Macau,17.3,7.2,58.9,1.0,1.0,1.0,1.0,15.4
2010,Europe,Republic of Macedonia,1.0,59.3,1.0,1.0,1.0,39.3,1.0,1.4
2010,Sub-Saharan Africa,Madagascar,1.0,85.3,4.5,1.0,1.0,3.0,1.0,6.9
2010,Sub-Saharan Africa,Malawi,1.0,82.7,1.7,1.0,1.0,13.0,1.0,2.5
2010,Asia-Pacific,Malaysia,17.7,9.4,2.3,6.0,1.0,63.7,1.0,1.0
2010,Asia-Pacific,Maldives,1.0,1.0,1.0,1.0,1.0,98.4,1.0,1.0
2010,Sub-Saharan Africa,Mali,1.0,2.4,2.7,1.0,1.0,94.4,1.0,1.0
2010,Europe,Malta,1.0,97.0,1.0,1.0,1.0,1.0,1.0,2.5
2010,Asia-Pacific,Marshall Islands,1.0,97.5,1.0,1.0,1.0,1.0,1.0,1.5
2010,Latin America-Caribbean,Martinique,1.0,96.5,1.0,1.0,1.0,1.0,1.0,2.3
2010,Sub-Saharan Africa,Mauritania,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0
2010,Sub-Saharan Africa,Mauritius,1.0,32.7,1.0,48.5,1.0,17.3,1.0,1.0
2010,Sub-Saharan Africa,Mayotte,1.0,1.0,1.0,1.0,1.0,98.6,1.0,1.0
2010,Latin America-Caribbean,Mexico,1.0,95.1,1.0,1.0,1.0,1.0,1.0,4.7
2010,Asia-Pacific,Federated States of Micronesia,1.0,95.3,2.7,1.0,1.0,1.0,1.0,1.0
2010,Europe,Moldova,1.0,97.4,1.0,1.0,1.0,1.0,1.0,1.4
2010,Europe,Monaco,1.0,86.0,1.0,1.0,1.7,1.0,1.0,11.7
2010,Asia-Pacific,Mongolia,55.1,2.3,3.5,1.0,1.0,3.2,1.0,35.9
2010,Europe,Montenegro,1.0,78.1,1.0,1.0,1.0,18.7,1.0,3.2
2010,Latin America-Caribbean,Montserrat,1.0,93.5,1.0,1.0,1.0,1.0,1.5,4.8
2010,Middle East-North Africa,Morocco,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0
2010,Sub-Saharan Africa,Mozambique,1.0,56.7,7.4,1.0,1.0,18.0,1.0,17.9
2010,Asia-Pacific,Burma (Myanmar),80.1,7.8,5.8,1.7,1.0,4.0,1.0,1.0
2010,Sub-Saharan Africa,Namibia,1.0,97.5,1.0,1.0,1.0,1.0,1.0,1.9
