stcd,state,cd,pvi_22,urbanindex,rural,exurban,suburban,urban,grouping
CO-01,CO,1,55.18893,12.90034,0.00000,0.00000,11.05843,88.94157,Urban-Suburban
CA-17,CA,17,45.65845,12.89651,0.00000,0.00000,15.23174,84.76826,Urban-Suburban
MN-05,MN,5,57.10334,12.88577,0.00000,0.00000,1.84084,98.15916,Urban-Suburban
CA-32,CA,32,38.44398,12.87710,1.78239,3.24591,6.06115,88.91055,Urban-Suburban
CA-52,CA,52,36.34772,12.86991,0.00000,0.60785,15.86554,83.52662,Urban-Suburban
FL-27,FL,27,0.78253,12.86377,1.12720,0.81695,10.64414,87.41171,Urban-Suburban
WA-07,WA,7,69.83062,12.81346,1.42936,0.00000,11.75283,86.81780,Urban-Suburban
WI-04,WI,4,47.87550,12.77521,0.00000,0.59588,11.72757,87.67655,Urban-Suburban
CA-51,CA,51,22.25315,12.76409,0.00000,0.00000,19.63418,80.36581,Urban-Suburban
TX-32,TX,32,24.14067,12.76321,0.00000,0.00000,6.55905,93.44095,Urban-Suburban
CA-47,CA,47,6.14719,12.75985,0.00000,0.00000,10.67807,89.32193,Urban-Suburban
MA-05,MA,5,49.78761,12.75613,0.00000,4.54176,27.50935,67.94890,Urban-Suburban
CA-15,CA,15,54.16849,12.74003,0.00000,0.00000,33.31747,66.68253,Urban-Suburban
PA-05,PA,5,27.67340,12.70543,0.00000,1.99209,39.26854,58.73938,Urban-Suburban
CA-16,CA,16,49.61195,12.69778,2.59003,3.58978,8.29784,85.52235,Urban-Suburban
MD-08,MD,8,52.81252,12.69373,0.00000,3.56165,18.40958,78.02878,Urban-Suburban
CA-35,CA,35,26.44165,12.69247,0.00000,0.00000,19.94279,80.05721,Urban-Suburban
AZ-03,AZ,3,44.24546,12.67575,0.00000,0.57878,25.95139,73.46983,Urban-Suburban
MD-04,MD,4,74.89958,12.67143,0.00000,3.20837,25.96790,70.82374,Urban-Suburban
MI-12,MI,12,43.94941,12.66166,0.00000,0.00000,13.13971,86.86029,Urban-Suburban
TX-09,TX,9,49.13077,12.64574,0.00000,0.72506,31.30436,67.97058,Urban-Suburban
TX-18,TX,18,42.67667,12.60620,0.00000,0.51893,20.00699,79.47408,Urban-Suburban
FL-25,FL,25,17.92336,12.59246,0.00000,4.54294,20.29853,75.15853,Urban-Suburban
NV-01,NV,1,4.06932,12.57916,1.98704,4.40533,19.10526,74.50238,Urban-Suburban
AZ-04,AZ,4,1.52573,12.56294,0.00000,2.66154,18.40685,78.93161,Urban-Suburban
CA-06,CA,6,14.17135,12.55663,0.22733,2.90858,20.91764,75.94645,Urban-Suburban
CO-06,CO,6,16.71140,12.55418,0.24937,2.69471,24.02318,73.03275,Urban-Suburban
FL-23,FL,23,8.76903,12.53913,0.00000,0.00000,32.95565,67.04435,Urban-Suburban
TX-20,TX,20,26.45514,12.52761,0.00000,0.73043,28.96303,70.30654,Urban-Suburban
CA-40,CA,40,-3.84595,12.52466,0.20893,1.43567,33.90416,64.45125,Urban-Suburban
FL-20,FL,20,49.11082,12.52127,4.72279,0.92415,22.85421,71.49884,Urban-Suburban
IL-06,IL,6,6.17715,12.51739,0.00000,0.00000,38.37469,61.62531,Urban-Suburban
OH-03,OH,3,38.02023,12.51553,0.00000,2.10628,28.73309,69.16063,Urban-Suburban
CA-33,CA,33,23.12529,12.51408,0.00000,0.50863,31.11848,68.37289,Urban-Suburban
NV-03,NV,3,1.81552,12.51288,1.89815,2.14212,19.93534,76.02438,Urban-Suburban
GA-05,GA,5,59.93836,12.50446,0.00000,0.00000,37.83991,62.16009,Urban-Suburban
NJ-05,NJ,5,5.08421,12.50314,7.26614,11.51854,18.28944,62.92589,Urban-Suburban
MI-13,MI,13,45.90091,12.49860,0.00000,1.57627,34.99855,63.42517,Dense Suburban
NY-03,NY,3,4.02841,12.46215,0.00000,6.26129,53.23827,40.50043,Dense Suburban
TX-29,TX,29,34.99397,12.45498,0.00000,0.00000,34.91613,65.08386,Dense Suburban
TX-24,TX,24,-22.76236,12.45018,0.00000,0.00000,41.45675,58.54325,Dense Suburban
WA-09,WA,9,40.20969,12.43778,0.00000,0.00000,54.51665,45.48335,Dense Suburban
TX-37,TX,37,43.84511,12.43119,0.00000,3.58959,33.87406,62.53635,Dense Suburban
MA-08,MA,8,34.04748,12.42628,0.45580,6.63876,55.05499,37.85045,Dense Suburban
TX-38,TX,38,-27.06739,12.42589,0.00000,4.46802,31.08723,64.44476,Dense Suburban
TX-33,TX,33,43.77961,12.42466,0.00000,0.00000,54.33693,45.66307,Dense Suburban
OH-11,OH,11,54.52506,12.42390,0.00000,1.35547,37.30323,61.34130,Dense Suburban
VA-11,VA,11,32.06655,12.42183,0.00000,0.56497,54.15883,45.27620,Dense Suburban
MI-10,MI,10,-5.41146,12.41793,0.00000,1.09897,40.76994,58.13109,Dense Suburban
FL-10,FL,10,28.96999,12.39927,0.00000,3.18617,31.20566,65.60817,Dense Suburban
IL-01,IL,1,40.64404,12.39519,5.06601,16.42085,17.50636,61.00677,Dense Suburban
CA-50,CA,50,27.54005,12.38566,0.00000,0.32986,64.96494,34.70519,Dense Suburban
CA-07,CA,7,33.90592,12.37742,2.99271,5.42924,24.05268,67.52537,Dense Suburban
MO-01,MO,1,52.21677,12.36600,0.00000,2.02042,47.53374,50.44584,Dense Suburban
FL-26,FL,26,-13.64884,12.35861,6.99775,12.38540,11.24655,69.37031,Dense Suburban
CA-14,CA,14,41.98809,12.35435,2.01143,5.63854,26.31208,66.03796,Dense Suburban
NJ-11,NJ,11,9.16848,12.35098,1.32294,9.25834,48.49162,40.92710,Dense Suburban
FL-22,FL,22,13.65026,12.34584,0.00000,2.02719,51.60062,46.37218,Dense Suburban
AZ-08,AZ,8,-21.47008,12.33945,1.87200,11.00029,27.35460,59.77311,Dense Suburban
NJ-06,NJ,6,13.55227,12.33669,0.00000,4.72309,35.81586,59.46105,Dense Suburban
NY-26,NY,26,17.85608,12.32544,0.00000,11.69917,32.81654,55.48429,Dense Suburban
MN-04,MN,4,32.08878,12.31958,0.00000,9.97972,34.21316,55.80713,Dense Suburban
HI-01,HI,1,31.93864,12.29852,0.00000,5.28972,50.25579,44.45449,Dense Suburban
NJ-01,NJ,1,18.32284,12.28513,0.79596,9.56046,48.89464,40.74893,Dense Suburban
OR-03,OR,3,43.03346,12.27807,8.27027,4.88954,19.16468,67.67551,Dense Suburban
TX-30,TX,30,50.44007,12.26940,0.88498,5.47303,51.24867,42.39331,Dense Suburban
CA-39,CA,39,23.33049,12.26121,0.00000,0.88988,68.61337,30.49675,Dense Suburban
IL-08,IL,8,11.69418,12.23660,0.00000,3.34598,53.56768,43.08634,Dense Suburban
IN-07,IN,7,36.96051,12.22910,0.00000,0.48390,76.21677,23.29933,Dense Suburban
NY-02,NY,2,-5.97439,12.21863,0.95544,12.14082,48.62577,38.27797,Dense Suburban
WA-01,WA,1,24.77612,12.20153,0.00000,17.62034,29.42854,52.95112,Dense Suburban
MI-11,MI,11,14.85378,12.18432,0.00000,5.86185,66.78481,27.35335,Dense Suburban
