Entity,Year,CO2 traded as percentage of domestic emissions production (Global Carbon Project (2014))
Africa,1990,-10.74310996
Africa,1991,-11.07083994
Africa,1992,-6.896663884
Africa,1993,-9.127707372
Africa,1994,-8.87126325
Africa,1995,-10.42996277
Africa,1996,-13.24254206
Africa,1997,-12.73444856
Africa,1998,-10.05995629
Africa,1999,-9.840223531
Africa,2000,-15.26510901
Africa,2001,-14.51634401
Africa,2002,-15.47754993
Africa,2003,-11.50983467
Africa,2004,-12.50101667
Africa,2005,-10.29359929
Africa,2006,-10.26532885
Africa,2007,-8.768916731
Africa,2008,-8.174384113
Africa,2009,-4.591703571
Africa,2010,-6.340298003
Africa,2011,-6.335145043
Africa,2012,-5.701892107
Africa,2013,-0.697015852
Africa,2014,-1.389556727
Albania,1991,6.696293627
Albania,1992,14.20993627
Albania,1993,12.72842013
Albania,1994,21.44276641
Albania,1995,19.93317901
Albania,1996,45.60332041
Albania,1997,41.18082393
Albania,1998,42.46569764
Albania,1999,21.4606704
Albania,2000,24.90720417
Albania,2001,25.42453743
Albania,2002,32.48590762
Albania,2003,28.64407606
Albania,2004,27.95889646
Albania,2005,38.41867006
Albania,2006,42.63729672
Albania,2007,41.69466604
Albania,2008,38.7676172
Albania,2009,42.06519469
Albania,2010,31.64957515
Albania,2011,19.74376914
Albania,2012,24.38655478
Albania,2013,17.56093909
Albania,2014,17.28304222
Argentina,1990,1.415315291
Argentina,1991,3.710572518
Argentina,1992,6.572455408
Argentina,1993,5.656291618
Argentina,1994,4.95696105
Argentina,1995,2.948700715
Argentina,1996,3.100635097
Argentina,1997,5.985368812
Argentina,1998,6.97354288
Argentina,1999,4.194991561
Argentina,2000,1.642114972
Argentina,2001,-0.121630963
Argentina,2002,-25.551938
Argentina,2003,-15.28246219
Argentina,2004,-14.80828149
Argentina,2005,-11.9602575
Argentina,2006,-9.518068795
Argentina,2007,-5.627224548
Argentina,2008,-5.012717853
Argentina,2009,-6.444833025
Argentina,2010,-3.118343586
Argentina,2011,-1.548770513
Argentina,2012,0.18286278
Argentina,2013,3.359390824
Argentina,2014,2.475530324
Armenia,1990,-31.88895154
Armenia,1991,-36.85002094
Armenia,1992,-36.45933786
Armenia,1993,-28.43890515
Armenia,1994,-30.13198932
Armenia,1995,-17.84591188
Armenia,1996,15.83428733
Armenia,1997,24.94410991
Armenia,1998,20.3628102
Armenia,1999,72.70872073
Armenia,2000,17.93440539
Armenia,2001,19.57412794
Armenia,2002,22.06705474
Armenia,2003,28.70263006
Armenia,2004,22.95375575
Armenia,2005,27.38750902
Armenia,2006,27.44516885
Armenia,2007,50.70139789
Armenia,2008,24.88726229
Armenia,2009,39.87116312
Armenia,2010,35.6562405
Armenia,2011,21.37104054
Armenia,2012,15.6123492
Armenia,2013,17.03466301
Armenia,2014,12.20613009
Asia,1990,3.397913679
Asia,1991,0.668869003
Asia,1992,4.206667866
Asia,1993,3.009699044
Asia,1994,0.584687861
Asia,1995,0.605916482
Asia,1996,-0.183287091
Asia,1997,-1.44999277
Asia,1998,-4.552905972
Asia,1999,-1.621211801
Asia,2000,-1.798880122
Asia,2001,-2.19274041
Asia,2002,-3.640493133
Asia,2003,-5.681129893
Asia,2004,-7.678975085
Asia,2005,-8.954258602
Asia,2006,-10.5780441
Asia,2007,-11.71573944
Asia,2008,-10.24891381
Asia,2009,-8.193779289
Asia,2010,-8.080463843
Asia,2011,-7.870529062
Asia,2012,-6.771201687
Asia,2013,-6.729210876
Asia,2014,-6.392735212
Australia,1990,-12.48050953
Australia,1991,-12.85344698
Australia,1992,-13.41381264
Australia,1993,-14.07660109
Australia,1994,-12.6855762
Australia,1995,-14.52078372
Australia,1996,-13.5794069
Australia,1997,-13.86280089
Australia,1998,-11.65090385
Australia,1999,-15.15805135
Australia,2000,-18.4978714
Australia,2001,-19.0604083
Australia,2002,-13.29153755
Australia,2003,-10.75761993
Australia,2004,-9.846081923
Australia,2005,-11.01603232
Australia,2006,-7.426737596
Australia,2007,-5.271599459
Australia,2008,-8.562729729
Australia,2009,-3.880264454
Australia,2010,-4.276035031
Australia,2011,-1.887431627
Australia,2012,2.423972569
Australia,2013,-1.292090371
Australia,2014,-1.273909037
Austria,1990,45.38877828
