Candidate,Incumbent,State,Office,District,Stance,Source,URL,Note
Paul Gosar,Yes,Arizona,Representative,9,Fully denied,"CNN, congressional roll call",https://www.cnn.com/videos/politics/2021/09/27/keilar-paul-gosar-arizona-audit-roll-the-tape-newday-vpx.cnn,
Kari Lake,No,Arizona,Governor,N/A,Fully denied,Arizona PBS,https://youtu.be/zgkoNLPIAc0?t=1054,
"Abraham ""Abe"" Hamadeh",No,Arizona,Attorney general,N/A,Fully denied,Arizona Republic,https://www.azcentral.com/story/news/politics/arizona/2022/05/11/arizona-attorney-general-republican-candidates-trump-endorsement-biden-win-election/7376314001/,
Mark Finchem,No,Arizona,Secretary of state,N/A,Fully denied,The Guardian,https://www.theguardian.com/us-news/2022/feb/21/mark-finchem-trump-arizona-elections-secretary-of-state,
John Boozman,Yes,Arkansas,Senator,N/A,Fully accepted,"KATV (Little Rock, Ark.)",https://katv.com/news/local/sen-john-boozman-wont-protest-electoral-vote-warns-against-undermining-constitution,
Rick Crawford,Yes,Arkansas,Representative,1,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
French Hill,Yes,Arkansas,Representative,2,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Steve Womack,Yes,Arkansas,Representative,3,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Bruce Westerman,Yes,Arkansas,Representative,4,Accepted with reservations,"Supreme Court amicus brief, congressional roll call",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Sarah Huckabee Sanders,No,Arkansas,Governor,N/A,Raised questions,Arkansas Democrat-Gazette,https://www.arkansasonline.com/news/2022/may/01/in-race-for-arkansas-governor-gop-hopefuls-differ/,
Tim Griffin,No,Arkansas,Attorney general,N/A,No comment,,,
John Thurston,Yes,Arkansas,Secretary of state,N/A,Avoided answering,Arkansas Democrat-Gazette,https://www.arkansasonline.com/news/2021/aug/21/tab-for-travel-to-sd-paid-by-state/,
Mark P. Meuser,No,California,Senator,N/A,Raised questions,Email to FiveThirtyEight,,
Doug LaMalfa,Yes,California,Representative,1,Fully denied,"Redding Record Searchlight, congressional roll call",https://www.redding.com/story/news/2020/11/12/lamalfa-chastised-over-comments-social-media-posts-election/6254041002/,
Douglas Brower,No,California,Representative,2,No comment,,,
Kevin Kiley,No,California,Representative,3,Raised questions,Sacramento Bee,https://www.sacbee.com/news/politics-government/election/california-elections/article261997845.html,
Matt Brock,No,California,Representative,4,No comment,,,
Tom McClintock,Yes,California,Representative,5,Accepted with reservations,Facebook,https://archive.ph/Sqt3P,
Tamika Hamilton,No,California,Representative,6,Fully accepted,Email to FiveThirtyEight,,
Max Semenenko,No,California,Representative,7,Fully accepted,The Sacto Politico,https://www.sactopolitico.com/post/q-a-max-semenenko-ca-7,
Rudy Recile,No,California,Representative,8,No comment,,,
Tom Patti,No,California,Representative,9,No comment,,,
John Dennis,No,California,Representative,11,Fully denied,Twitter,https://archive.ph/9pNjh,
Stephen Slauson,No,California,Representative,12,Fully accepted,Email to FiveThirtyEight,,
John Duarte,No,California,Representative,13,No comment,,,
Alison Hayden,No,California,Representative,14,Fully denied,"Twitter, email to FiveThirtyEight",https://archive.ph/Ca6KI,
Ritesh Tandon,No,California,Representative,17,Accepted with reservations,Email to FiveThirtyEight,,Previously raised questions
Peter Hernandez,No,California,Representative,18,No comment,,,
Jeff Gorman,No,California,Representative,19,No comment,,,
Kevin McCarthy,Yes,California,Representative,20,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Michael Maher,No,California,Representative,21,No comment,,,
David G. Valadao,Yes,California,Representative,22,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Jay Obernolte,Yes,California,Representative,23,Accepted with reservations,"Obernolte press, email to FiveThirtyEight",https://obernolte.house.gov/media/press-releases/rep-obernolte-statement-impeachment-vote,
Brad Allen,No,California,Representative,24,No comment,,,
Brian E. Hawkins,No,California,Representative,25,Accepted with reservations,Email to FiveThirtyEight,,
Matt Jacobs,No,California,Representative,26,No comment,,,
Mike Garcia,Yes,California,Representative,27,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Wes Hallman,No,California,Representative,28,Accepted with reservations,Email to FiveThirtyEight,,
Daniel Bocic Martinez,No,California,Representative,31,No comment,,,
Lucie Lapointe Volotzky,No,California,Representative,32,No comment,,,
John Mark Porter,No,California,Representative,33,Accepted with reservations,Email to FiveThirtyEight,,
Mike Cargile,No,California,Representative,35,Fully denied,Email to FiveThirtyEight,https://archive.ph/AvXVR,
Joe E. Collins III,No,California,Representative,36,Fully denied,Facts with Fiona podcast,https://anchor.fm/factswithfiona/episodes/Episode-8-Meet-California-Congressional-Candidate-Joe-Collins-e1jd8o9,
Eric J. Ching,No,California,Representative,38,Fully denied,Orange County Register,https://www.ocregister.com/2022/04/18/elections-2022-get-to-know-rep-linda-sanchez-two-more-candidates-in-38th-district-race/,
Aja Smith,No,California,Representative,39,Fully denied,California Globe,https://californiaglobe.com/articles/californians-challenge-bidens-55-electoral-votes-in-court/,
Young Kim,Yes,California,Representative,40,Fully accepted,Email to FiveThirtyEight,,
Ken Calvert,Yes,California,Representative,41,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
John Briscoe,No,California,Representative,42,Fully denied,Twitter,https://twitter.com/johnfbriscoe/status/1345808626062041089,
Omar Navarro,No,California,Representative,43,Fully denied,Email to FiveThirtyEight,,
Paul Jones,No,California,Representative,44,Avoided answering,Email to FiveThirtyEight,,
Michelle Steel,Yes,California,Representative,45,No comment,,,
Christopher J. Gonzales,No,California,Representative,46,No comment,,,
Scott Baugh,No,California,Representative,47,Fully accepted,Email to FiveThirtyEight,,
Darrell Issa,Yes,California,Representative,48,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Brian Maryott,No,California,Representative,49,Fully accepted,San Diego Union-Tribune,https://www.sandiegouniontribune.com/opinion/commentary/story/2022-08-15/opinion-nov-2022-election-q-a-with-brian-maryott-49th-congressional-district-candidate,
Corey Gustafson,No,California,Representative,50,No comment,,,
Stan Caplan,No,California,Representative,51,No comment,No,,
Tyler Geffeney,No,California,Representative,52,No comment,San Diego Union-Tribune,https://www.sandiegouniontribune.com/opinion/story/2022-04-29/2022-election-q-a-with-tyler-geffeney-52nd-congressional-district-candidate,
Brian Dahle,No,California,Governor,N/A,Fully accepted,Los Angeles Times,https://www.latimes.com/california/story/2022-05-16/california-republican-brian-dahle-campaign-for-governor,
Nathan Hochman,No,California,Attorney general,N/A,No comment,,,
Rob Bernosky,No,California,Secretary of state,N/A,Fully accepted,SFGATE,https://www.sfgate.com/politics/article/Stop-the-Steal-enthusiast-running-17080864.php,
Joe O'Dea,No,Colorado,Senator,N/A,Fully accepted,Colorado Sun,https://coloradosun.com/2022/06/01/ron-hanks-joe-odea-senate-race-issues/,
Jennifer Qualteri,No,Colorado,Representative,1,Fully denied,Email to FiveThirtyEight,,
Marshall Dawson,No,Colorado,Representative,2,No comment,,,
Lauren Boebert,Yes,Colorado,Representative,3,Fully denied,"Denver Post, congressional roll call",https://www.denverpost.com/2020/12/01/lauren-beobert-election-2020-donald-trump/,
Ken Buck,Yes,Colorado,Representative,4,Accepted with reservations,"Supreme Court amicus brief, congressional roll call",https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Doug Lamborn,Yes,Colorado,Representative,5,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Steven Monahan,No,Colorado,Representative,6,Fully accepted,Email to FiveThirtyEight,,
Erik Aadland,No,Colorado,Representative,7,Fully denied,FiveThirtyEight,https://fivethirtyeight.com/features/this-candidate-thinks-the-2020-election-was-illegitimate-but-hed-rather-you-didnt-know-that/,
Barbara Kirkmeyer,No,Colorado,Representative,8,Fully accepted,Email to FiveThirtyEight,,
Heidi Ganahl,No,Colorado,Governor,N/A,Fully accepted,Colorado Public Radio,https://www.cpr.org/2022/06/20/heidi-ganahl-is-some-republicans-latest-hope-for-colorado-can-she-get-past-the-primary/,
John Kellner,No,Colorado,Attorney general,N/A,Fully accepted,Colorado Public Radio,https://www.cpr.org/2022/08/10/attorney-general-republican-candidate-john-kellner-interview/,
Pam Anderson,No,Colorado,Secretary of state,N/A,Fully accepted,Email to FiveThirtyEight,,
Leora R. Levy,No,Connecticut,Senator,N/A,Raised questions,Campaign video,https://www.youtube.com/watch?v=QmrGaOb1bjM&t=14s,
Larry Lazor,No,Connecticut,Representative,1,Fully accepted,Twitter,https://archive.ph/hZc9B,
Mike France,No,Connecticut,Representative,2,Accepted with reservations,Email to FiveThirtyEight,,
Lesley DeNardis,No,Connecticut,Representative,3,No comment,,,
Jayme Stevenson,No,Connecticut,Representative,4,Accepted with reservations,Email to FiveThirtyEight,,Previously fully accepted election
George Logan,No,Connecticut,Representative,5,No comment,,,
Robert Stefanowski,No,Connecticut,Governor,N/A,Fully accepted,Connecticut Mirror,https://ctmirror.org/2022/07/18/bysiewicz-ad-contrasts-democrats-with-stefanowski-on-abortion-guns-donald-t/,
Jessica Kordas,No,Connecticut,Attorney general,N/A,No comment,,,
Dominic Rapini,No,Connecticut,Secretary of state,N/A,Raised questions,Fight Voter Fraud newsletter,https://archive.ph/7Pc54,
Lee Murphy,No,Delaware,Representative,At-Large,No comment,,,
Julianne E. Murray,No,Delaware,Attorney general,N/A,No comment,,,
Marco Rubio,Yes,Florida,Senator,N/A,Fully accepted,Congressional roll call,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1171/vote_117_1_00001.htm,
Matt Gaetz,Yes,Florida,Representative,1,Fully denied,"WEAR-TV (Pensacola, Fla.), congressional roll call",https://weartv.com/news/local/watch-live-rep-gaetz-sit-down-interview-with-channel-3-at-4-pm,
Neal Dunn,Yes,Florida,Representative,2,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Kat Cammack,Yes,Florida,Representative,3,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Aaron Bean,No,Florida,Representative,4,No comment,,,
John Rutherford,Yes,Florida,Representative,5,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Michael Waltz,Yes,Florida,Representative,6,Accepted with reservations,"Supreme Court amicus brief, congressional roll call",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Cory Mills,No,Florida,Representative,7,Fully denied,Orlando Sentinel,https://www.orlandosentinel.com/politics/2022-election/os-ne-politics-2022-election-aarp-congressional-forum-20220729-3zvnpsvybbdvph4hnoitnlxwv4-story.html,
Bill Posey,Yes,Florida,Representative,8,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Scotty Moore,No,Florida,Representative,9,Fully denied,Florida Politics,https://floridapolitics.com/archives/542501-republican-congressional-candidates-say-they-believe-donald-trump-won-in-2016/,
Calvin B. Wimbish,No,Florida,Representative,10,Fully denied,Florida Politics,https://floridapolitics.com/archives/542501-republican-congressional-candidates-say-they-believe-donald-trump-won-in-2016/,
Daniel Webster,Yes,Florida,Representative,11,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Gus Michael Bilirakis,Yes,Florida,Representative,12,Fully denied,Supreme Court amicus brief,https://www.supremecourt.gov/DocketPDF/22/22O155/163403/20201210153048641_Texas%20v.%20Pennsylvania%20Amicus%20Brief%20of%20106%20Representatives.pdf,
Anna Paulina Luna,No,Florida,Representative,13,Fully denied,Florida Politics,https://floridapolitics.com/archives/552249-eric-lynn-ad-hits-anna-paula-luna-as-abortion-extremist-2020-denier/,
James Judge,No,Florida,Representative,14,Raised questions,Email to FiveThirtyEight,,
Laurel Lee,No,Florida,Representative,15,Fully accepted,Bay News 9,https://www.baynews9.com/fl/tampa/news/2021/07/28/there-will-be-no-audits-of-florida-s-election--says-sec--of-state,
Vern Buchanan,Yes,Florida,Representative,16,Accepted with reservations,"Sarasota Herald-Tribune, congressional roll call",https://www.heraldtribune.com/story/news/politics/2021/01/07/effort-overturn-election-results-divides-florida-republicans/6577080002/,
Greg Steube,Yes,Florida,Representative,17,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Scott Franklin,Yes,Florida,Representative,18,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Byron Donalds,Yes,Florida,Representative,19,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Drew Montez Clark,No,Florida,Representative,20,Raised questions,Twitter,https://archive.ph/rDigG,
Brian Mast,Yes,Florida,Representative,21,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Dan Franzese,No,Florida,Representative,22,No comment,,,
Joe Budd,No,Florida,Representative,23,Raised questions,South Florida Sun-Sentinel,https://www.sun-sentinel.com/opinion/endorsements/fl-op-endorse-republican-congress-primaries-20220801-doatdgnwtbd5hei6c7cezmj6ri-story.html,
Jesus G. Navarro,No,Florida,Representative,24,Fully denied,Email to FiveThirtyEight,,
Carla Spalding,No,Florida,Representative,25,Raised questions,"South Florida Sun-Sentinel, Facebook",https://www.sun-sentinel.com/opinion/commentary/fl-op-com-carla-spalding-questionnaire-20200622-rgvfw4zdhng47hl2rjrx2ypenq-story.html,
Mario Diaz-Balart,Yes,Florida,Representative,26,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
María Elvira Salazar,Yes,Florida,Representative,27,Raised questions,Miami Herald,https://www.miamiherald.com/opinion/editorials/article251868603.html,
Carlos A. Gimenez,Yes,Florida,Representative,28,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Ron DeSantis,Yes,Florida,Governor,N/A,Avoided answering,"WFLA-TV (Tampa, Fla.)",https://www.wfla.com/news/politics/desantis-wont-say-if-he-thinks-2020-election-was-stolen/,
Ashley Moody,Yes,Florida,Attorney general,N/A,Fully denied,Tallahassee Democrat,https://www.tallahassee.com/story/news/2020/12/09/floridaa-ashley-moody-backs-texas-challenge-election-results/3871989001/,
Herschel Junior Walker,No,Georgia,Senator,N/A,Accepted with reservations,Atlanta Journal-Constitution,https://www.ajc.com/politics/politics-blog/herschel-walkers-debate-performance-scores-points-with-supporters/NLEXBRY5KFDHJEU3WICO4P5MNQ/,Previously raised questions
"Earl L. ""Buddy"" Carter",Yes,Georgia,Representative,1,Accepted with reservations,"National Public Radio, congressional roll call",https://www.nprillinois.org/politics/2021-02-28/why-republicans-are-moving-to-fix-elections-that-werent-broken,
Chris West,No,Georgia,Representative,2,Raised questions,Facebook,https://archive.ph/N4P5f,
Drew Ferguson,Yes,Georgia,Representative,3,Accepted with reservations,"Supreme Court amicus brief, congressional roll call",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Jonathan Chavez,No,Georgia,Representative,4,Accepted with reservations,Email to FiveThirtyEight,,
Christian Zimm,No,Georgia,Representative,5,Raised questions,Email to FiveThirtyEight,,
Rich McCormick,No,Georgia,Representative,6,Fully denied,PBS,https://www.pbs.org/video/congressional-district-6-r-mbsyqs/,
Mark Gonsalves,No,Georgia,Representative,7,Fully denied,Twitter,https://archive.ph/jan8s,
Austin Scott,Yes,Georgia,Representative,8,Accepted with reservations,"Supreme Court amicus brief, congressional roll call, email to FiveThirtyEight",https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Andrew Clyde,Yes,Georgia,Representative,9,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
