Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
Algeria,2008,Total,Both Sexes,Mila,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,440735,
Algeria,2008,Total,Both Sexes,Mouaskar (Mascara),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,513432,
Algeria,2008,Total,Both Sexes,M'Sila,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,666848,
Algeria,2008,Total,Both Sexes,Naama,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,160381,
Algeria,2008,Total,Both Sexes,Oum El Bouaghi,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,467997,
Algeria,2008,Total,Both Sexes,Qacentina (Constantine),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,717646,
Algeria,2008,Total,Both Sexes,Saïda,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,248939,
Algeria,2008,Total,Both Sexes,Sidi-bel-Abbès,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,517836,
Algeria,2008,Total,Both Sexes,Skikda,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,543402,
Algeria,2008,Total,Both Sexes,Souq Ahras,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,308319,
Algeria,2008,Total,Both Sexes,Stif (Sétif),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,856457,
Algeria,2008,Total,Both Sexes,Tamanrasset,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,136822,
Algeria,2008,Total,Both Sexes,Tbessa (Tébessa),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,515786,
Algeria,2008,Total,Both Sexes,Tihert (Tiaret),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,637991,
Algeria,2008,Total,Both Sexes,Tilimsen (Tlemcen),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,672490,
Algeria,2008,Total,Both Sexes,Tipaza,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,343838,
Algeria,2008,Total,Both Sexes,Tissemsilt,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,193011,
Algeria,2008,Total,Both Sexes,Tizi Ouzou,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,585775,
Algeria,2008,Total,Both Sexes,Wahran (Oran),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,1165687,
Algeria,2008,Total,Both Sexes,Wargla (Ouargla),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,473543,
Algeria,1998,Total,Both Sexes,Annaba,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,352523,
Algeria,1998,Total,Both Sexes,Batna,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,246800,
Algeria,1998,Total,Both Sexes,Béchar,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,134523,
Algeria,1998,Total,Both Sexes,Bejaïa,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,144405,
Algeria,1998,Total,Both Sexes,Beskra (Biskra),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,177060,
Algeria,1998,Total,Both Sexes,Bordj Bou Arreridj,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,129004,
Algeria,1998,Total,Both Sexes,Bordj el Kiffan,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,103690,
Algeria,1998,Total,Both Sexes,Ech Cheliff (El Asnam),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,174314,
Algeria,1998,Total,Both Sexes,El Boulaïda (Blida),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,229788,
Algeria,1998,Total,Both Sexes,ALGIERS (EL DJAZAIR),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,1569897,
Algeria,1998,Total,Both Sexes,El Djelfa,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,158679,
Algeria,1998,Total,Both Sexes,El Eulma,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,104758,
Algeria,1998,Total,Both Sexes,El Wad,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,105151,
Algeria,1998,Total,Both Sexes,Ghardaïa,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,127959,
Algeria,1998,Total,Both Sexes,Ghilizane (Relizane),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,104644,
Algeria,1998,Total,Both Sexes,Guelma,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,108682,
Algeria,1998,Total,Both Sexes,Jijel,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,106306,
Algeria,1998,Total,Both Sexes,Lemdiyya (Médéa),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,128427,
Algeria,1998,Total,Both Sexes,Mestghanem (Mostaganem),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,125911,
Algeria,1998,Total,Both Sexes,M'Sila,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,102151,
Algeria,1998,Total,Both Sexes,Qacentina (Constantine),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,465021,
Algeria,1998,Total,Both Sexes,Saïda,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,113533,
Algeria,1998,Total,Both Sexes,Sidi-bel-Abbès,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,183931,
Algeria,1998,Total,Both Sexes,Skikda,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,153531,
Algeria,1998,Total,Both Sexes,Souq Ahras,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,114512,
Algeria,1998,Total,Both Sexes,Stif (Sétif),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,214842,
Algeria,1998,Total,Both Sexes,Tbessa (Tébessa),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,154335,
Algeria,1998,Total,Both Sexes,Tihert (Tiaret),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,148850,
Algeria,1998,Total,Both Sexes,Tilimsen (Tlemcen),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,156258,
Algeria,1998,Total,Both Sexes,Touggourt,City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,114183,
Algeria,1998,Total,Both Sexes,Wahran (Oran),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,705335,
Algeria,1998,Total,Both Sexes,Wargla (Ouargla),City proper,Census - de jure - complete tabulation,"Final figure, complete",2003,139381,
American Samoa,2020,Total,Both Sexes,PAGO PAGO,City proper,Census - de jure - complete tabulation,"Final figure, complete",2024,3000,3
American Samoa,2010,Total,Both Sexes,PAGO PAGO,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,3656,3
American Samoa,2000,Total,Both Sexes,PAGO PAGO,City proper,Census - de jure - complete tabulation,"Final figure, complete",2005,4278,3
Andorra,2011,Total,Both Sexes,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2011,22205,1
Andorra,2010,Total,Both Sexes,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2010,23505,1
Andorra,2009,Total,Both Sexes,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2009,24779,1
Andorra,2008,Total,Both Sexes,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2008,24632,1
Andorra,2007,Total,Both Sexes,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,24574,1
Andorra,2006,Total,Both Sexes,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,24211,1
