RespondentID,How often do you travel by plane?,Do you ever recline your seat when you fly?,How tall are you?,Do you have any children under 18?,"In a row of three seats, who should get to use the two arm rests?","In a row of two seats, who should get to use the middle arm rest?",Who should have control over the window shade?,Is itrude to move to an unsold seat on a plane?,"Generally speaking, is it rude to say more than a few words tothe stranger sitting next to you on a plane?","On a 6 hour flight from NYC to LA, how many times is it acceptable to get up if you're not in an aisle seat?","Under normal circumstances, does a person who reclines their seat during a flight have any obligation to the person sitting behind them?",Is itrude to recline your seat on a plane?,"Given the opportunity, would you eliminate the possibility of reclining seats on planes entirely?",Is it rude to ask someone to switch seats with you in order to be closer to friends?,Is itrude to ask someone to switch seats with you in order to be closer to family?,Is it rude to wake a passenger up if you are trying to go to the bathroom?,Is itrude to wake a passenger up if you are trying to walk around?,"In general, is itrude to bring a baby on a plane?","In general, is it rude to knowingly bring unruly children on a plane?",Have you ever used personal electronics during take off or landing in violation of a flight attendant's direction?,Have you ever smoked a cigarette in an airplane bathroom when it was against the rules?,Gender,Age,Household Income,Education,Location (Census Region)
3436139758,Once a year or less,,,,,,,,,,,,,,,,,,,,,,,,,
3434278696,Once a year or less,About half the time,"6'3""",Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude",No,No,Male,30-44,,Graduate degree,Pacific
3434275578,Once a year or less,Usually,"5'8""",No,Whoever puts their arm on the arm rest first,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",No,No,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
3434268208,Once a year or less,Always,"5'11""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",No,No,Male,30-44,"$0 - $24,999",Bachelor degree,Pacific
3434250245,Once a month or less,About half the time,"5'7""",No,The person in the middle seat gets both arm rests,The person in aisle,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",Yes,No,Male,30-44,"$50,000 - $99,999",Bachelor degree,Pacific
3434245875,Once a year or less,Usually,"5'9""",Yes,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"Yes, somewhat rude","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude","Yes, very rude",No,No,Male,30-44,"$25,000 - $49,999",Graduate degree,East North Central
3434235351,Once a month or less,Once in a while,"6'2""",Yes,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,"No, not rude at all","Yes, somewhat rude",Twice,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",Yes,"Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Male,30-44,150000,Some college or Associate degree,Pacific
3434218031,Once a year or less,Once in a while,"6'0""",Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",No,No,Male,30-44,"$0 - $24,999",Bachelor degree,New England
3434213681,Once a year or less,Once in a while,"6'0""",Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,,,,,,,,,,,,,
3434172894,Once a year or less,Never,"5'6""",No,Other (please specify),Other (please specify),Everyone in the row should have some say,"Yes, very rude","Yes, very rude",It is not okay to get up during flight,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"Yes, very rude","Yes, very rude","Yes, very rude","Yes, very rude","Yes, very rude","Yes, very rude",No,No,Male,30-44,"$0 - $24,999",Bachelor degree,Pacific
3434165659,Once a month or less,Usually,"6'0""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"Yes, very rude","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude",No,No,Male,30-44,"$50,000 - $99,999",High school degree,Mountain
3434164339,Once a year or less,,,,,,,,,,,,,,,,,,,,,,,,,
3434161941,Once a year or less,Never,"5'7""",,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"Yes, somewhat rude","Yes, somewhat rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,,,,,,,,,,,,,
3434155493,Never,,,,,,,,,,,,,,,,,,,,,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,Pacific
3434132453,Never,,,,,,,,,,,,,,,,,,,,,Male,18-29,,High school degree,South Atlantic
3434131535,Once a year or less,Once in a while,"6'0""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",No,No,Male,18-29,150000,Some college or Associate degree,East South Central
3434125180,A few times per week,,,,,,,,,,,,,,,,,,,,,,,,,
3434122066,Once a year or less,Always,"5'8""",Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Once,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","No, not at all rude",No,No,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic
3434114105,Once a year or less,Once in a while,"6'1""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude",Yes,No,Male,30-44,150000,Bachelor degree,West North Central
3434109246,Once a year or less,,,,,,,,,,,,,,,,,,,,,,,,,
3434107997,Once a year or less,Never,"5'10""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude",No,No,Male,18-29,"$25,000 - $49,999",Bachelor degree,South Atlantic
3434100967,Once a year or less,Once in a while,"5'7""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Male,30-44,"$0 - $24,999",Bachelor degree,East North Central
3434087928,Never,,,,,,,,,,,,,,,,,,,,,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central
3434084098,Never,,,,,,,,,,,,,,,,,,,,,Male,18-29,"$0 - $24,999",Some college or Associate degree,East North Central
3434071488,Never,,,,,,,,,,,,,,,,,,,,,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
3434061256,Never,,,,,,,,,,,,,,,,,,,,,Male,30-44,,High school degree,Middle Atlantic
3434059758,Never,,,,,,,,,,,,,,,,,,,,,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
3434052290,Once a year or less,Once in a while,"6'0""",No,The arm rests should be shared,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Male,30-44,"$25,000 - $49,999",Bachelor degree,East North Central
3434049700,Once a year or less,About half the time,"6'2""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude",Yes,No,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,West South Central
3434041278,Once a year or less,Always,"5'6""",No,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,"Yes, somewhat rude","No, not at all rude",Once,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude","Yes, somewhat rude","Yes, very rude",No,No,Male,30-44,150000,Some college or Associate degree,Pacific
3434033301,Once a year or less,About half the time,"5'11""",No,The people in the aisle and window seats get both arm rests,The person in aisle,The person in the window seat should have exclusive control,"Yes, somewhat rude","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, very rude","Yes, somewhat rude","Yes, very rude","Yes, very rude","Yes, somewhat rude","Yes, very rude",No,No,Male,18-29,,Bachelor degree,Middle Atlantic
3434024435,Once a year or less,Never,"5'10""",No,The arm rests should be shared,The person by the window,The person in the window seat should have exclusive control,"No, not rude at all","Yes, very rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","Yes, very rude",No,No,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3434018106,A few times per week,,,,,,,,,,,,,,,,,,,,,,,,,
3434016416,Once a year or less,Once in a while,"6'2""",Yes,The arm rests should be shared,The person by the window,Everyone in the row should have some say,"Yes, somewhat rude","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,30-44,"$50,000 - $99,999",Bachelor degree,West South Central
3434013636,Every day,Usually,"5'7""",Yes,Whoever puts their arm on the arm rest first,The person in aisle,The person in the window seat should have exclusive control,"Yes, somewhat rude","Yes, somewhat rude",Once,"No, the person on the flight has no obligation to the person behind them","Yes, very rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, very rude",Yes,No,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
3434009177,Once a year or less,Never,"5'10""",Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,Pacific
3434003204,Once a year or less,About half the time,"6'0""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude",No,No,Male,18-29,"$0 - $24,999",Bachelor degree,Pacific
3434003093,Once a year or less,Once in a while,"5'11""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"Yes, somewhat rude","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific
3433976285,Never,,,,,,,,,,,,,,,,,,,,,Male,18-29,,High school degree,South Atlantic
3433973110,Never,,,,,,,,,,,,,,,,,,,,,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West South Central
3433964953,Once a year or less,Usually,"5'5""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"Yes, somewhat rude","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",No,No,Male,18-29,"$0 - $24,999",High school degree,Pacific
3433964124,Once a year or less,Once in a while,"6'0""",Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude",No,No,Male,30-44,,Bachelor degree,New England
3433957540,Once a year or less,Never,"5'7""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude",Yes,No,Male,18-29,"$25,000 - $49,999",Bachelor degree,Pacific
3433954490,Never,,,,,,,,,,,,,,,,,,,,,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,East South Central
3433928804,Once a year or less,Once in a while,"5'7""",Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","Yes, somewhat rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, very rude",No,No,Male,18-29,150000,Bachelor degree,South Atlantic
3433926438,A few times per month,About half the time,"6'2""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude",No,No,Male,18-29,,Graduate degree,South Atlantic
3433914630,Once a year or less,Once in a while,"6'4""",No,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,"No, not rude at all","Yes, somewhat rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude",No,No,Male,30-44,"$0 - $24,999",Bachelor degree,Mountain
3433912503,Once a year or less,Never,"6'0""",No,The arm rests should be shared,The person in aisle,Everyone in the row should have some say,"No, not rude at all","Yes, somewhat rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude",No,No,Male,18-29,"$0 - $24,999",Some college or Associate degree,East North Central
3433895905,Once a year or less,Once in a while,"5'10""",Yes,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3433890093,Once a year or less,Always,"6'0""",No,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",Yes,No,Male,18-29,"$0 - $24,999",Bachelor degree,Pacific
3433882884,Never,,,,,,,,,,,,,,,,,,,,,Male,30-44,"$0 - $24,999",Some college or Associate degree,East North Central
3433881615,A few times per month,Usually,"5'7""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Male,18-29,"$0 - $24,999",Some college or Associate degree,West North Central
3433880747,Once a year or less,Once in a while,"5'9""",No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude",No,No,Male,18-29,"$0 - $24,999",Some college or Associate degree,Mountain
3433877510,Once a year or less,Once in a while,"6'1""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",Yes,No,Male,30-44,,Graduate degree,East North Central
3433877337,Once a month or less,Once in a while,"6'2""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude",No,No,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
3433873724,Once a month or less,Once in a while,"5'11""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"Yes, somewhat rude","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",No,No,Male,18-29,"$25,000 - $49,999",Bachelor degree,Pacific
3433863512,Once a month or less,Usually,"6'6"" and above",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",Yes,No,Male,30-44,,Graduate degree,Pacific
3433853098,Once a year or less,Usually,"5'10""",No,The person in the middle seat gets both arm rests,The person in aisle,Everyone in the row should have some say,"Yes, somewhat rude","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude",No,No,Male,30-44,"$50,000 - $99,999",Graduate degree,West South Central
3433847365,Once a year or less,About half the time,"6'1""",Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,30-44,"$50,000 - $99,999",Bachelor degree,New England
3433842253,Once a year or less,Never,"5'10""",No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",Yes,No,Male,30-44,150000,Graduate degree,South Atlantic
3433809714,Once a year or less,Never,"6'0""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,18-29,150000,Bachelor degree,East North Central
3433791959,Once a month or less,Usually,"6'2""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",Yes,No,Male,30-44,"$0 - $24,999",Graduate degree,Pacific
3433766902,Once a month or less,Once in a while,"5'8""",No,The arm rests should be shared,The person in aisle,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, somewhat rude",No,No,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,Pacific
3433704267,Once a year or less,Always,"5'9""",No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"Yes, somewhat rude","Yes, somewhat rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,,,,,,,,,,,,,
3433702768,Once a year or less,Once in a while,"5'7""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"Yes, somewhat rude","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,30-44,"$0 - $24,999",Bachelor degree,Middle Atlantic
3433696677,Once a year or less,Usually,"5'9""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
3433682046,Once a year or less,Never,"5'9""",Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,30-44,"$100,000 - $149,999",High school degree,Pacific
3433675127,Once a year or less,Once in a while,"6'4""",No,The arm rests should be shared,The person in aisle,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",Yes,No,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central
3433674615,Once a month or less,Once in a while,"5'9""",No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",No,No,Male,30-44,"$100,000 - $149,999",Graduate degree,East North Central
3433674116,Once a year or less,Never,"5'10""",No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","No, not at all rude",No,No,Male,18-29,"$0 - $24,999",Bachelor degree,East North Central
3433673902,Once a year or less,Once in a while,Under 5 ft.,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","Yes, somewhat rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude","Yes, very rude",No,No,Male,18-29,"$25,000 - $49,999",Less than high school degree,South Atlantic
3433669889,Never,,,,,,,,,,,,,,,,,,,,,Male,30-44,"$0 - $24,999",Some college or Associate degree,East South Central
3433547088,Never,,,,,,,,,,,,,,,,,,,,,Male,18-29,150000,Some college or Associate degree,Mountain
3433546426,Once a month or less,Once in a while,"5'7""",Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,30-44,"$100,000 - $149,999",Graduate degree,West North Central
3433532135,Once a year or less,Always,"6'4""",No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",Yes,"No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude",No,No,Male,30-44,"$0 - $24,999",Bachelor degree,East North Central
3433529889,Never,,,,,,,,,,,,,,,,,,,,,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific
3433508090,Once a year or less,Once in a while,"5'8""",No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific
3433505616,Once a year or less,Never,"5'7""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Male,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3433498776,Once a year or less,Usually,"5'11""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",No,No,Male,30-44,"$100,000 - $149,999",High school degree,South Atlantic
3433491130,Once a year or less,Never,"5'6""",No,Other (please specify),The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude",Yes,No,Male,18-29,"$0 - $24,999",High school degree,West South Central
