current_name,states,original_name,current_agency,action,date,year,pres_or_congress,acres_affected
Katmai National Park and Preserve,Alaska,Katmai National Monument,NPS,Enlarged,8/4/42,1942,F. D. Roosevelt,
Katmai National Park and Preserve,Alaska,Katmai National Monument,NPS,Enlarged,1/20/69,1969,L. Johnson,"94,547"
Katmai National Park and Preserve,Alaska,Katmai National Monument,NPS,Enlarged,12/1/78,1978,J. Carter,"1,370,000"
Katmai National Park and Preserve,Alaska,Katmai National Monument,NPS,Redesignated NP&P,12/2/80,1980,96th Congress,
Scotts Bluff National Monument,Nebraska,,NPS,Established,12/12/19,1919,W. Wilson,"2,053.83"
Scotts Bluff National Monument,Nebraska,,NPS,Enlarged,6/1/32,1932,H. Hoover,
Scotts Bluff National Monument,Nebraska,,NPS,Enlarged,3/29/40,1940,F. D. Roosevelt,53.34
Yucca House National Monument,Colorado,,NPS,Established,12/19/19,1919,W. Wilson,9.6
Great Basin National Park,Nevada,Lehman Caves National Moument,NPS,Established,1/24/22,1922,W. Harding,593.03
Great Basin National Park,Nevada,Lehman Caves National Moument,NPS,Incorporated into Great Basin NP,10/27/86,1986,99th Congress,
Timpanogos Cave National Monument,Utah,,NPS,Established,10/14/22,1922,W. Harding,250
Timpanogos Cave National Monument,Utah,,NPS,Boundaries Confirmed,3/27/62,1962,J. Kennedy,
Fossil Cycad National Monument,South Dakota,,BLM,Established,10/21/22,1922,W. Harding,320
Fossil Cycad National Monument,South Dakota,,BLM,Transferred to BLM,8/1/56,1956,84th Congress,
Aztec Ruin National Monument,New Mexico,,NPS,Established,1/24/23,1923,W. Harding,4.6
Aztec Ruin National Monument,New Mexico,,NPS,Enlarged,7/2/28,1928,C. Coolidge,12.6
Aztec Ruin National Monument,New Mexico,,NPS,Enlarged,12/19/30,1930,H. Hoover,6.8788
Aztec Ruin National Monument,New Mexico,,NPS,Enlarged,5/27/48,1948,H. Truman,1.255
Hovenweep National Monument,"Utah, Colorado",,NPS,Established,3/2/23,1923,W. Harding,285.8
Hovenweep National Monument,"Utah, Colorado",,NPS,Enlarged,4/26/51,1951,H. Truman,80
Hovenweep National Monument,"Utah, Colorado",,NPS,Enlarged,11/20/52,1952,H. Truman,81.02
Hovenweep National Monument,"Utah, Colorado",,NPS,Diminished,4/6/56,1956,D. Eisenhower,40
Hovenweep National Monument,"Utah, Colorado",,NPS,"Enlarged, administered by Canyonlands NP",,,,40
Hopewell Culture National Historical Park,Ohio,Mound City Group National Monument,NPS,Established,3/2/23,1923,W. Harding,57
Hopewell Culture National Historical Park,Ohio,Mound City Group National Monument,NPS,Redesignated Hopewell Culture NHP,5/27/92,1992,102d Congress,
Pipe Spring National Monument,Arizona,,NPS,Established,5/31/23,1923,W. Harding,40
Bryce Canyon National Park,Utah,Bryce Canyon National Monument,NPS,Established,6/8/23,1923,W. Harding,"7,440"
Bryce Canyon National Park,Utah,Bryce Canyon National Monument,NPS,Redesignated NP,6/7/24,1924,68th Congress,
Carlsbad Caverns National Park,New Mexico,Carlsbad Cave National Monument,NPS,Established,10/25/23,1923,C. Coolidge,719.22
Carlsbad Caverns National Park,New Mexico,Carlsbad Cave National Monument,NPS,Redesignated NP,5/14/30,1930,71st Congress,
Chiricahua National Monument,Arizona,,NPS,Established,4/18/24,1924,C. Coolidge,"3,655.12"
Chiricahua National Monument,Arizona,,NPS,Enlarged,6/10/38,1938,F. D. Roosevelt,"6,407"
Craters of the Moon National Monument,Idaho,,"NPS, BLM",Established,5/2/24,1924,C. Coolidge,"22,651.80"
Craters of the Moon National Monument,Idaho,,"NPS, BLM",Enlarged,7/23/28,1928,C. Coolidge,"26,240"
Craters of the Moon National Monument,Idaho,,"NPS, BLM",Enlarged,7/9/30,1930,H. Hoover,
Craters of the Moon National Monument,Idaho,,"NPS, BLM",Diminished,7/18/41,1941,F. D. Roosevelt,
