pfr_player_id,player_name,career_try,career_ranypa,career_wowy,bcs_rating
AlstLy20,Lyneal Alston,100.059579,-1.967434278,-1.565488122,NULL
AlstMa00,Mack Alston,1855.88572,-0.668149163,0.377029964,NULL
AlstMi00,Mike Alstott,2615.94526,-0.507910557,0.086978344,NULL
AlwoLa00,Lance Alworth,11820.56899,1.2562051,0.682771107,18.474299
AmanEu20,Eugene Amano,6.694724673,0.239652078,1.092506361,NULL
AmbeJo00,John Amberg,60.75433829,-0.69249503,0.483171898,NULL
AmecAl00,Alan Ameche,1405.880212,1.130270531,0.500825937,NULL
AmenDa00,Danny Amendola,2102.372605,-0.70952953,-0.20297825,NULL
AmesDa00,Dave Ames,34.13601352,-2.473459628,-0.765315519,NULL
AmunGe00,George Amundson,334.616963,-0.832080808,-0.436820183,NULL
AndeAl00,Alfred Anderson,1075.680683,0.176195564,0.107931994,NULL
AndeBi00,Bill Anderson,3904.933397,-1.094149702,-0.356341248,NULL
AndeBi01,Billy Anderson,43.40827532,-0.621221261,-1.54419774,NULL
AndeBo00,Bobby Anderson,1230.393758,-0.481199944,-0.219569833,NULL
AndeBr20,Brad Anderson,87.83528366,-0.06726499,1.328534749,NULL
AndeCh00,Chet Anderson,172.6313318,-1.197122618,0.094383357,NULL
AndeCl00,Cliff Anderson,660.6162835,-1.911589918,-1.909734941,NULL
AndeCo00,Courtney Anderson,718.8543342,-1.115270766,-0.42645034,NULL
AndeDa00,Damien Anderson,71.87474002,-1.425617449,-1.187650654,NULL
AndeDa01,David Anderson,864.0206377,0.873958252,0.387894872,NULL
AndeDe01,Deon Anderson,79.51278301,1.272754914,-0.012315947,NULL
AndeDi00,Dick Anderson,10.1956019,-2.112920994,-1.824591634,NULL
AndeDo00,Donny Anderson,3672.999036,0.168310558,0.416444404,NULL
AndeFl00,Flipper Anderson,4661.199262,0.57985145,0.015074165,NULL
AndeGa00,Gary W. Anderson,3030.836012,-0.614398844,-0.749718685,NULL
AndeJa00,Jamal Anderson,1613.007961,-0.054540682,0.603064172,NULL
AndeJe00,Jesse Anderson,161.8450837,-1.824400584,-2.655898165,NULL
AndeKi00,Kimble Anders,3042.780628,0.120326739,-0.104042778,NULL
AndeMa00,Max Anderson,284.2341292,-3.202359829,-0.072757686,NULL
AndeMa20,Marcus Anderson,213.579189,-1.739932362,-2.009399289,NULL
AndeMi00,Mike Anderson,812.4560845,0.77571732,1.04669211,NULL
AndeNe00,Neal Anderson,3169.370791,-0.431194775,-0.578004115,NULL
AndeOt00,Ottis Anderson,3351.919289,-0.08576256,0.017994888,NULL
AndeRa00,Ralph Anderson,949.2402928,-0.183220161,-0.121744547,NULL
AndeRi00,Richie Anderson,3353.386753,-0.323392955,0.215082203,NULL
AndeRi20,Rickey Anderson,1.519220879,0.971750973,-0.393134163,NULL
AndeRo00,Ronnie Anderson,7.899231878,-0.455175569,-0.125483891,NULL
AndeSc00,Scotty Anderson,721.4409747,-1.422513555,-0.377904547,NULL
AndeSt00,Stevie Anderson,171.8506231,-0.579356,-0.393081385,NULL
AndeSt20,Stan Andersen,200.5886014,-2.267730787,0.391325071,NULL
AndeSu20,Sugarfoot Anderson,215.1065065,-0.656697088,-1.220335413,NULL
AndeTa00,Taz Anderson,1528.00781,-0.872241531,-0.062850723,NULL
AndeTe20,Terry Anderson,47.47103122,0.02133775,-0.667623363,NULL
AndeVi20,Vickey Ray Anderson,7.673271876,-0.738806361,-0.974734634,NULL
AndeWi22,Winnie Anderson,256.3401534,1.448641136,-0.899627333,NULL
AndrGe20,George Andrews,5.013841601,-1.078547228,-1.380154903,NULL
AndrJo00,John Andrews,27.82316464,-1.987829525,-1.94276621,NULL
AndrJo21,Joe Andruzzi,3.156473305,0.608766259,-1.192092275,NULL
AndrMi20,Mitch Andrews,47.34356257,0.815554444,0.056088707,NULL
AndrWi00,William Andrews,3100.197222,0.449510002,0.556130289,NULL
AngsEl00,Elmer Angsman,1013.915269,0.482944428,0.540239629,NULL
AnguRi00,Richard Angulo,162.0033053,0.663364819,0.521388283,NULL
AnthRe00,Reidel Anthony,1979.279068,-0.399913052,0.272476011,NULL
AnthTe21,Terry Anthony,45.89882768,-2.412920886,-3.070737645,NULL
AnthTy00,Tyrone Anthony,314.5518151,-1.089724515,-0.741037289,NULL
ApsiMa20,Marger Apsit,102.3040377,-4.939846698,-0.295955997,NULL
ArbaFr00,Fred Arbanas,3950.884444,1.90651337,0.340818504,NULL
ArbuCh00,Charles Arbuckle,296.3493523,-0.514273866,-0.276310948,NULL
ArceEm00,Emmanuel Arceneaux,8.726908958,-1.263299033,-0.136693842,NULL
ArchMi00,Mike Archie,31.64618087,0.396780007,-0.260602472,NULL
ArenAr20,Arnie Arenz,91.56631656,-2.61120436,-3.048041204,NULL
ArenJo00,Joe Arenas,1101.973295,0.527657978,-0.62513865,NULL
ArmoJu00,Justin Armour,802.887793,-0.489015367,0.130129551,NULL
ArmsAd00,Adger Armstrong,856.2837918,-0.617528161,-0.119905703,NULL
ArmsAn00,Anthony Armstrong,745.1919868,-0.479603965,-0.100182092,NULL
ArmsDe00,Derick Armstrong,560.6719706,-0.401553928,0.763772297,NULL
ArmsGr20,Graham Armstrong,4.522988007,-0.09234997,-0.476405159,NULL
