tourney_year,tourney_order,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_dates,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,tourney_year_id
1903,2,US Championships,560,us-open,"Newport, United States",1903.08.16,8,16,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1903/results,Laurence Doherty,/en/players/laurence-doherty/dg02/overview,laurence-doherty,dg02,,,,,1903-560
1904,1,Wimbledon,540,wimbledon,"London, Great Britain",1904.06.20,6,20,64,64,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1904/results,Laurence Doherty,/en/players/laurence-doherty/dg02/overview,laurence-doherty,dg02,,,,,1904-540
1904,2,US Championships,560,us-open,"Newport, United States",1904.08.16,8,16,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1904/results,Holcombe Ward,/en/players/holcombe-ward/w954/overview,holcombe-ward,w954,,,,,1904-560
1905,1,Wimbledon,540,wimbledon,"London, Great Britain",1905.06.26,6,26,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1905/results,Laurence Doherty,/en/players/laurence-doherty/dg02/overview,laurence-doherty,dg02,,,,,1905-540
1905,2,US Championships,560,us-open,"Newport, United States",1905.08.22,8,22,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1905/results,Beals Wright,/en/players/beals-wright/w950/overview,beals-wright,w950,,,,,1905-560
1905,3,Australasian Championships,580,australian-open,"Melbourne, Australia",1905.11.21,11,21,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1905/results,Rodney Heath,/en/players/rodney-heath/he57/overview,rodney-heath,he57,,,,,1905-580
1906,1,Wimbledon,540,wimbledon,"London, Great Britain",1906.06.25,6,25,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1906/results,Laurence Doherty,/en/players/laurence-doherty/dg02/overview,laurence-doherty,dg02,,,,,1906-540
1906,2,US Championships,560,us-open,"Newport, United States",1906.08.20,8,20,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1906/results,William Clothier,/en/players/william-clothier/ck86/overview,william-clothier,ck86,,,,,1906-560
1906,3,Australasian Championships,580,australian-open,"Christchurch, New Zealand",1906.12.26,12,26,16,16,Outdoor,Grass,,/en/scores/archive/australian-open/580/1906/results,Tony Wilding,/en/players/tony-wilding/w972/overview,tony-wilding,w972,,,,,1906-580
1907,1,Wimbledon,540,wimbledon,"London, Great Britain",1907.06.24,6,24,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1907/results,Norman Brookes,/en/players/norman-brookes/bq52/overview,norman-brookes,bq52,,,,,1907-540
1907,2,Australasian Championships,580,australian-open,"Brisbane, Australia",1907.08.18,8,18,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1907/results,Horace Rice,/en/players/horace-rice/rf87/overview,horace-rice,rf87,,,,,1907-580
1907,3,US Championships,560,us-open,"Newport, United States",1907.08.20,8,20,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1907/results,William Larned,/en/players/william-larned/lg45/overview,william-larned,lg45,,,,,1907-560
1908,1,Wimbledon,540,wimbledon,"London, Great Britain",1908.06.22,6,22,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1908/results,Arthur Gore,/en/players/arthur-gore/gh85/overview,arthur-gore,gh85,,,,,1908-540
1908,2,US Championships,560,us-open,"Newport, United States",1908.08.18,8,18,256,256,Outdoor,Grass,,/en/scores/archive/us-open/560/1908/results,Beals Wright,/en/players/beals-wright/w950/overview,beals-wright,w950,,,,,1908-560
1908,3,Australasian Championships,580,australian-open,"Sydney, Australia",1908.12.07,12,7,16,16,Outdoor,Grass,,/en/scores/archive/australian-open/580/1908/results,Fred Alexander,/en/players/fred-alexander/af02/overview,fred-alexander,af02,,,,,1908-580
1909,1,Wimbledon,540,wimbledon,"London, Great Britain",1909.06.21,6,21,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1909/results,Arthur Gore,/en/players/arthur-gore/gh85/overview,arthur-gore,gh85,,,,,1909-540
1909,2,US Championships,560,us-open,"Newport, United States",1909.08.17,8,17,256,256,Outdoor,Grass,,/en/scores/archive/us-open/560/1909/results,William Clothier,/en/players/william-clothier/ck86/overview,william-clothier,ck86,,,,,1909-560
1909,3,Australasian Championships,580,australian-open,"Perth, Australia",1909.10.16,10,16,16,16,Outdoor,Grass,,/en/scores/archive/australian-open/580/1909/results,Tony Wilding,/en/players/tony-wilding/w972/overview,tony-wilding,w972,,,,,1909-580
1910,1,Australasian Championships,580,australian-open,"Adelaide, Australia",1910.03.15,3,15,16,16,Outdoor,Grass,,/en/scores/archive/australian-open/580/1910/results,Rodney Heath,/en/players/rodney-heath/he57/overview,rodney-heath,he57,,,,,1910-580
1910,2,Wimbledon,540,wimbledon,"London, Great Britain",1910.06.20,6,20,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1910/results,Tony Wilding,/en/players/tony-wilding/w972/overview,tony-wilding,w972,,,,,1910-540
1910,3,US Championships,560,us-open,"Newport, United States",1910.08.15,8,15,256,256,Outdoor,Grass,,/en/scores/archive/us-open/560/1910/results,Thomas Bundy,/en/players/thomas-bundy/br63/overview,thomas-bundy,br63,,,,,1910-560
1911,1,Wimbledon,540,wimbledon,"London, Great Britain",1911.06.26,6,26,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1911/results,Tony Wilding,/en/players/tony-wilding/w972/overview,tony-wilding,w972,,,,,1911-540
1911,2,US Championships,560,us-open,"Newport, United States",1911.08.21,8,21,256,256,Outdoor,Grass,,/en/scores/archive/us-open/560/1911/results,Maurice McLoughlin,/en/players/maurice-mcloughlin/mt38/overview,maurice-mcloughlin,mt38,,,,,1911-560
1911,3,Australasian Championships,580,australian-open,"Melbourne, Australia",1911.11.20,11,20,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1911/results,Norman Brookes,/en/players/norman-brookes/bq52/overview,norman-brookes,bq52,,,,,1911-580
1912,1,Wimbledon,540,wimbledon,"London, Great Britain",1912.06.24,6,24,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1912/results,Tony Wilding,/en/players/tony-wilding/w972/overview,tony-wilding,w972,,,,,1912-540
1912,2,US Championships,560,us-open,"Newport, United States",1912.08.19,8,19,256,256,Outdoor,Grass,,/en/scores/archive/us-open/560/1912/results,Maurice McLoughlin,/en/players/maurice-mcloughlin/mt38/overview,maurice-mcloughlin,mt38,,,,,1912-560
1912,3,Australasian Championships,580,australian-open,"Hastings, New Zealand",1912.12.30,12,30,16,16,Outdoor,Grass,,/en/scores/archive/australian-open/580/1912/results,James Cecile Parke,/en/players/james-cecile-parke/pj92/overview,james-cecile-parke,pj92,,,,,1912-580
1913,1,Wimbledon,540,wimbledon,"London, Great Britain",1913.06.23,6,23,129,129,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1913/results,Tony Wilding,/en/players/tony-wilding/w972/overview,tony-wilding,w972,,,,,1913-540
1913,2,US Championships,560,us-open,"Newport, Rhode Island, United States",1913.08.18,8,18,256,256,Outdoor,Grass,,/en/scores/archive/us-open/560/1913/results,Maurice McLoughlin,/en/players/maurice-mcloughlin/mt38/overview,maurice-mcloughlin,mt38,,,,,1913-560
1913,3,Australasian Championships,580,australian-open,"Perth, Australia",1913.11.01,11,1,16,16,Outdoor,Grass,,/en/scores/archive/australian-open/580/1913/results,Ernest Parker,/en/players/ernest-parker/pk22/overview,ernest-parker,pk22,,,,,1913-580
1914,1,Wimbledon,540,wimbledon,"London, Great Britain",1914.06.22,6,22,129,129,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1914/results,Norman Brookes,/en/players/norman-brookes/bq52/overview,norman-brookes,bq52,,,,,1914-540
1914,2,US Championships,560,us-open,"Newport, Rhode Island, United States",1914.08.24,8,24,256,256,Outdoor,Grass,,/en/scores/archive/us-open/560/1914/results,Richard Norris Williams,/en/players/richard-norris-williams/w830/overview,richard-norris-williams,w830,,,,,1914-560
1914,3,Australasian Championships,580,australian-open,"Melbourne, Australia",1914.11.23,11,23,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1914/results,Arthur O'Hara-Wood,/en/players/arthur-oharawood/o611/overview,arthur-oharawood,o611,,,,,1914-580
1915,1,Australasian Championships,580,australian-open,"Brisbane, Australia",1915.08.16,8,16,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1915/results,Gordon Lowe,/en/players/gordon-lowe/lf73/overview,gordon-lowe,lf73,,,,,1915-580
1915,2,US Championships,560,us-open,"New York, United States",1915.08.31,8,31,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1915/results,Bill Johnston,/en/players/bill-johnston/j665/overview,bill-johnston,j665,,,,,1915-560
1916,1,US Championships,560,us-open,"New York, United States",1916.08.28,8,28,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1916/results,Richard Norris Williams,/en/players/richard-norris-williams/w830/overview,richard-norris-williams,w830,,,,,1916-560
1917,1,US Championships,560,us-open,"New York, United States",1917.08.20,8,20,64,64,Outdoor,Grass,,/en/scores/archive/us-open/560/1917/results,Lindley Murray,/en/players/lindley-murray/mt28/overview,lindley-murray,mt28,,,,,1917-560
1918,1,US Championships,560,us-open,"New York, United States",1918.08.26,8,26,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1918/results,Lindley Murray,/en/players/lindley-murray/mt28/overview,lindley-murray,mt28,,,,,1918-560
1919,1,Wimbledon,540,wimbledon,"London, Great Britain",1919.06.23,6,23,129,129,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1919/results,Gerald Patterson,/en/players/gerald-patterson/pj50/overview,gerald-patterson,pj50,,,,,1919-540
1919,2,US Championships,560,us-open,"New York, United States",1919.08.26,8,26,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1919/results,Bill Johnston,/en/players/bill-johnston/j665/overview,bill-johnston,j665,,,,,1919-560
1919,3,Australasian Championships,580,australian-open,"Sydney, Australia",1920.01.22,1,22,64,64,Outdoor,Grass,,/en/scores/archive/australian-open/580/1919/results,Algernon Kingscote,/en/players/algernon-kingscote/kg77/overview,algernon-kingscote,kg77,,,,,1919-580
1920,1,Australasian Championships,580,australian-open,"Adelaide, Australia",1920.03.15,3,15,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1920/results,Pat O'Hara-Wood,/en/players/pat-oharawood/o583/overview,pat-oharawood,o583,,,,,1920-580
1920,2,Wimbledon,540,wimbledon,"London, Great Britain",1920.06.21,6,21,129,129,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1920/results,Bill Tilden,/en/players/bill-tilden/te54/overview,bill-tilden,te54,,,,,1920-540
1920,3,US Championships,560,us-open,"New York, United States",1920.08.30,8,30,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1920/results,Bill Tilden,/en/players/bill-tilden/te54/overview,bill-tilden,te54,,,,,1920-560
