tourney_year,tourney_order,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_dates,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,tourney_year_id
1928,1,Australian Championships,580,australian-open,"Sydney, Australia",1928.01.28,1,28,64,64,Outdoor,Grass,,/en/scores/archive/australian-open/580/1928/results,Jean Borotra,/en/players/jean-borotra/b820/overview,jean-borotra,b820,,,,,1928-580
1928,2,French Championships,520,roland-garros,"Paris, France",1928.05.25,5,25,128,128,Outdoor,Clay,,/en/scores/archive/roland-garros/520/1928/results,Henri Cochet,/en/players/henri-cochet/cj19/overview,henri-cochet,cj19,,,,,1928-520
1928,3,Wimbledon,540,wimbledon,"London, Great Britain",1928.06.25,6,25,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1928/results,Rene Lacoste,/en/players/rene-lacoste/lf18/overview,rene-lacoste,lf18,,,,,1928-540
1928,4,US Championships,560,us-open,"New York, United States",1928.09.10,9,10,64,64,Outdoor,Grass,,/en/scores/archive/us-open/560/1928/results,Henri Cochet,/en/players/henri-cochet/cj19/overview,henri-cochet,cj19,,,,,1928-560
1929,1,Australian Championships,580,australian-open,"Adelaide, Australia",1929.01.19,1,19,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1929/results,John Colin Gregory,/en/players/john-colin-gregory/gh47/overview,john-colin-gregory,gh47,,,,,1929-580
1929,2,French Championships,520,roland-garros,"Paris, France",1929.05.24,5,24,128,128,Outdoor,Clay,,/en/scores/archive/roland-garros/520/1929/results,Rene Lacoste,/en/players/rene-lacoste/lf18/overview,rene-lacoste,lf18,,,,,1929-520
1929,3,Wimbledon,540,wimbledon,"London, Great Britain",1929.06.24,6,24,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1929/results,Henri Cochet,/en/players/henri-cochet/cj19/overview,henri-cochet,cj19,,,,,1929-540
1929,4,US Championships,560,us-open,"New York, United States",1929.09.07,9,7,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1929/results,Bill Tilden,/en/players/bill-tilden/te54/overview,bill-tilden,te54,,,,,1929-560
1930,1,Australian Championships,580,australian-open,"Melbourne, Australia",1930.01.20,1,20,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1930/results,Edgar Moon,/en/players/edgar-moon/mr21/overview,edgar-moon,mr21,,,,,1930-580
1930,2,French Championships,520,roland-garros,"Paris, France",1930.05.24,5,24,128,128,Outdoor,Clay,,/en/scores/archive/roland-garros/520/1930/results,Henri Cochet,/en/players/henri-cochet/cj19/overview,henri-cochet,cj19,,,,,1930-520
