Entity,Year,all_species_number,bau_habitat_loss_all,combined_habitat_loss_all,diets_habitat_loss_all,waste_habitat_loss_all,trade_habitat_loss_all,yields_habitat_loss_all,amphibian_species_number,bau_habitat_loss_amphibians,combined_habitat_loss_amphibians,diets_habitat_loss_amphibians,waste_habitat_loss_amphibians,trade_habitat_loss_amphibians,yields_habitat_loss_amphibians,bird_species_number,bau_habitat_loss_birds,combined_habitat_loss_birds,diets_habitat_loss_birds,waste_habitat_loss_birds,trade_habitat_loss_birds,yields_habitat_loss_birds,mammal_species_number,bau_habitat_loss_mammals,combined_habitat_loss_mammals,diets_habitat_loss_mammals,waste_habitat_loss_mammals,trade_habitat_loss_mammals,yields_habitat_loss_mammals,bau_change_cropland_km2,combined_change_cropland_km2,diets_change_cropland_km2,yields_change_cropland_km2,waste_change_cropland_km2,trade_change_cropland_km2,countries_losing_25_species,bau_change_pct,combined_change_pct,diets_change_pct,yields_change_pct,waste_change_pct,trade_change_pct,species_losing_more_25pct,species_losing_more_25pct_yields,species_losing_more_25pct_combined
Europe,2050,2368,-1.18,2.91,1.03,0.4,-1.67,0.79,165,-1.6,-0.23,-0.51,-0.59,-2.79,-1.36,1590,-2.61,-0.44,-1.63,-1.81,-2.6,-1.06,613,-1.56,-0.23,-0.77,-0.74,-2.32,-1,,,,,,,,,,,,,,,,
Falkland Islands,2050,198,-4.864191532,-0.111291415,-1.868904914,-3.314056849,-4.935896778,-2.711212423,,,,,,,,193,-4.936046137,-0.187069445,-1.942111052,-3.401699092,-4.995535542,-2.769523271,5,-2.090603795,2.813740564,0.956852026,0.068933712,-2.63384049,-0.460413671,0,0,0,0,0,0,,0,0,0,0,0,0,,,
Faroe Islands,2050,259,-1.157094653,3.385423889,1.211484908,0.387413924,-1.402919588,0.888678716,,,,,,,,258,-1.161579516,3.398545687,1.216180586,0.388915528,-1.40835726,0.892123207,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Fiji,2050,174,-1.825407367,0.517242959,-0.42233427,-1.066934113,-1.819148059,-0.857341793,,,,,,,,164,-1.903187056,0.468469671,-0.452560819,-1.183322188,-1.879463271,-0.939469099,10,-0.549820454,1.317124875,0.073381139,0.841830316,-0.829978573,0.489546029,241.838818,-591.216067,-467.748299,44.567091,100.502859,241.838818,,18.14928961,-44.36902112,-35.10312949,3.34462866,7.542442979,18.14928961,,,
Finland,2050,493,-0.887491143,4.50452876,1.878151781,0.911437486,-1.234065859,1.702552594,3,1.018309539,3.20288755,2.575125,1.942890566,0.485307112,1.571986943,426,-1.426673212,4.084967332,1.241729023,0.337703997,-1.651701102,1.40083796,64,2.612105098,7.358248945,6.081670146,4.68200166,1.465223119,3.716960894,-343.44456,-3875.146708,-3012.193543,-343.44456,-1777.37187,596.57743,,-2.90039286,-32.72565402,-25.43800562,-2.90039286,-15.00992382,5.038102565,,,
France,2050,656,-0.931930971,5.245844726,2.305203819,1.466131427,-1.654114282,1.659475451,25,0.330558518,11.50745453,6.76901514,7.052502999,-3.139090226,1.702514448,523,-1.599029843,3.798089465,1.029711766,0.171282831,-1.854269336,1.069554975,108,2.006314147,10.80728691,7.448602533,6.443414076,-0.341100469,4.506257244,90.0526,-41949.12448,-30184.5994,90.0526,-19176.2816,10900.8171,,0.068149154,-31.74586103,-22.84281519,0.068149154,-14.51204473,8.249417099,,,
French Guiana,2050,971,-2.991767779,1.074180605,0.12902942,-2.012214097,-3.081664565,-1.620190526,79,-1.444171573,0.300115548,-0.00761658,-1.08567919,-1.486547291,-0.846245911,718,-3.264952469,1.139265676,0.086250288,-2.186027307,-3.352715986,-1.80841318,174,-2.567132681,1.157054503,0.367595229,-1.715653025,-2.687407922,-1.194890288,,,,,,,,,,,,,,,,
French Polynesia,2050,132,-2.016463157,-0.405782278,-1.022880521,-1.46411752,-2.070209373,-1.699751303,,,,,,,,131,-2.031856005,-0.408879853,-1.030688769,-1.475293989,-2.086012498,-1.712726503,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
French Southern Territories,2050,101,-3.11021187,-1.100479803,-2.285753636,-2.517824002,-3.007318671,-2.146354683,,,,,,,,101,-3.11021187,-1.100479803,-2.285753636,-2.517824002,-3.007318671,-2.146354683,,,,,,,,,,,,,,,,,,,,,,,
Gabon,2050,885,-8.958215787,1.311236782,-5.87263852,-6.613193585,-7.0002443,-0.035381624,57,-9.669109342,0.358422386,-5.555860746,-6.729590478,-7.309574474,-0.761211256,660,-7.921594105,1.479796593,-5.215979312,-5.882425314,-6.2802919,0.073351704,168,-12.78946208,0.972313841,-8.559849296,-9.444577132,-9.723677416,-0.216284645,-139.491807,-1088.172563,-845.634275,-139.491808,-542.886752,52.289929,73,-5.612747672,-43.78492294,-34.02588231,-5.612747712,-21.84419586,2.103995809,,,
Gambia,2050,686,-12.02226032,2.546047409,-8.846795845,-9.375048714,-9.998973007,-0.738203968,21,-27.31829897,2.863676396,-22.20902082,-22.34509723,-22.24476273,-3.935406249,548,-9.605145763,2.444859311,-6.84309034,-7.351412055,-8.112624991,-0.469620779,117,-20.59800363,2.962977912,-15.83332484,-16.52532111,-16.63621342,-1.422326532,8829.69887,3280.491084,8644.95658,2433.164088,7156.09779,9809.28134,162,280.1253958,104.0747682,274.2643797,77.19301228,227.0297952,311.2030046,,,
Georgia,2050,402,-0.241133178,6.411415591,2.947346351,2.137967314,-0.872804578,3.455183722,9,1.713815683,6.520932563,3.312290776,3.917166098,0.710072192,6.000674325,292,-1.37497987,4.834314105,1.450223447,0.613860331,-1.645759756,2.156115054,101,2.862715282,10.96119758,7.243142274,6.385753946,1.220829293,6.984081107,-2585.541117,-3029.812059,-2568.730476,-3204.730303,-3182.265474,-2337.746145,,-46.03521204,-53.94539645,-45.73590084,-57.05979227,-56.65980901,-41.62325587,,,
Germany,2050,595,-0.526015702,5.528742987,2.849101773,1.707904299,-1.196173936,1.992148276,14,0.75567943,11.33525178,8.118204073,5.639945001,-1.605684933,2.010071231,489,-1.249030965,3.947566379,1.369879201,0.493905996,-1.53435035,1.225483129,92,3.121927038,13.04944122,9.909671397,7.56221517,0.663624114,6.064412792,18237.80052,-16681.35562,-9413.17661,18237.80052,5016.24784,27083.32212,,20.27411322,-18.54388593,-10.46418992,20.27411322,5.576329038,30.1072675,,,
Ghana,2050,1029,-14.85751809,2.855754475,-10.95627667,-11.53817852,-12.03103889,-0.789090801,52,-36.20010726,5.956873309,-28.32563724,-28.9612462,-29.15505472,-2.711438317,743,-10.36397658,2.304963002,-7.412751113,-7.944762115,-8.527352618,-0.456581096,234,-24.38267497,3.915497573,-18.34786959,-19.07625062,-19.35065461,-1.417691828,58175.66288,-31031.37894,26490.70402,616.52824,29723.94588,32295.35568,257,81.67771088,-43.5675654,37.1925296,0.865595901,41.73195005,45.34216876,,,
Gibraltar,2050,307,-1.859518704,4.190182034,0.828368324,0.225366859,-2.234743161,1.430726457,4,1.30978683,15.20344878,4.862341087,10.4014198,-3.096585044,8.371779294,279,-2.113310282,3.526552896,0.388083445,-0.332298528,-2.27810722,1.008987912,24,0.562590792,10.0693263,5.274351253,5.012218163,-1.586995664,5.176594907,,,,,,,,,,,,,,,,
Greece,2050,548,-0.569043026,6.204688456,2.898149119,1.980210799,-1.327320473,2.746400283,15,0.200494286,7.902197515,5.085186916,4.116285377,-1.545764571,1.629273652,436,-1.495834282,4.305272576,1.255384604,0.388896723,-1.778473287,1.626549545,97,3.477739737,14.47976771,9.943919854,8.802600681,0.734321671,7.95270772,1189.07675,-4119.69048,-449.50412,1189.07686,-4336.34517,3671.67577,,4.075418296,-14.11974623,-1.540621591,4.075418673,-14.86230426,12.58422941,,,
Greenland,2050,224,-1.868499539,3.191239922,1.287238731,-0.035587883,-2.185950814,-0.582857443,,,,,,,,215,-1.966971957,3.24003175,1.278777866,-0.084970619,-2.283733114,-0.648572332,9,0.48389711,2.025657359,1.489359388,1.144110803,0.149959673,0.986998257,,,,,,,,,,,,,,,,
Grenada,2050,171,-4.049459292,3.545716812,0.985515578,-1.858574525,-4.195628827,-1.903335637,3,5.676287814,35.0533196,28.37484453,12.38983845,2.366885209,7.489937224,152,-3.900239389,2.609067107,0.553165682,-1.926696726,-4.115628218,-2.232739496,16,-7.290625948,6.536213477,-0.042659589,-3.882991053,-6.186105998,-0.535237643,,,,,,,,,,,,,,,,
Guadeloupe,2050,258,-4.142024864,3.051275419,0.473093806,-1.883099808,-4.302578035,-2.233907154,4,-0.077738242,-0.077738242,-0.077738242,-0.077738242,-0.077738242,-0.077738242,242,-4.205051671,2.942588513,0.345177728,-1.909530862,-4.341633688,-2.296271478,12,-4.225746467,6.286132567,3.236345398,-1.95186074,-4.923235631,-1.694949597,,,,,,,,,,,,,,,,
Guam,2050,146,-3.051375861,2.204240863,-0.6136152,-1.274560172,-3.034449182,-0.480962291,5,1.072319073,2.033880031,1.835388878,1.479467635,1.073505936,1.257313881,136,-3.166499385,2.364317799,-0.623812106,-1.299547782,-3.148365638,-0.479103027,5,-4.043710948,-1.979490959,-2.785263448,-3.348924975,-4.043876705,-2.269810442,,,,,,,,,,,,,,,,
Guatemala,2050,1037,-4.55444492,3.978480417,1.397443389,-2.318662711,-4.957035844,-1.033130199,105,-7.02530847,6.470693687,2.147867253,-3.94797103,-7.64435217,0.655725033,744,-3.941472587,3.339053321,1.135084629,-1.896513533,-4.27342447,-1.332361605,188,-5.600246746,5.117051517,2.016594515,-3.079309602,-6.161496738,-0.79218144,11462.83435,-8771.8411,-70.23934,-1646.10267,6740.18676,11462.83435,,54.54426346,-41.73955562,-0.334223888,-7.832744936,32.07221802,54.54426346,,,
Guernsey,2050,2,-3.393922927,15.89903497,10.88881936,6.330675627,-9.523039859,-3.397086931,,,,,,,,,,,,,,,2,-3.393922927,15.89903497,10.88881936,6.330675627,-9.523039859,-3.397086931,,,,,,,,,,,,,,,,
Guinea,2050,944,-14.92187741,2.674341204,-11.17487509,-11.7727639,-12.12789495,-0.817116031,63,-30.07105516,3.705663255,-24.05384914,-24.80994452,-24.39556472,-2.22801787,665,-10.92109488,2.472484309,-7.922078531,-8.427388849,-8.956462898,-0.480456615,216,-22.82059124,2.994996509,-17.43290446,-18.26967146,-18.31372422,-1.442077586,91361.10614,-7959.85692,50803.80416,13239.29486,71417.94424,66686.93524,254,285.4164924,-24.86697609,158.7135292,41.3601943,223.1130949,208.3331951,,,
Guinea-Bissau,2050,625,-12.80815789,2.562971373,-9.521737129,-10.04198972,-10.57618526,-0.835472468,24,-27.3099669,2.957652706,-22.11729876,-22.38922667,-22.10656344,-3.804303821,490,-10.19604244,2.370006598,-7.40115643,-7.872927276,-8.529393358,-0.567663401,111,-21.20359173,3.329461351,-16.15949445,-16.94745741,-17.11851819,-1.375783189,11312.13442,-1110.919818,11014.1841,100.172862,8228.511045,7854.142835,152,189.2350087,-18.58401905,184.2507476,1.67574144,137.6506239,131.3880063,,,
Guyana,2050,1114,-2.956484298,1.211135551,0.233916328,-1.965328088,-3.054259721,-1.566769368,109,-1.384914924,0.85570827,0.404272801,-0.909549202,-1.459417354,-0.798713198,802,-3.176064805,1.223731997,0.16040305,-2.105879956,-3.270098063,-1.705709194,203,-2.932826636,1.352215471,0.432875901,-1.976940409,-3.057882713,-1.430258934,1908.858511,-243.109569,-88.225565,1570.871149,1526.875778,2289.219949,,69.57679387,-8.861203841,-3.215771056,57.25734909,55.65374314,83.44074933,,,
Haiti,2050,338,-10.26145527,4.068253502,-3.531684627,-7.617625253,-10.50640125,-4.548947591,39,-47.55929687,-0.954102124,-41.88592861,-46.43736317,-47.96068976,-14.32380475,285,-5.180082165,4.452352751,1.295508517,-2.420497432,-5.40397039,-3.190792729,14,-9.802563308,10.23993803,5.044420325,-5.275600283,-10.04036865,-4.96714091,12180.14324,647.50029,8754.29486,2032.42737,9153.71547,12180.14324,32,109.1552648,5.802728607,78.45370574,18.21408364,82.033209,109.1552648,,,
Heard Island and McDonald Islands,2050,51,-1.68965313,-1.192174211,-1.380153456,-1.533679499,-1.693627892,-1.600353325,,,,,,,,51,-1.68965313,-1.192174211,-1.380153456,-1.533679499,-1.693627892,-1.600353325,,,,,,,,,,,,,,,,,,,,,,,
Holy See,2050,16,3.079203164,14.48631879,9.888575754,8.695580568,0.026379792,7.092474029,1,0.348037038,8.71928682,3.70384625,7.544740916,-2.651968846,0.347054216,1,0.002098023,-0.002602169,0.011237964,0.003630236,0.002024161,-0.007213505,14,3.494079683,15.93317257,11.03586627,9.398636996,0.219430097,8.081410269,,,,,,,,,,,,,,,,
Honduras,2050,998,-4.956128583,3.704054779,1.055896807,-2.751136039,-5.542925141,-1.179427324,89,-9.103286225,4.678728973,0.250132194,-6.260518464,-10.89920775,-0.315879308,732,-4.176180263,3.341352258,1.038378458,-2.127179943,-4.57408585,-1.311648704,177,-6.096383611,4.713954452,1.533504049,-3.566959916,-6.856378295,-1.06682689,7814.87903,-4360.30977,452.93701,-1389.444708,5958.16108,9274.86622,25,77.81467781,-43.41667972,4.510005512,-13.83504362,59.32687928,92.35213032,,,
Hong Kong,2050,376,-0.972359415,4.870239279,1.896619093,1.314954115,-1.140436226,1.727004366,19,0.696023685,5.191441215,3.05247401,2.994398229,0.47704789,2.192427653,334,-1.068922847,4.969118499,1.888994753,1.239705317,-1.24403748,1.753033145,23,-0.948319969,3.16900031,1.052501099,1.020330653,-0.972148384,0.96454112,,,,,,,,,,,,,,,,
Hungary,2050,465,-0.310328959,6.637135316,3.457470976,2.159264422,-1.028513902,2.933624409,10,2.256786676,9.298420431,7.337387354,5.314710912,0.535708654,3.771992881,370,-1.491894427,4.574352973,1.420655053,0.445069647,-1.754336756,1.698814024,85,4.530942416,15.30321315,11.86715012,9.249824444,1.946924102,8.210049791,-4860.96748,-15916.73151,-13995.10709,-8915.3627,-8632.33699,-2390.59192,,-13.85785821,-45.37611274,-39.89786199,-25.41630502,-24.60944297,-6.815203762,,,
Iceland,2050,312,-2.005458333,2.953919842,0.636042541,-0.353244451,-2.174976291,0.012490529,,,,,,,,305,-2.041750991,3.010533295,0.645887581,-0.361116466,-2.213153976,0.022377916,7,-0.424135344,0.487190831,0.207080094,-0.010249536,-0.511520014,-0.418317041,-0.348692,4.77556,6.373474,-0.348692,-1.723229,0.314085,,-4.123880572,56.4791825,75.37725444,-4.123880572,-20.38013661,3.714593479,,,
India,2050,1771,-2.630047982,4.64658208,1.641892937,-0.059324543,-2.824719428,2.02292601,133,-3.954244136,6.8439089,3.546147208,0.060523934,-4.202857445,4.006638138,1268,-2.179681722,3.971210753,1.232624526,-0.0548256,-2.347682634,1.53060051,370,-3.697470492,6.171247958,2.359964631,-0.117823212,-3.964152669,2.997074718,280228.037,-497348.187,-231744.246,-218528.208,66058.617,280228.037,52,15.30284442,-27.15945916,-12.6552153,-11.93350674,3.607364734,15.30284442,,,
Indonesia,2050,2604,-2.613067343,1.064989635,-0.979770867,-0.639592428,-2.672079359,-1.905262529,219,-4.989382746,0.802292367,-2.579602129,-1.448130936,-5.068153119,-4.726345114,1750,-1.854236292,1.164955672,-0.467003698,-0.375178679,-1.906478329,-1.041227905,635,-3.884785875,0.880092213,-1.841155906,-1.089441446,-3.955641013,-3.313520019,155557.5926,-53989.368,66511.1774,155557.5937,35302.3449,155557.5926,,40.96079894,-14.216263,17.51345543,40.96079923,9.295671317,40.96079894,,,
Iran,2050,700,-1.840697212,4.630553938,1.102445022,0.245126118,-2.212509634,2.275622486,9,-0.507718844,8.329059304,2.850126931,2.738030591,-2.203105622,7.244159816,527,-2.154027133,3.782095401,0.614678534,-0.379031317,-2.319001086,1.474897272,164,-0.90698951,7.15403626,2.573931619,2.113997021,-1.870824518,4.576020974,-4219.1047,-60411.47541,-32269.0853,-51207.3175,-23430.9585,6869.4688,,-3.016947334,-43.19832113,-23.07459468,-36.61672109,-16.75473182,4.912138252,,,
Iraq,2050,496,-1.991670348,4.321211042,0.667040225,0.02152525,-2.257539935,2.037048435,6,-1.664657762,9.977659119,1.972207691,2.643662528,-3.784616129,8.729621249,409,-1.921269586,3.757968869,0.549407621,-0.19348818,-2.035173551,1.519598657,81,-2.371373895,6.746240183,1.164333193,0.912977955,-3.267236156,4.154104268,71309.42491,19680.22694,92489.05361,4846.84197,52724.0684,80317.44841,,183.4462414,50.6281416,237.9316518,12.4686876,135.6346961,206.6197287,,,
Ireland,2050,448,-1.583838096,4.112197434,1.461942489,0.394183905,-1.931031459,0.784509875,3,0.404725615,4.202625699,3.174751899,2.097993566,-0.564838017,1.010769246,412,-1.956691185,3.581316802,0.914811528,-0.107598145,-2.171169538,0.429876763,33,2.89039771,10.73194094,8.137079693,6.503964979,0.942856666,5.191481519,102.365485,-957.266391,-745.379897,102.365485,-272.325447,372.984786,,3.191231189,-29.84265999,-23.23712504,3.191231189,-8.489711743,11.62775404,,,
Isle of Man,2050,1,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Israel,2050,630,-2.69034772,3.711858594,-0.161528863,-0.785848801,-2.729545631,1.480226692,6,-1.907341836,5.524878508,-0.343085623,1.026217541,-3.18755504,4.970033,526,-2.720738255,3.292404949,-0.305513571,-1.011159161,-2.661361214,1.117330203,98,-2.575170311,5.852210614,0.622402737,0.312527232,-3.067473659,3.214356439,887.88143,-237.100261,1056.026951,-577.766559,168.083237,1199.030937,,30.42836691,-8.125604942,36.19084085,-19.80049616,5.760339426,41.09169541,,,
Italy,2050,619,-1.0086183,5.426923201,2.115973692,1.481776727,-1.702534185,1.952483917,27,-0.175679474,11.08741095,5.590942167,7.570883481,-3.984111935,1.037893304,488,-1.714946173,4.010655189,0.839593689,0.109014145,-1.909961703,1.388536449,104,2.089445683,10.60293879,7.20298612,6.342375357,-0.136887761,4.836140754,-1037.92226,-17934.10986,-7975.08472,-1037.92226,-15683.78757,5364.86651,,-1.307972006,-22.60026068,-10.05006633,-1.307972006,-19.76444275,6.760713667,,,
Jamaica,2050,343,-3.965180007,4.632268179,2.123649974,-1.387262364,-4.185546333,-1.830770855,20,-1.554859935,10.45621356,7.891088498,1.220736115,-1.574680896,3.938346598,309,-4.111227572,4.251962547,1.730606028,-1.536209212,-4.341906933,-2.234454852,14,-4.185015987,4.706234777,2.559493443,-1.825504775,-4.464252288,-1.162484723,58.724763,-692.793612,-532.888941,-255.959272,-109.045522,58.724763,,3.83224156,-45.2101011,-34.77509388,-16.70330725,-7.116057349,3.83224156,,,
Japan,2050,742,-0.882761866,3.018685135,0.914238378,0.824958079,-1.052145231,0.72900063,44,-0.558407516,0.228424409,-1.125622159,0.599319436,-0.59057322,-0.422182572,597,-1.14526307,3.206904191,1.020970381,0.560837539,-1.306579785,0.714622865,101,0.527551274,3.121701918,1.172009245,2.484443851,0.25070883,1.315491588,-1251.51661,-1641.94568,3928.56365,-1635.47575,-5848.90027,-1251.51661,,-3.940859872,-5.170269248,12.37052606,-5.149896296,-18.41741147,-3.940859872,,,
Jersey,2050,2,-3.393922927,15.89903497,10.88881936,6.330675627,-9.523039859,-3.397086931,,,,,,,,,,,,,,,2,-3.393922927,15.89903497,10.88881936,6.330675627,-9.523039859,-3.397086931,,,,,,,,,,,,,,,,
Jordan,2050,504,-2.673573699,3.864943261,-0.060642756,-0.718341192,-2.748734507,1.572371079,4,-0.720829578,5.880810496,0.885164437,1.92867109,-1.864149542,4.951531868,422,-2.583534166,3.621278244,0.009862304,-0.786910683,-2.602137592,1.318584515,78,-3.260851383,5.079855678,-0.490596144,-0.483106885,-3.587224738,2.772131163,-398.593549,-512.693912,-315.912816,-626.372489,-682.484147,-276.296838,,-21.0399073,-27.06273699,-16.67557436,-33.06330255,-36.02517709,-14.58443037,,,
Kazakhstan,2050,659,0.043709111,5.440040786,2.904009145,2.023420055,-0.442622504,2.533515029,8,2.162098731,5.126121417,4.408788302,3.332892699,1.512352785,2.95240585,496,-0.953690075,4.234392085,1.608043835,0.801398639,-1.215417557,1.793282611,155,3.126050268,9.314318918,6.973432113,5.8663029,1.929419713,4.880638592,-40348.9475,-65183.1834,-56247.74416,-40348.9477,-57043.6453,-31124.7726,,-26.34184762,-42.55490146,-36.7213917,-26.34184775,-37.24099649,-20.31983652,,,
Kenya,2050,1542,-14.89488846,3.220018934,-11.47730869,-11.57700231,-11.17129756,0.215955716,65,-19.02330786,3.735962104,-14.79442024,-15.36121883,-13.66609148,-0.049219639,1130,-12.17094339,2.863518839,-9.325527109,-9.347559616,-9.221245658,0.21553506,347,-22.99203737,4.284309427,-17.86319035,-18.12828811,-17.05428616,0.266998194,58381.55406,-9214.34208,48604.55418,1561.92995,45785.62263,36878.16351,422,118.8177096,-18.75296125,98.91963129,3.17882835,93.18256253,75.05416722,,,
Kiribati,2050,79,-2.665078901,-0.508908458,-1.484799722,-1.899983083,-2.680240708,-2.00998277,,,,,,,,78,-2.69924658,-0.515432925,-1.503835616,-1.92434184,-2.714602769,-2.035751779,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Kuwait,2050,388,-2.490380867,3.805015614,0.242476423,-0.676540227,-2.516361995,1.467125741,,,,,,,,357,-2.105395728,3.868788024,0.562281878,-0.35530411,-2.187934194,1.478324916,31,-6.923919394,3.07060431,-3.440444458,-4.375936808,-6.298578928,1.338154591,,,,,,,,,,,,,,,,
Kyrgyzstan,2050,431,-0.976609739,4.764311979,1.824337369,1.042031148,-1.343493979,2.035794874,2,0,0,0,0,0,0,352,-1.47402979,4.190629886,1.198724538,0.365438743,-1.683636818,1.681629432,77,1.271944008,7.510607055,4.731667125,4.162090746,0.176548766,3.707714686,2949.155074,-417.916599,633.730384,2949.155054,1038.066724,3985.811884,,30.30773742,-4.294825545,6.512690447,30.30773722,10.66795503,40.96120311,,,
Laos,2050,1031,-1.248130961,4.019190057,1.512571498,1.001574934,-1.500423118,1.248177282,75,0.044389388,5.167203913,2.976924173,2.455454729,-0.193822156,1.680866058,724,-1.327230915,4.211590996,1.571234302,0.935641176,-1.563677776,1.416241948,232,-1.419125181,3.047641268,0.856113217,0.737329486,-1.725417514,0.583821781,3757.56294,-1386.458879,1340.17446,-1136.430975,2026.02286,4954.53418,,34.52634502,-12.73946927,12.31418516,-10.44208934,18.61609916,45.52470824,,,
Latin America,2050,7935,-4.19,0.96,-0.31,-2.59,-4.4,-2.09,1977,-5.05,-0.43,-1.49,-3.48,-5.37,-2.62,4433,-3.98,-0.5,-1.09,-2.6,-4.14,-2.39,1525,-4.83,-0.43,-1.13,-3.2,-5.12,-2.61,,,,,,,,,,,,,,,,
Latvia,2050,398,-0.371096782,5.547976473,2.845531355,1.677783135,-0.93307778,2.369921269,7,1.983235829,6.641070316,5.531700812,3.816984496,0.905037933,3.079603008,327,-1.067211776,4.712551133,1.833681656,0.823024293,-1.415130858,1.861837397,64,2.928110639,9.696920683,7.721651126,5.811091444,1.328868262,4.888290862,,,,,,,,,,,,,,,,
Lebanon,2050,452,-1.875816593,4.71213281,0.963768367,0.261194753,-2.185933716,2.093038084,6,-1.432629128,7.005629812,0.935618047,1.880493135,-2.937059401,5.577770113,377,-1.813131773,4.098513368,0.791944048,0.038263343,-1.997140205,1.638959205,69,-2.256849954,7.865372629,1.905024459,1.338431725,-3.152142408,4.27099961,295.174779,-339.876185,416.51608,-596.921549,-302.682814,540.755719,,10.89750462,-12.5478278,15.37728231,-22.0376394,-11.17469242,19.96406321,,,
Lesotho,2050,412,-7.709501718,3.27398627,-4.297915994,-5.561416892,-6.648739806,1.315919875,19,-7.593360006,5.038368441,-2.380810313,-5.081437141,-7.891823637,3.048285073,317,-6.811230442,2.892801075,-3.864190068,-4.878620895,-5.804729178,1.085866924,76,-11.48527391,4.422834239,-6.586286076,-8.529389872,-9.858381601,1.842391543,1193.858069,-518.52953,669.489228,-443.630678,667.787114,1481.297502,36,51.41609521,-22.33160237,28.8330102,-19.10592035,28.75970496,63.79529977,,,
Liberia,2050,818,-13.52517738,2.43213353,-9.840875385,-10.51093256,-10.83512601,-0.4867587,53,-33.73224446,4.528979785,-26.97154123,-27.85858107,-27.52815662,-1.578634787,594,-9.380824971,2.110674909,-6.488021807,-7.090096023,-7.582390701,-0.235773088,171,-21.65833982,2.898879551,-16.1781253,-17.01708185,-16.96023799,-1.020185724,4648.15615,-3173.288092,3108.012947,-2204.092701,3370.208192,2518.877945,174,77.49206578,-52.90369808,51.81545886,-36.7456882,56.18666553,41.99365278,,,
Libya,2050,411,-2.872400073,3.481342716,-0.465936554,-0.996340806,-2.965182207,1.179277859,2,-0.077685498,-0.004816487,-0.05037608,-0.03182574,-0.111382819,-0.01519784,331,-2.482805351,3.725789988,0.082433736,-0.635845399,-2.574919655,1.307216083,78,-4.597339588,2.53339748,-2.80365049,-2.550866574,-4.694470713,0.666988106,269.411488,-3566.965454,210.688255,-990.990001,-1012.805556,883.271599,,3.721661577,-49.27421016,2.910456378,-13.68957737,-13.99093836,12.20155086,,,
Liechtenstein,2050,301,-0.152107389,6.404132747,3.446256058,2.256345444,-0.931684063,2.723947945,5,0.397075539,5.394543605,3.940125223,2.846883832,-1.019673219,1.135616467,242,-0.932722144,5.040532775,2.020819329,1.080822359,-1.332201339,2.039396764,54,3.295352906,12.60856124,9.788595739,7.469750897,0.871373838,5.938819117,,,,,,,,,,,,,,,,
Lithuania,2050,334,0.49980346,6.302961306,3.950233281,2.636178591,-0.253009396,2.846223386,6,2.313775134,7.747915368,6.453650947,4.453148579,1.055877589,3.592870176,259,-0.176435502,5.328784419,2.879509574,1.728182806,-0.681250225,2.275769477,69,2.880413039,9.834006079,7.751638124,5.886455236,1.240629052,4.922566602,,,,,,,,,,,,,,,,
Luxembourg,2050,352,-0.19347062,6.128816474,3.350564244,2.11064368,-0.861354347,2.582796839,8,1.860623084,14.52297744,10.57277414,7.983250258,-1.496705515,3.457227448,285,-0.904990228,4.71575894,2.001839225,0.965601335,-1.211172319,1.90963251,59,2.965009696,11.81641155,8.886309182,6.845494793,0.914593644,5.715955976,,,,,,,,,,,,,,,,
Macao,2050,55,-1.166231565,3.63861676,1.216256563,0.620798228,-1.220947719,1.29471893,8,1.137852338,4.120224993,2.562811791,2.940763473,1.14081483,2.033800597,45,-1.593018659,3.523916868,0.947181492,0.153473267,-1.649832908,1.165277012,2,-0.779857553,4.292931385,1.88422473,1.855748885,-1.018081159,1.250835411,,,,,,,,,,,,,,,,
Madagascar,2050,642,-8.686755746,1.208992146,-6.682959972,-6.964647623,-8.364622076,0.584985592,167,-8.686867679,1.102559551,-7.069445368,-7.165026584,-8.684383838,1.110395242,279,-6.871054499,1.297775536,-4.757195839,-5.225508845,-6.35754402,0.196486193,196,-11.27125552,1.173296625,-9.094924931,-9.26952738,-10.94918618,0.690332126,42792.91788,-5900.41846,34871.85873,-5622.60262,35294.50283,42792.91788,43,136.7628891,-18.85728564,111.4477906,-17.96940748,112.7985287,136.7628891,,,
Malawi,2050,917,-12.66853076,3.484574084,-8.635016583,-9.785565346,-9.549814028,1.074835076,62,-12.53764711,2.843400194,-8.332779769,-9.749572956,-8.568769369,0.989876326,660,-10.62781602,3.162691995,-7.154682742,-8.129571676,-8.153618375,0.944479125,195,-19.61717957,4.77788157,-13.74147308,-15.40191073,-14.58732121,1.543052357,37442.92351,-21832.95313,15936.01777,-12285.10251,27431.51929,22786.11588,204,104.4691957,-60.9159446,44.46295331,-34.2765644,76.53645842,63.57535622,,,
