Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed?,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
Nate Boulton,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,-8.1400003,4.9699998,No,White,No,No,Yes,No,No,No,,,No,,,,No,,No,,No,,
Ross Wilburn,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,-8.1400003,2.1700001,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,No,,No,,
Abby Finkenauer,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-1.73,66.800003,Yes,White,No,No,Yes,No,No,No,Yes,Yes,,Yes,,,,,,,,,
Courtney Rowe,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,None,-1.73,7.5900002,No,White,No,No,No,No,Yes,No,No,No,,No,,,,Yes,,,,,
George Ramsey,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,None,-1.73,6.3699999,No,Nonwhite,Yes,No,No,No,No,No,No,No,,No,,,,,,,,,
Thomas Heckroth,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,None,-1.73,19.120001,No,White,No,No,No,No,No,Yes,No,No,,No,,,,,,,,,
Cindy Axne,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-4.1100001,57.799999,Yes,White,No,No,No,No,No,No,Yes,Yes,,,,No,No,,,,,,
Eddie Mauro,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Lost,None,None,-4.1100001,26.35,No,White,No,No,No,Yes,No,No,No,No,,,,No,No,,,,,,
Pete D'Alessandro,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Lost,None,None,-4.1100001,15.58,No,White,No,No,No,No,No,No,No,No,,,,Yes,Yes,,,,,,
J.D. Scholten,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-25.110001,51.259998,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,,Yes,,
John Paschen,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Lost,None,None,-25.110001,16.719999,No,White,No,No,No,No,Yes,No,,,,,,,No,,,,No,,
