sic_code,sic_description,section,section_description,sic_version
10890,Manufacture of other food products n.e.c.,C,Manufacturing,SIC 2007
10910,Manufacture of prepared feeds for farm animals,C,Manufacturing,SIC 2007
10920,Manufacture of prepared pet foods,C,Manufacturing,SIC 2007
11010,"Distilling, rectifying and blending of spirits",C,Manufacturing,SIC 2007
11020,Manufacture of wine from grape,C,Manufacturing,SIC 2007
11030,Manufacture of cider and other fruit wines,C,Manufacturing,SIC 2007
11040,Manufacture of other non-distilled fermented beverages,C,Manufacturing,SIC 2007
11050,Manufacture of beer,C,Manufacturing,SIC 2007
11060,Manufacture of malt,C,Manufacturing,SIC 2007
11070,Manufacture of soft drinks; production of mineral waters and other bottled waters,C,Manufacturing,SIC 2007
12000,Manufacture of tobacco products,C,Manufacturing,SIC 2007
13100,Preparation and spinning of textile fibres,C,Manufacturing,SIC 2007
13200,Weaving of textiles,C,Manufacturing,SIC 2007
13300,Finishing of textiles,C,Manufacturing,SIC 2007
13910,Manufacture of knitted and crocheted fabrics,C,Manufacturing,SIC 2007
13921,Manufacture of soft furnishings,C,Manufacturing,SIC 2007
13922,"Manufacture of canvas goods, sacks, etc.",C,Manufacturing,SIC 2007
13923,Manufacture of household textiles,C,Manufacturing,SIC 2007
13931,Manufacture of woven or tufted carpets and rugs,C,Manufacturing,SIC 2007
13939,Manufacture of other carpets and rugs,C,Manufacturing,SIC 2007
13940,"Manufacture of cordage, rope, twine and netting",C,Manufacturing,SIC 2007
13950,"Manufacture of non-wovens and articles made from non-wovens, except apparel",C,Manufacturing,SIC 2007
13960,Manufacture of other technical and industrial textiles,C,Manufacturing,SIC 2007
13990,Manufacture of other textiles n.e.c.,C,Manufacturing,SIC 2007
14110,Manufacture of leather clothes,C,Manufacturing,SIC 2007
14120,Manufacture of workwear,C,Manufacturing,SIC 2007
14131,Manufacture of other men's outerwear,C,Manufacturing,SIC 2007
14132,Manufacture of other women's outerwear,C,Manufacturing,SIC 2007
14141,Manufacture of men's underwear,C,Manufacturing,SIC 2007
14142,Manufacture of women's underwear,C,Manufacturing,SIC 2007
14190,Manufacture of other wearing apparel and accessories n.e.c.,C,Manufacturing,SIC 2007
14200,Manufacture of articles of fur,C,Manufacturing,SIC 2007
