administrative_area_level_1,tag,features,url_shape,url
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000130,https://www.charnwood.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000131,https://www.harborough.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000132,https://www.hinckley-bosworth.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000133,https://www.melton.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000134,https://www.nwleics.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000135,https://www.oadby-wigston.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/leicestershire.json,https://www.nwleics.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000136,https://www.mybostonuk.com/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000137,https://www.e-lindsey.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000138,https://www.lincoln.gov.uk/
England,district,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000139,https://www.n-kesteven.gov.uk/
England,district,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000140,https://www.sholland.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000141,https://www.southkesteven.gov.uk/
England,district,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000142,https://www.west-lindsey.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/lincolnshire.json,https://www.lincolnshire.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E08000011,https://knowsley.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E08000012,https://www.liverpool.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E08000013,https://www.sthelens.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E08000015,https://www.wirral.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/merseyside.json,https://liverpool.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000143,https://www.breckland.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000144,https://www.southnorfolkandbroadland.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000145,https://www.great-yarmouth.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000146,https://www.west-norfolk.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000147,https://www.north-norfolk.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000148,https://www.norwich.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000149,https://www.southnorfolkandbroadland.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/norfolk.json,https://www.north-norfolk.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000163,https://www.cravendc.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000164,https://www.hambleton.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000165,https://www.harrogate.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000166,https://www.richmondshire.gov.uk/
